ref	subsections
39:1	(1) Sohn-Geist-Minister|Begleiter der Verleihung|(2) Hofberater|(3) Universumsorientierer|(4) Die Lehrberater|(5) Zuweisungsdirektoren|(6) Die Protokollanten|(7) Unabhängige Minister 
39:2	(1) Das Geheimdienstkorps|(2) Die Stimme der Barmherzigkeit|(3) Geistkoordinatoren|(4) Assistenzlehrer|(5) Die Transporteure|Seraphische Transporttechniken|(6) Die Protokollanten|Sender|(7) Die Reserven 
39:3	(1) Aufsichtsassistenten|(2) Gesetzesvorhersager|(3) Sozial Architekten|(4) Ethik-Sensibilisatoren|(5) Die Transporteure|(6) Die Protokollanten|(7) Die Reservisten 
39:4	(1) Verwaltungsassistenten|(2) Gerechtigkeitsführer|(3) Dolmetscher des Kosmischen Staatsbürgerschaft|(4) Beschleuniger der Moral|(5) Die Transporteure|(6) Die Aufzeichner|(7) Die Reserven 
39:5	(1) Die Stimmen des Gartens|(2) Die Geister der Brüderlichkeit|(3) Die Seelen des Friedens|(4) Die Geister des Vertrauens|(5) Die Transporteure|_Abfahrt eines seraphischen Transports|(6) Die Aufzeichner|(7) Die Reserven
40:5	Sterbliche des vorübergehenden oder erfahrungsbasierten Aufenthalts des Anpassers|Sterbliche der Nicht-Anpasser-Fusionstypen|Sterbliche mit Anpasser-Fusionspotenzial|Die unnummerierte Reihe 
40:9	Techniken der Gedächtnisrekonstruktion 
42:2	(1) Raumpotenz|(2) Urkraft|(3) Emergenzenergien|_a. Mächtige Energie|_b. Gravitationsenergie | (4) Universumskraft | (5) Havona-Energie | (6) Transzendentale Energie | (7) Monota 
42:10	(1) Präadjutanten-Geistgeister | (2) Adjutanten-Geistgeister | (3) Sich entwickelnde Morontia-Geistgeister | Der kosmische Geist 
45:1	(1) Die Finaliter-Welt | (2) Die Morontia-Welt | (3) Die Engelswelt | (4) Die Superengel-Welt | (5) Die Welt der Söhne | (6) Die Welt des Geistes | (7) Die Welt des Vaters | 
45:6	Elternerfahrung | Die Bewährungsschule Satanias 
46:5	(1) Kreise der Söhne Gottes | (2) Kreise der Engel | (3) Kreise der Universumshelfer | (4) Kreise der Meister-Physischen Kontrolleure | (5) Kreise der aufsteigenden Sterblichen | (6) Kreise der Höflichkeitskolonien | (7) Kreise der Finaliter | 
47:1	Erforderliche Elternerfahrung | 
47:3	Morontia-Gefährten 
47:8	Anpassungsfusion 
48:2	(1) Schaltkreisregler|(2) Systemkoordinatoren|(3) Planetare Hüter|(4) Kombinierte Controller|(5) Verbindungsstabilisatoren|(6) Selektive Sortierer|(7) Stellvertretende Registrare 
48:3	(1) Pilgerwächter|(2) Pilgerempfänger und Freie Assoziatoren|(3) Gastgeber für himmlische Besucher|(4) Koordinatoren und Verbindungsdirektoren|(5) Dolmetscher und Übersetzer|(6) Exkursions- und Rückkehrleiter|(7) Gebiets- und Gebäudehüter 
48:4	Himmlischer Humor|Sterblicher Humor 
48:6	(1) Seraphische Evangelisten|_Original des 23. Psalms|(2) Rassendolmetscher|(3) Gedankenplaner|(4) Morontia-Berater|_Stereoskopischer Effekt von Mota|(5) Techniker|(6) Protokollführer-Lehrer|_Wahrheit und Tatsache|(7) Dienen Reserven | Erfolg, Misserfolg und Ego 
49:2	(1) Die atmosphärischen Typen | (2) Die elementaren Typen | (3) Die Gravitationstypen | (4) Die Temperaturtypen | (5) Die elektrischen Typen | (6) Die energetisierenden Typen | (7) Die unbenannten Typen 
49:5	(1) Anpassung an die planetare Umgebung | Experimentelle Reihe, untersucht von Tabamantia | (2) Gehirntyp-Reihe | (3) Geistrezeptions-Reihe | (4) Planetarisch-sterbliche Epochen | (5) Kreaturen-Verwandtschafts-Reihen | (6) Anpassungs-Fusions-Reihen | (7) Techniken der irdischen Flucht 
49:6	(1) Die dispensationalistische oder Gruppenordnung des Überlebens | (2) Die individuellen Aufstiegsordnungen | (3) Die bewährungsabhängigen Aufstiegsordnungen | (4) Die sekundären modifizierten Aufstiegsordnungen | (5) Die primäre modifizierte Aufstiegsordnung 
50:7	Agondonter | Tabamantia, ein Agondonter 
54:5	Zwölf Gründe 
55:4	Die sieben Stufen auf einem Planet | Freisetzung der Midway-Elemente | Adamitischer Aufbruch | 
55:12	| Die Ära der Planetenentstehung | Gezeitenreibung | Gravitations- und Gezeitenexplosionen | 
57:4	Das vulkanische Zeitalter | Die primitive Planetenatmosphäre 
57:5	Die unqualifizierten Aufseher des Obersten
57:6	Ursprung der Sonnenretrograde 
57:7	Bewegung 
57:8	| Das Zeitalter der Erdbeben | Der Weltozean und der erste Kontinent | 
59:1	Das Zeitalter der Trilobiten 
59:2	| Das Zeitalter der Wirbellosen 
59:3	| Das Korallenzeitalter | Das Zeitalter der Brachiopoden | 
59:4	Das vegetative Landlebensalter | Das Zeitalter der Fische | 
59:5	Das Farnwald-Karbonzeitalter | Das Zeitalter der Frösche | Das Zeitalter der 
59:6	Samenpflanzen | Das Zeitalter der biologischen Trübsal | Das 
60:3	Zeitalter der Blütenpflanzen | Das Zeitalter der Vögel | Das Zeitalter 
61:1	der frühen Säugetiere | 
61:2	Das Zeitalter der fortgeschrittenen Säugetiere | 
61:3	Zeitalter des Elefanten und des Pferdes | 
61:4	Die letzte große Säugetierwanderung | 
62:3	Ursprung der Affenstämme 
64:6	(1) Der rote Mann | (2) Der orange Mann | (3) Der gelbe Mann | (4) Der grüne Mann | (5) Der blaue Mann | (6) Die indigofarbene Rasse | Zweck der sechs Rassen 
65:1	(1) Die physikalische Ebene der Elektrochemie | (2) Die übliche mittlere Phase der quasi-morontialen Existenz | (3) Die fortgeschrittene semispirituelle Ebene | 
65:7	Mechanisch-nicht-lehrbarer Geist | Nicht-mechanische Erfahrung Geist 
66:3	(1) Der Rat für Ernährung und materielles Wohlergehen | (2) Der Rat für Tierdomestizierung und -nutzung | (3) Die Berater für die Bekämpfung von Raubtieren | (4) Die Fakultät für Verbreitung und Bewahrung von Wissen | (5) Die Kommission für Industrie und Handel | (6) Das Kollegium der offenbarten Religion | (7) Die Hüter von Gesundheit und Leben | (8) Der planetarische Rat für Kunst und Wissenschaft | (9) Die Gouverneure fortgeschrittener Stammesbeziehungen | (10) Der Oberste Gerichtshof für Stammeskoordination und Rassenkooperation 
68:5	(1) Die Sammelphase | (2) Die Jagdphase | (3) Die Weidephase | (4) Die Landwirtschaftsphase 
68:6	Das Verhältnis von Land zu Mensch 
69:1	(1) Institutionen der Selbsterhaltung | (2) Institutionen der Selbsterhaltung | (3) Institutionen der Selbstbefriedigung 
70:2	Moderner Industrialismus versus Militarismus 
73:0	Tabamantias Inspektion 
76:3	Die Sethitische Priesterschaft 
76:5	Michaels Botschaft 
78:7	Die Geschichte von Noah 
80:2	Die Sintflut im Mittelmeer 
81:2	(1) Die Zähmung des Feuers | (2) Die Domestizierung von Tieren | (3) Versklavung von Gefangenen | (4) Privateigentum 
81:4	(1) Die kaukasischen Rassen | (2) Die mongoliden Rassen | (3) Die negroiden Rassen 
81:5	Macht und Recht 
81:6	(1) Natürliche Gegebenheiten | (2) Kapitalgüter | (3) Wissenschaftliche Erkenntnisse | (4) Humanressourcen | (5) Effektivität materieller Ressourcen | (6) Effektivität der Sprache | (7) Effektivität mechanischer Geräte | (8) Charakter der Fackelträger | (9) Die Rassenideale | (10) Koordination von Spezialisten | (11) Orientierungshilfen | (12) Kooperationsbereitschaft | (13) Effektive und weise Führung | (14) Soziale Veränderungen | (15) Verhinderung von Übergangszusammenbrüchen 
88:2	Bilder und Götzenbilder | „Heilige Bücher“ 
89:3	Der Enthaltsamkeitskult 
89:7	Tempelhure 
91:2	Gebet versus Magie
92:4	(1) Die dalamatischen Lehren | (2) Die edenischen Lehren | (3) Melchizedek von Salem | (4) Jesus von Nazareth | (5) Die Urantia-Schriften 
92:6	Die Zeloten-Episode
93:4	Elf lebendige Religionen 
94:1	Das Glaubensbekenntnis | Die sieben Gebote 
94:2	Die Rigveda- 
94:8	Lehre der Reinkarnation 
96:5	Das Evangelium Gautamas | Die moralischen Gebote 
97:5	Materialistische Vorsehung 
97:9	Micha und Obadja 
98:4	Ephraim und Juda | Saul und David | Salomo und die Besteuerung | Israel und Juda | Zerstörung des Königreichs Israel | Ende des Königreichs Juda | Die babylonische Gefangenschaft 
101:3	Der phrygische Kult der Kybele und des Attis | Der ägyptische Kult des Osiris und der Isis | Der iranische Kult des Mithras 
101:6	Zwölf Beispiele spirituellen Glaubens 
106:1	Sieben Aspekte der Erlösung 
106:2	Gott der Siebenfache 
106:3	Das Höchste Wesen 
106:4	Die Dreifaltigkeit Ultimative 
106:5	Höchste Gottheit 
106:6	Die absolute Dreifaltigkeit 
106:8	Der unendliche Kosmos 
108:2	(1) Die Ebene der drei Trinitäten | (2) Die Ebene der erfahrbaren Gottheit | (3) Die Ebene des ICH BIN 
108:3	Auf Urantia | Auf anderen Welten 
109:6	Tabamantias Tribut 
109:7	Der in Jesus wohnende Richtende Vermittler 
110:7	Allpersönliche Wesen 
111:7	Die Bitte des Richtenden Vermittlers an die Seele 
112:0	Die Aussage eines Hüters des Schicksals 
114:4	Vierzehn Aspekte der Persönlichkeit 
114:6	Höchste Regentschaften 
116:1	(1) Die Epochenengel | (2) Die Fortschrittsengel | (3) Die religiösen Wächter | (4) Die Engel des nationalen Lebens | (5) Die Engel der Völker | (6) Die Engel der Zukunft | (7) Die Engel der Erleuchtung | (8) Die Engel der Gesundheit | (9) Die Heimseraphim | (10) Die Engel der Industrie | (11) Die Engel der Zerstreuung | (12) Die Engel des übermenschlichen Dienstes 
116:5	Der kosmische Geist 
117:2	Das Problem des Gleichgewichts 
117:4	Geschöpf-Trinitäts-Söhne und Wachstum 
117:5	Kosmische Moral - höchste Pflicht 
118:1	Finaliter-Transzendenz | Auswirkungen des menschlichen Wachstums 
118:3	Erfahrungsbezogene (subjektive) Zeiteinheiten 
118:8	Wahrheit und Fakt | Raum und Muster 
121:4	Der Zeitregierer des Fortschritts 
121:5	(1) Der Epikureer | (2) Der Stoiker | (3) Der Zyniker | (4) Der Skeptiker 
121:8	Die Mysterienreligionen 
122:4	(1) Das Markusevangelium | (2) Das Matthäusevangelium | (3) Lukasevangelium | (4) Johannesevangelium | Danksagung | 
122:8	Das „Haus Davids“ 
122:10	| Die Legende von den Hirten | Die drei Priester aus Ur | Der „Stern von Bethlehem“ | 
123:0	Die Flucht nach Ägypten | Der 
123:1	Aufenthalt in Ägypten | 
123:2	Jesu viertes Lebensjahr 
123:4	| Kindererziehung 
124:1	| Materielle Unfälle | 
124:2	Das Bild auf dem Boden | Klima in Galiläa | 
124:3	Jakobus, der Sohn des Steinmetzes | 
124:4	Die Episode in Skythopolis | 
124:6	Persönliche Moral und Gruppenloyalität | 
126:3	Maria, Martha und Lazarus | 
127:2	Ursprung des „Vaterunsers“ | Der „Menschensohn“ | Wer ist der Messias? | 
127:3	Kindererziehung 
127:4	| Passahbesuch in Jerusalem
127:6	Mit Jakobus beim Passahfest | Besuch von Elisabeth und Johannes | Tod des Amos 
128:1	| Wachsendes Bewusstsein der Göttlichkeit | Mit Josef beim Passahfest | 
128:2	Als Schmied in Sepphoris | 
128:3	Mit Simon beim Passahfest | Jesus begegnet Stephanus | 
128:5	Der Heiratsantrag in Alexandria 
128:6	| Mit Judas beim Passahfest | „Onkel Josua, erzähl uns eine Geschichte“ | 
128:7	Jakobus’ Hochzeit | Mirjams Hochzeit | Jakobus, Oberhaupt der Familie Josefs | 
129:1	Zebedäus von Kapernaum | Jesus, der Bootsbauer | 
129:2	Jesus besucht Jerusalem | Begegnung mit Gonod und Ganid | 
129:3	Zweck der Reise nach Rom | 
130:1	Diskussion über Gut und Böse | 
130:2	Der Kaufmann aus der Mongolei | Der griechische Arbeiter und der römische Vorarbeiter | Gottes Wille und der Wille des Menschen | 
130:8	Esra, der abtrünnige Jude | 
132:0	Einfluss auf 32 religiöse Führer 
132:4	| An den römischen Senator | An den römischen Soldaten | An den Redner auf dem Forum | An den armen, fälschlich beschuldigten Mann 
132:7	| Der gedankenlose Heide | „Lass uns eine neue Religion gründen.“ 
133:0	Indiens Kastensystem 
133:2	Der Mann, der seine Frau misshandelt 
133:3	Crispus, der Vorsteher der Synagoge | Justus, der Kaufmann | Die beiden Frauen des öffentlichen Lebens 
133:4	Zum Müller | Zum römischen Zenturio | Zum Mithras-Anführer | Zum epikureischen Lehrer | Zum griechischen Bauunternehmer | Zum römischen Richter | Zur Wirtin des griechischen Gasthauses | Zum chinesischen Kaufmann | Zum Reisenden aus Britannien | Zum Ausreißer | Zum verurteilten Verbrecher 
134:1	Rückkehr nach Nazareth | Hochzeit des Simon; Hochzeit des Judas 
134:7	Einsame Wanderungen 
134:8	Ende der Luzifer-Rebellion | Die Herrschaft Nebadons 
134:9	Besuch bei Johannes in Jerusalem | Arbeit in Zebedäus' Bootswerkstatt 
135:8	Taufe Jesu 
136:3	Gespräch mit Gabriel | Vollendung der Herrschaft über das Universum 
136:4	Der Weg des Vaters 
136:5	Personalisierter Stellvertreter im Kommando | Unempfindlichkeit des Stellvertreters gegenüber der Zeit 
136:6	Der Weg des normalen irdischen Daseins 
136:7	Gehorsam gegenüber dem Naturgesetz 
136:8	Weigerung, Kompromisse mit dem Bösen einzugehen 
136:9	Ablehnung von Davids Thron 
136:10	„Ich will mich dem Willen meines Vaters unterwerfen.“ 
137:1	Andreas und Petrus | Jakobus und Johannes 
138:3	Nicht die Gerechten, sondern die Sünder 
140:3	Die Bergpredigt 
140:5	Selig sind die Armen im Geiste, die Demütigen | Selig sind, die nach Gerechtigkeit hungern und dürsten ... | Selig sind die Sanftmütigen | Selig sind, die reinen Herzens sind | Selig sind die Trauernden | Selig sind die Barmherzigen | Selig sind die Friedensstifter | Selig sind die Verfolgten 
140:6	„Ich sehe über die Tat hinaus ...“ | Über die Scheidung | Gerechtigkeit und Barmherzigkeit | „Sie tun gut – beunruhigt sie nicht.“ 
140:8	(1) Den Willen des Vaters tun | (2) Politische Haltung | (3) Soziale Haltung | (4) Wirtschaftliche Haltung | (5) Persönliche Religion 
141:3	Jesu Persönlichkeit | Jesu Erscheinung 
141:4	Dienst an den Kranken 
141:6	Teherma der Perser 
141:7	Lehre über das Reich Gottes | Erlösung durch Glauben; Freiheit durch Wahrheit 
142:0	Besuch bei Annas 
142:2	Jakob von Kreta 
142:3	Sechs hebräische Gottesvorstellungen | Die früheren Zehn Gebote 
142:8	Das Lager im Gethsemane-Park 
143:1	„Sie haben unsere Botschaft verhöhnt.“ | „Seht ihr etwa Schwächlinge aus?“ 
143:3	Drei Tage auf dem Berg Sartaba 
143:6	Im Lager auf dem Berg Gerizim 
144:5	Sieben Gebete aus anderen Welten 
144:8	„… sagt Johannes, dass er nicht vergessen ist.“ 
145:0	Besuch bei Ruth 
145:2	Religion ist eine persönliche Erfahrung | Der junge Epileptiker | Die Mutter von Petrus’ Frau 
146:2	Gebet, Danksagung und Anbetung | Gerechtigkeit und Barmherzigkeit | Gebet und persönliche Anstrengung | Ethisches Gebet 
146:3	Religion, Wissenschaft und Philosophie | Die Gewissheit der Wahrheit | Der Besuch in Zebulum 
146:4	Arbeit in den Minen | Heilung des Aussätzigen 
146:5	Titus, der Adlige 
147:2	Trennung von den Aposteln des Johannes 
147:4	Nathanaels Frage nach der Goldenen Regel 
147:5	Gleichnis vom Geldverleiher | Status und Fortschritt 
147:6	Die sechs Kundschafter | „Der Sabbat ist für den Menschen da …“ 
148:8	Kirmeth von Bagdad 
148:9	Taufe dreier Kundschafter 
149:0	Davids Geheimdienstorganisation 
149:1	Die Heilungsphänomene 
149:2	Zwei Irrtümer des frühen Christentums | Jesu Ruf als Heiler | Seine Anerkennung der Gleichberechtigung der Frau | Der Charme seiner Persönlichkeit 
149:4	Kommentare zum Zorn | Über ausgeglichene Charaktere 
150:3	Rede über „Magie und Aberglaube“ 
151:5	Der Sturm auf dem See 
152:0	Veronika von Cäsarea-Philippi 
152:6	Mehr zum Gleichnis vom Sämann 
153:2	„Ich bin das Brot des Lebens.“ 
153:4	Der vom bösen Geist besessene Junge | „Wie kann Satan Satan austreiben?“ 
153:5	Verlassen der halbherzigen Anhänger 
154:2	Schließung der Synagogen 
154:4	„Was sollen wir mit Jesus tun?“ 
155:3	Wahrheit und Glaubensbekenntnis | Ursprung religiöser Traditionen 
156:2	„Diese Welt ist nur eine Brücke …“ 
156:5	Gleichnis vom törichten Zimmermann | Versuchung und menschliche Natur | Die Grundlagen materiellen Erfolgs | Geistliches Leben und Selbstachtung | Ideale und Ideen | Takt, Charme und Weisheit 
156:6	Haltung der jüdischen Führer 
157:0	Jesus versucht, seine Familie zu sehen 
157:1	„Der Fisch mit einem Schekel im Maul.“ 
157:3	„Wer sagen die Leute, dass ich bin?“ 
157:6	Die vier Lebensabschnitte Jesu | Neue autoritative Aussagen 
158:4	Jakobus von Safed: 
158:5	„Herr, ich glaube; hilf meinem Unglauben!“ 
159:1	„Wie oft wird mein Bruder gegen mich sündigen?“ | Gleichnis von der Abrechnung mit den Verwaltern | Gefahren des persönlichen Urteils: 
159:4	„Was ist die Wahrheit über die Heilige Schrift?“ 
159:5	„… trage die Last noch eine Meile weiter.“ 
160:1	Die drei Antriebe des Lebens | Problemlösung und andächtige Meditation | Vorurteile und die Erkenntnis der Wahrheit 
160:2	| Der soziale Wert der Freundschaft | Der hohe Wert der Ehe | 
160:4	Wesentliche Aspekte des weltlichen Lebens | Faktoren des materiellen Erfolgs | Die Bedeutung des Scheiterns
160:5	Was ist Religion? | Die Idee Gottes und das Ideal Gottes | Der Vater ist der höchste Wert | „Aber sind wir bereit, den Preis zu zahlen …?“ 
161:1	Nathanaels fünf Punkte |  
161:2	| Rede von Nathanael und Thomas | 
161:3	Die Ansichten der Mittler
162:0	„Meister … lass Feuer vom Himmel fallen …“ 
162:2	| Eber, der Offizier des Sanhedrin | 
163:1	Die Ernte ist groß, aber es gibt wenige Arbeiter | 
163:2	Reichtum und die Gier nach Reichtum | 
163:3	Gleichnis von den Arbeitern im Weinberg 
163:4	| Jesu Anweisungen | Petrus’ Ordinationspredigt 
165:3	| „Hütet euch vor dem Sauerteig der Pharisäer …“ | „… selbst die Haare auf eurem Haupt sind gezählt.“ | 
165:4	Gleichnis vom törichten reichen Mann | „Wo dein Schatz ist, da ist auch dein Herz.“ | „Was nützt es dir, wenn du die ganze Welt gewinnst …?“ 
165:5	„Seht euch die Lilien an, wie sie wachsen …“ 
166:1	Zeremonielle Handwaschung | 
166:3	Der gerade und schmale Weg | Viele, die die Ersten sind, werden die Letzten sein | „Ich stehe vor der Tür und klopfe an“ | 
166:4	Das spätere Wirken und der Tod Abners | 
167:1	Heilung des Gläubigen | „… setzt euch nicht auf den Ehrenplatz …“ | 
167:5	Der Pharisäer und der Zöllner | Lehre über die Ehe | 
167:6	Schönheit als Einfluss auf die Anbetung | 
168:0	„Ich bin die Auferstehung und das Leben …“ 
168:3	| „Es ist besser, dass ein Mensch stirbt …“ 
169:0	Die Anklagen des Sanhedrin gegen Jesus | 
169:4	Jesus lebte als Offenbarung Gottes | Elohim und Jahwe | 
170:2	Sünde und Vergebung 
170:5	| Soziale und geistliche Brüderlichkeit | Ein anderer und größerer Johannes der Täufer | Christentum und das Evangelium Jesu 
171:0	| „… verheißt mir, dass diese meine Söhne Ehre erhalten sollen …“ | 
171:1	Davids späteres Leben | Zebedäus’ späteres Leben | Antiochia und Philadelphia | 
171:3	Abschied von Abner | 
171:4	Petrus und Simon und die hundert Schwerter | Warnung vor den freundlich gesinnten Pharisäern | 
171:8	Nathanaels Auslegung des Gleichnisses | 
172:1	Maria salbt Jesu Füße | Jesus weist Judas zurecht | 
172:4	Das Scherflein der Witwe 
173:2	| „Die Taufe des Johannes, woher stammt sie?“ | 
173:4	Der Stein, den die Bauleute verworfen haben 
173:5	| „Zerstört diesen Tempel, und … ich werde ihn wieder aufrichten.“ 
174:0	| Persönliche Grüße an die Zwölf | 
174:2	Ist es erlaubt, dem Kaiser Steuern zu zahlen? | 
174:4	Der Erlöser, wessen Sohn ist er? 
174:5	„… außer dass ein Weizenkorn in die Erde fällt und stirbt…“ | „… wenn ich erhöht werde… in eurem Leben…“ 
175:1	„Generation um Generation haben wir unsere Propheten gesandt…“ | „… wer der Größte unter euch sein will…“ | „Wehe euch, Schriftgelehrte und Pharisäer, ihr Heuchler!“ | „… du… reinige die Außenseite des Bechers…“ | „Und nun verabschiede ich mich von euch.“ 
175:4	Judas’ endgültige Entscheidung. 
176:2	Der Bericht im Matthäusevangelium. 
176:3	Gleichnis von den Talenten | „Macht weiter, bis ich komme.“ | Kommentare zum Wachstum der lebendigen Wahrheit. 
177:1	Johannes Markus und der Brotkorb. 
177:5	Hütet euch vor der Unterstützung der Menge.
178:1	Lerne, auch im Wohlstand treu zu sein | Versuche nicht die Engel deiner Aufsicht 
178:2	David befreit Judas vom „Sack“ | Vorbereitungen für das letzte Abendmahl 
180:1	. „… liebt einander, wie ich euch geliebt habe.“
180:3	„Euer Herz sei nicht bestürzt.“ | „Meister, zeige uns den Vater …“ 
180:5	Kommentare zur Goldenen Regel 
181:1	„Alles, was ihr empfangen werdet, gebe ich euch.“ | „Euer Herz sei nicht bestürzt.“ 
182:1	Jesu Erweiterung der Offenbarung des Namens Gottes. Die 
182:2	Entsendung des Läufers zu Abner | Davids Abschied. Zebedäus’ Abschied. 
182:3	Der Geist ist willig, aber das Fleisch ist schwach. 
184:4	Eine neue Offenbarung des Menschen vor Gott. 
185:2	Die schriftlichen Anklagen des Sanhedrin. 
185:6	Die Geißelung Jesu | „Seht, welch ein Mensch!“ 
186:0	Jesu Familie in Bethanien. 
186:1	Die dreißig Silberlinge. 
186:2	„Pilatus vor Jesus.“ | „Seht, Gott und Mensch!“ 
187:1	„Ihr Töchter Jerusalems, weint nicht um mich …“ | Simon von Kyrene 
187:4	Jesu Auftrag an Johannes 
188:0	, Josef und Nikodemus vor Pilatus 
188:3	Was vertraute Jesus dem Vater an? | Status der Persönlichkeit Jesu 
189:3	Abschied des persönlichen Vermittlers 
