ref	subsections
29:4	(1) Associate Power Directors|(2) Mechanical Controllers|(3) Energy Transformers|(4) Energy Transmitters|(5) Primary Associators|(6) Secondary Dissociators|(7) The Frandalanks|The Chronoldeks
29:5	Primary Eventuated Master Force Organizers Associate Transcendental Master Force Organizers
30:1	I. Triune-Origin Beings|II. Dual-Origin Beings|III. Single-Origin Beings|IV. Eventuated Transcendental Beings|V. Fragmented Entities of Deity|VI. Superpersonal Beings|VII. Unclassified and Unrevealed Orders
30:2	I. The Paradise Deities|II. The Supreme Spirits|III. The Trinity-Origin Beings|IV. The Sons of God|V. Personalities of the Infinite Spirit|VI. The Universe Power Directors|VII. The Corps of Permanent Citizenship|Composite Personality Groups
30:3	(1) The Star Students|(2) The Celestial Artisans|(3) The Reversion Directors|(4) Extension-School Instructors|(5) The Various Reserve Corps|(6) The Student Visitors|(7) The Ascending Pilgrims
30:4	(1) Planetary Mortals|(2) Sleeping Survivors|(3) Mansion World Students|(4) Morontia Progressors|(5) Superuniverse Wards|(6) Havona Pilgrims|(7) Paradise Arrivals
33:6	Local universe time
34:6	Dual nature of man
34:7	“This is the way.”
35:4	Melchizedek incarnations
35:8	Primary Lanonandeks|Secondary Lanonandeks|Tertiary Lanonandeks
36:4	The midsoniters|Salvington Worlds of the Finaliters
36:5	(1) The spirit of intuition|(2) The spirit of understanding|(3) The spirit of courage|(4) The spirit of knowledge|(5) The spirit of counsel|(6) The spirit of worship|(7) The spirit of wisdom
37:2	Created Evening Stars|Ascendant Evening Stars|The Worlds of the Evening Stars
37:3	The Worlds of the Archangels
37:5	Race commissioners|Nebadon Corps of Perfection|Worlds of the Spirit-fused Mortals
37:6	Nebadon educational system
37:8	Solitary Messengers|Universe Circuit Supervisor-Andovontia|Census Director-Salsatia|Associate Inspector|Assigned Sentinels|Universal Conciliators|Technical Advisers|Celestial recorders|Morontia Companions
37:9	(1) Susatia|(2) Univitatia|(3) Material Sons|(4) Midway Creatures|Abandonters
37:10	The Spironga|The Spornagia|Courtesy colonies
38:8	(1) Ascension Candidates|(2) Mid-phase Cherubim|(3) Morontia Cherubim
38:9	(1) Primary Midwayers|(2) Secondary Midwayers
39:1	(1) Son-Spirit Ministers|_Bestowal attendants|(2) Court Advisers|(3) Universe Orientators|(4) The Teaching Counselors|(5) Directors of Assignment|(6) The Recorders|(7) Unattached Ministers
39:2	(1) The Intelligence Corps|(2) The Voice of Mercy|(3) Spirit Co-ordinators|(4) Assistant Teachers|(5) The Transporters|_Seraphic transport techniques|(6) The Recorders|_Broadcasters|(7) The Reserves
39:3	(1) Supervising Assistants|(2) Law Forecasters|(3) Social Architects|(4) Ethical Sensitizers|(5) The Transporters|(6) The Recorders|(7) The Reserves
39:4	(1) Administrative Assistants|(2) Justice Guides|(3) Interpreters of Cosmic Citizenship|(4) Quickeners of Morality|(5) The Transporters|(6) The Recorders|(7) The Reserves
39:5	(1) The Voices of the Garden|(2) The Spirits of Brotherhood|(3) The Souls of Peace|(4) The Spirits of Trust|(5) The Transporters|_Departure of a seraphic transport|(6) The Recorders|(7) The Reserves
40:5	Mortals of the transient or experiential Adjuster sojourn|Mortals of the non-Adjuster-fusion types|Mortals of Adjuster-fusion potential|The unnumbered series
40:9	Techniques of memory reconstruction
42:2	(1) Space potency|(2) Primordial force|(3) Emergent energies|_a. Puissant energy|_b. Gravity energy|(4) Universe power|(5) Havona energy|(6) Transcendental energy|(7) Monota
42:10	(1) Preadjutant-spirit minds|(2) Adjutant-spirit minds|(3) Evolving morontia minds|_The cosmic mind
45:1	(1) The Finaliter World|(2) The Morontia World|(3) The Angelic World|(4) The Superangel World|(5) The World of the Sons|(6) The World of the Spirit|(7) The World of the Father
45:6	Parental experience|The probation nursery of Satania
46:5	(1) Circles of the Sons of God|(2) Circles of the angels|(3) Circles of the Universe Aids|(4) Circles of the Master Physical Controllers|(5) Circles of the ascending mortals|(6) Circles of the courtesy colonies|(7) Circles of the finaliters
47:1	Requisite parental experience
47:3	Morontia Companions
47:8	Adjuster fusion
48:2	(1) Circuit Regulators|(2) System Co-ordinators|(3) Planetary Custodians|(4) Combined Controllers|(5) Liaison Stabilizers|(6) Selective Assorters|(7) Associate Registrars
48:3	(1) Pilgrim Guardians|(2) Pilgrim Receivers and Free Associators|(3) Hosts to Celestial Visitors|(4) Co-ordinators and Liaison Directors|(5) Interpreters and Translators|(6) Excursion and Reversion Supervisors|(7) Area and Building Custodians
48:4	Celestial humor|Mortal humor
48:6	(1) Seraphic Evangels|_Original of Twenty-third Psalm|(2) Racial Interpreters|(3) Mind Planners|(4) Morontia Counselors|_Stereoscopic effect of mota|(5) Technicians|(6) Recorder-Teachers|_Truth and fact|(7) Ministering Reserves|_Success, failure, and ego
49:2	(1) The atmospheric types|(2) The elemental types|(3) The gravity types|(4) The temperature types|(5) The electric types|(6) The energizing types|(7) The unnamed types
49:5	(1) Adjustment to planetary environment|_Experimental series inspected by Tabamantia|(2) Brain-type series|(3) Spirit-reception series|(4) Planetary-mortal epochs|(5) Creature-kinship serials|(6) Adjuster-fusion series|(7) Techniques of terrestrial escape
49:6	(1) The dispensational or group order of survival|(2) The individual orders of ascension|(3) The probationary-dependent orders of ascension|(4) The secondary modified orders of ascension|(5) The primary modified order of ascension
50:7	Agondonters|Tabamantia an agondonter
54:5	Twelve reasons
55:4	The seven stages on a planet|Release of midwayers|Adamic departure
55:12	The Unqualified Supervisors of the Supreme
57:4	Origin of the Sun
57:5	Retrograde motion
57:6	The planet-forming era|Tidal friction|Gravity-tidal explosions
57:7	The Volcanic Age|The Primitive Planetary Atmosphere
57:8	The Age of Earthquakes|The World Ocean and the First Continent
59:1	The Trilobite Age
59:2	The Invertebrate-Animal Age
59:3	The Coral Period|The Brachiopod Age
59:4	The Vegetative Land-Life Period|The Age of Fishes
59:5	The Fern-Forest Carboniferous Period|The Age of Frogs
59:6	The Seed-Plant Period|The Age of Biologic Tribulation
60:3	The Flowering-Plant Period|The Age of Birds
61:1	The Age of Early Mammals
61:2	The Age of Advanced Mammals
61:3	Age of the Elephant and the Horse
61:4	The Last Great Mammalian Migration
62:3	Origin of the Simian tribes
64:6	(1) The red man|(2) The orange man|(3) The yellow man|(4) The green man|(5) The blue man|(6) The indigo race|_Purpose of the six races
65:1	(1) The physical level of electrochemistry|(2) The usual mid-phase of quasi-morontial existence|(3) The advanced semispiritual level
65:7	Mechanical-nonteachable mind|Nonmechanical experiencing mind
66:3	(1) The council on food and material welfare|(2) The board of animal domestication and utilization|(3) The advisers regarding the conquest of predatory animals|(4) The faculty on dissemination and conservation of knowledge|(5) The commission on industry and trade|(6) The college of revealed religion|(7) The guardians of health and life|(8) The planetary council on art and science|(9) The governors of advanced tribal relations|(10) The supreme court of tribal co-ordination and racial co-operation
68:5	(1) The collection stage|(2) The hunting stage|(3) The pastoral stage|(4) The agricultural stage
68:6	The land-man ratio
69:1	(1) Institutions of self-maintenance|(2) Institutions of self-perpetuation|(3) Institutions of self-gratification
70:2	Modern industrialism versus militarism
73:0	Tabamantia's inspection
76:3	The Sethite priesthood
76:5	Michael's message
78:7	Story of Noah
80:2	Flooding of the Mediterranean
81:2	(1) The taming of fire|(2) The domestication of animals|(3) The enslavement of captives|(4) Private property
81:4	(1) The Caucasoid races|(2) The Mongoloid races|(3) The Negroid races
81:5	Might and right
81:6	(1) Natural circumstances|(2) Capital goods|(3) Scientific knowledge|(4) Human resources|(5) Effectiveness of material resources|(6) Effectiveness of language|(7) Effectiveness of mechanical devices|(8) Character of torchbearers|(9) The racial ideals|(10) Co-ordination of specialists|(11) Place-finding devices|(12) The willingness to co-operate|(13) Effective and wise leadership|(14) Social changes|(15) The prevention of transitional breakdown
88:2	Images and idols|“Sacred Books”
89:3	The continence cult
89:7	Temple harlotry
91:2	Prayer versus magic
92:4	(1) The Dalamatian teachings|(2) The Edenic teachings|(3) The Melchizedek of Salem|(4) Jesus of Nazareth|(5) The Urantia Papers
92:6	Eleven living religions
93:4	The creed|The seven commandments
94:1	The Rig-Veda
94:2	Doctrine of reincarnation
94:8	The gospel of Gautama|The moral commandments
96:5	Materialistic Providence
97:5	Micah and Obadiah
97:9	Ephraim and Judah|Saul and David|Solomon and taxation|Israel and Judah|Destruction of the Kingdom of Israel|End of the Kingdom of Judah|The Babylonian captivity
98:4	The Phrygian cult of Cybele and Attis|The Egyptian cult of Osiris and Isis|The Iranian cult of Mithras
101:3	Twelve illustrations of spiritual faith
101:6	Seven aspects of salvation
106:1	God the Sevenfold
106:2	The Supreme Being
106:3	The Trinity Ultimate
106:4	Ultimate Deity
106:5	The Trinity Absolute
106:6	The cosmos infinite
106:8	(1) The level of three Trinities|(2) The level of experiential Deity|(3) The level of the I AM
108:2	On Urantia|On other worlds
108:3	Tabamantia's tribute
109:6	The Adjuster that indwelt Jesus
109:7	Omnipersonal beings
110:7	The Adjuster's plea to the soul
111:7	A guardian of destiny's statement
112:0	Fourteen aspects of personality
114:4	Most High regencies
114:6	(1) The epochal angels|(2) The progress angels|(3) The religious guardians|(4) The angels of national life|(5) The angels of the races|(6) The angels of the future|(7) The angels of enlightenment|(8) The angels of health|(9) The home seraphim|(10) The angels of industry|(11) The angels of diversion|(12) The angels of superhuman ministry
116:1	The cosmic mind
116:5	The problem of equilibrium
117:2	Creature-trinitized sons and growth
117:4	Cosmic morality-supreme duty
117:5	Finaliter transcendation|Repercussions of human growth
118:1	Experiential (subjective) time units
118:3	Truth and fact|Space and pattern
118:8	The time governor of progress
121:4	(1) The Epicurean|(2) The Stoic|(3) The Cynic|(4) The Skeptic
121:5	The mystery religions
121:8	(1) The Gospel by Mark|(2) The Gospel by Matthew|(3) The Gospel by Luke|(4) The Gospel by John|_Acknowledgment
122:4	The “house of David”
122:8	The legend of the shepherds|The three priests from Ur|The “Star of Bethlehem”
122:10	The flight to Egypt
123:0	The Sojourn in Egypt
123:1	Jesus' fourth year
123:2	Child rearing
123:4	Material accidents
124:1	The picture on the floor|Climate in Galilee
124:2	Jacob the stone mason's son
124:3	The Scythopolis episode
124:4	Personal morality and group loyalty
124:6	Mary, Martha, and Lazarus
126:3	Origin of “The Lord's Prayer”|The “Son of Man”|Who is the Messiah?
127:2	The Zealot episode
127:3	With James at the Passover|Visit of Elizabeth and John|Death of Amos
127:4	Rearing the children
127:6	Passover visit to Jerusalem
128:1	Growing awareness of divinity|With Joseph at the Passover
128:2	As a smith at Sepphoris
128:3	With Simon at the Passover|Jesus meets Stephen
128:5	The Alexandrian proposal
128:6	With Jude at the Passover|“Uncle Joshua tell us a story”
128:7	James' marriage|Miriam's marriage|James head of the family of Joseph
129:1	Zebedee of Capernaum|Jesus the boatbuilder
129:2	Jesus visits Jerusalem|Meeting Gonod and Ganid
129:3	Purpose of the trip to Rome
130:1	Discussion of good and evil
130:2	The merchant from Mongolia|The Greek worker and the Roman foreman|God's will and man's will
130:8	Ezra, the backslidden Jew
132:0	Influence on thirty-two religious leaders
132:4	To the Roman senator|To the Roman soldier|To the speaker at the forum|To the poor man, falsely accused
132:7	The thoughtless pagan|“Let's you and I make a new religion.”
133:0	India's caste system
133:2	The man mistreating his wife
133:3	Crispus, chief ruler of the synagogue|Justus, the merchant|The two public women
133:4	To the miller|To the Roman centurion|To the Mithraic leader|To the Epicurean teacher|To the Greek contractor|To the Roman judge|To the mistress of the Greek inn|To the Chinese merchant|To the traveler from Britain|To the runaway lad|To the condemned criminal
134:1	Return to Nazareth|Marriage of Simon; marriage of Jude
134:7	Solitary wanderings
134:8	End of the Lucifer Rebellion|The sovereignty of Nebadon
134:9	Visit with John at Jerusalem|Working in Zebedee's boatshop
135:8	Baptism of Jesus
136:3	Conference with Gabriel|Completion of universe sovereignty
136:4	The Father's way
136:5	Personalized Adjuster in command|Insensitivity of Adjuster to time
136:6	The path of normal earthly existence
136:7	Obedience to natural law
136:8	Refusal to compromise with evil
136:9	Rejection of David's throne
136:10	“I will be subject to the will of my Father.”
137:1	Andrew and Peter|James and John
138:3	Not the righteous but sinners
140:3	The “Sermon on the Mount”
140:5	Happy are the poor in spirit-the humble|Happy are they who hunger and thirst for righteousness...|Happy are the meek|Happy are the pure in heart|Happy are they who mourn|Happy are the merciful|Happy are the peacemakers|Happy are they who are persecuted
140:6	“I look beyond the act . . .”|Concerning divorcement|Justice and mercy|“They do well-trouble them not.”
140:8	(1) Doing the Father's Will|(2) Political attitude|(3) Social attitude|(4) Economic attitude|(5) Personal religion
141:3	Jesus' personality|Jesus' appearance
141:4	Minister to the sick
141:6	Teherma the Persian
141:7	Teaching about the kingdom|Salvation by faith; liberty through truth
142:0	Visit to Annas
142:2	Jacob of Crete
142:3	Six Hebrew concepts of God|The earlier ten commandments
142:8	The camp in Gethsemane Park
143:1	“They made light of our message.”|“Do you resemble weaklings?”
143:3	Three days on Mount Sartaba
143:6	In camp on Mount Gerizim
144:5	Seven prayers from other worlds
144:8	“. . . tell John that he is not forgotten.”
145:0	Visit with Ruth
145:2	Religion is a personal experience|The young epileptic|Peter's wife's mother
146:2	Prayer, thanksgiving, and worship|Justice and mercy|Prayer and personal effort|Ethical prayer
146:3	Religion, science, and philosophy|The assurance of truth|The visit at Zebulum
146:4	Work in the mines|Healing the leprous man
146:5	Titus the nobleman
147:2	Separation from John's apostles
147:4	Nathaniel's question about the golden rule
147:5	Parable of the moneylender|Status and progress
147:6	The six spies|“The Sabbath was made for man . . .”
148:8	Kirmeth of Bagdad
148:9	Baptism of three of the spies
149:0	David's intelligence organization
149:1	The healing phenomena
149:2	Two mistakes of early Christianity|Jesus' fame as a healer|His recognition of the equality of women|Charm of his personality
149:4	Comments on anger|Concerning well-balanced characters
150:3	Discourse on “Magic and Superstition”
151:5	The storm on the lake
152:0	Veronica of Caesarea-Philippi
152:6	More about the parable of the sower
153:2	“I am the bread of life.”
153:4	The boy possessed by the evil spirit|“How can Satan cast out Satan?”
153:5	Desertion of the halfhearted followers
154:2	Closing of the synagogues
154:4	“What shall we do with Jesus?”
155:3	Truth and creed|Origin of religious traditions
156:2	“This world is only a bridge ..... ”
156:5	Parable of the foolish carpenter|Temptation and human nature|The essentials of material success|Spiritual living and self-respect|Ideals and ideas|Tact, charm, and wisdom
156:6	Attitude of the Jewish leaders
157:0	Jesus attempts to see his family
157:1	“The fish with a shekel in his mouth.”
157:3	“Who do men say that I am?”
157:6	The four stages of Jesus' life|New authoritative pronouncements
158:4	James of Safed
158:5	“Lord I believe help my unbelief.”
159:1	“How often shall my brother sin against me?”|Parable of the reckoning with the stewards|Dangers of personal judgment
159:4	“What is the truth about the Scriptures?”
159:5	“. . . carry the pack a second mile.”
160:1	The three drives of life|Problem solving and worshipful meditation|Prejudice and the recognition of truth
160:2	Socializing value of friendship|The great value of marriage
160:4	Essentials of temporal life|Factors of material success|The meaning of failure
160:5	What is religion?|The idea of God and the ideal of God|The Father is the final value|“But are we willing to pay the price ..... ?”
161:1	Nathaniel's five points
161:2	Discourse by Nathaniel and Thomas
161:3	The midwayers' views
162:0	“Master . . . bid fire come down from heaven . . .”
162:2	Eber the officer of the Sanhedrin
163:1	The harvest is plenteous but the laborers are few
163:2	Riches and the love of wealth
163:3	Parable of the laborers in the vineyard
163:4	Jesus' instructions|Peter's ordination sermon
165:3	“Beware of the leaven of the Pharisees . . .”|“. . . the very hairs of your head are numbered”
165:4	Parable of the foolish rich man|“Where your treasure is there will your heart be also.”|“What shall it profit if you gain the whole world ..... ?”
165:5	“Consider the lilies, how they grow ....”
166:1	Ceremonial hand washing
166:3	The straight and narrow way|Many who are first will be last|“I stand at the door and knock”
166:4	The later ministry and death of Abner
167:1	Healing the believer|“. . . sit not down in the chief seat . . .”
167:5	The Pharisee and the publican|Teaching about marriage
167:6	Beauty as an influence to worship
168:0	“I am the resurrection and the life ..... ”
168:3	“It is better that one man die . . .”
169:0	The Sanhedrin's charges against Jesus
169:4	Jesus lived a revelation of God|Elohim and Yahweh
170:2	Sin and forgiveness
170:5	Social brotherhood and spiritual brotherhood|Another and greater John the Baptist|Christianity and the Jesus gospel
171:0	“. . . promise me that these my sons shall have honor ..... ”
171:1	David Zebedee's later life|Antioch and Philadelphia
171:3	Farewell to Abner
171:4	Peter and Simon and the 100 swords|Warning of the friendly Pharisees
171:8	Nathaniel's interpretation of the parable
172:1	Mary anoints Jesus' feet|Jesus rebukes Judas
172:4	The widow's mite
173:2	“The baptism of John, whence was it?”
173:4	The stone which the builders rejected
173:5	“Destroy this temple and . . . I will raise it up.”
174:0	Individual salutations to the twelve
174:2	Is it lawful to give tribute to Caesar?
174:4	The Deliverer, whose son is he?
174:5	“. . . except a grain of wheat falls into the earth and dies . . .”|“. . . if I be lifted up . . . in your lives . . .”
175:1	“Generation after generation have we sent our prophets . . .”|“. . . he who would be greatest among you . . .”|“Woe upon you, scribes and Pharisees, hypocrites!”|“. . . you . . . cleanse the outside of the cup . . .”|“And now I take leave of you.”
175:4	Judas' final decision
176:2	The account in the Matthew Gospel
176:3	Parable of the talents|“Carry on until I come.”|Comments on the growth of living truth
177:1	John Mark and the lunch basket
177:5	Beware of the support of the multitude
178:1	Learn to be faithful even in prosperity|Tempt not the angels of your supervision
178:2	David relieves Judas of the “bag”|Arrangements for the Last Supper
180:1	“. . . love one another even as I have loved you.”
180:3	“Let not your hearts be troubled.”|“Master, show us the Father . . .”
180:5	Comments on the golden rule
181:1	“I give each of you all you will receive.”|“Let not your heart be troubled.”
182:1	Jesus' enlargement of the revelation of God's name
182:2	Dispatching the runner to Abner|David Zebedee's farewell
182:3	The spirit is willing but the flesh is weak
184:4	A new revelation of man to God
185:2	The written charges of the Sanhedrist tribunal
185:6	The scourging of Jesus|“Behold the man!”
186:0	Jesus' family at Bethany
186:1	The thirty pieces of silver
186:2	“Pilate on trial before Jesus.”|“Behold God and man!”
187:1	“Daughters of Jerusalem, weep not for me . . .”|Simon from Cyrene
187:4	Jesus' charge to John
188:0	Joseph and Nicodemus before Pilate
188:3	What did Jesus commend to the Father's hands?|Status of the personality of Jesus
189:3	Departure of the Personalized Adjuster
189:4	The five women|Jesus appears to Mary Magdalene
189:5	Second appearance-to Mary Magdalene
190:2	Appearance to his brother James|Appearance to his earthly family
191:0	Reactions of the individual apostles
191:3	Stages of morontia progression
191:5	“Blessed are those in the ages to come . . .”
192:1	“Lads, have you caught anything?”
193:0	The sixteenth appearance (courtyard of Nicodemus)
194:0	The new gospel about Jesus
194:2	The mission of the Spirit of Truth|Man's threefold spiritual endowment|The seven higher spiritual influences
195:0	Reasons for the triumph of Christianity in the Occident|Early Christian compromises
196:0	Jesus' living faith in God|“Seek first the kingdom of heaven.”|“Why do you call me good?”|What prayer meant to Jesus|Jesus' childlike faith in God
196:2	The religion about Jesus|Religion as a personal experience
196:3	Fact, idea, and relation|Reason, wisdom, and faith|Thing, meaning, and value|Unless a divine lover lived in man . . .|Morality and religion|The Father is living love
