ref	subsections
30:2	I. Las Deidades del Paraíso|II. Los Espíritus Supremos|III. Los seres con origen en la Trinidad|IV. Los Hijos de Dios|V. Personalidades del Espíritu Infinito|VI. Los Directores del Poder Universal|VII. El cuerpo de ciudadanos permanentes|Los grupos de personalidades compuestas
30:3	(1) Los Estudiantes de Estrellas|(2) Los Artesanos Celestiales|(3) Los Directores de la Reversión|(4) Los Instructores de las Facultades Anexas|(5) Los Diversos Cuerpos de Reserva|(6) Los Visitantes Estudiantiles|(7) Los Peregrinos Ascendentes
30:4	(1) Los mortales planetarios|(2) Los supervivientes dormidos|(3) Los estudiantes de los mundos de las mansiones|(4) Los progresores morontiales|(5) Los pupilos superuniversales|(6) Los peregrinos en Havona|(7) Los que llegan al Paraíso
33:6	El tiempo del universo local
34:6	La naturaleza doble del hombre
34:7	«Éste es el camino»
35:4	Las encarnaciones de los Melquisedeks
35:8	Los Lanonandeks primarios|Los Lanonandeks secundarios|Los Lanonandeks terciarios
36:4	Los midsonitarios|Los mundos de los finalitarios situados en Salvington
36:5	(1) El espíritu de intuición|(2) El espíritu de comprensión|(3) El espíritu de valentía|(4) El espíritu de conocimiento|(5) El espíritu de consejo|(6) El espíritu de adoración|(7) El espíritu de sabiduría
37:2	Las Estrellas Vespertinas creadas|Las Estrellas Vespertinas ascendentes|Los mundos de las Estrellas Vespertinas
37:3	Los mundos de los Arcángeles
37:5	Los Comisionados de las razas|El Cuerpo de la Perfección de Nebadon|Los mundos de los mortales fusionados con el Espíritu
37:6	El sistema de instrucción de Nebadon
37:8	Los Mensajeros Solitarios|Andovontia, el Supervisor de los Circuitos Universales|Salsatia, el Director del Censo|El Inspector Asociado|Los Centinelas Asignados|Los Conciliadores Universales|Los Asesores Técnicos|Los Registradores Celestiales|Los Compañeros Morontiales
37:9	(1) Los Susatias|(2) Los Univitatias|(3) Los Hijos Materiales|(4) Las Criaturas Intermedias|Los Abandontarios
37:10	Los Espirongas|Los Espornagias|Las Colonias de cortesía
38:8	(1) Los candidatos a la ascensión|(2) Los querubines de la fase media|(3) Los querubines morontiales
38:9	(1) Los intermedios primarios|(2) Los intermedios secundarios
39:1	(1) Los Ministros del Hijo-Espíritu|_Los asistentes de las donaciones|(2) Los Asesores de los tribunales|(3) Los Orientadores universales|(4) Los Consejeros Docentes|(5) Los Directores de la Asignación|(6) Los Registradores|(7) Los Ministros Disponibles
39:2	(1) El Cuerpo de Información|(2) La Voz de la Misericordia|(3) Los Coordinadores Espirituales|(4) Los Educadores Asistentes|(5) Los Transportadores|_El proceso de transporte con un serafín|(6) Los Registradores|_Los Transmisores|(7) Las Reservas
39:3	(1) Los Asistentes Supervisores|(2) Los Pronosticadores de la Ley|(3) Los Arquitectos Sociales|(4) Los Sensibilizadores Éticos|(5) Los Transportadores|(6) Los Registradores|(7) Las Reservas
39:4	(1) Los Asistentes Administrativos|(2) Los Guías de la Justicia|(3) Los Intérpretes de la Ciudadanía Cósmica|(4) Los Estimuladores de la Moralidad|(5) Los Transportadores|(6) Los Registradores|(7) Las Reservas
39:5	(1) Las Voces del Jardín|(2) Los Espíritus de la Fraternidad|(3) Las Almas de la Paz|(4) Los Espíritus de la Confianza|(5) Los Transportadores|_Envío de un transporte seráfico|(6) Los Registradores|(7) Las Reservas
40:5	Mortales en quienes la estancia del Ajustador es transitoria o experiencial.|Mortales de los tipos que no fusionan con el Ajustador|Mortales que tienen el potencial de fusionar con el Ajustador|Las series sin numerar
40:9	Las técnicas de reconstrucción de la memoria
42:2	(1) La potencia espacial|(2) La fuerza primordial|(3) Las energías emergentes|_a. La energía potente|_b. La energía gravitatoria|(4) El poder universal|(5) La energía de Havona|(6) La energía trascendental|(7) La monota
42:10	(1) La mente anterior a los espíritus ayudantes|(2) La mente asistida por los espíritus ayudantes|(3) La mente morontial en evolución|_La mente cósmica
45:1	(1) El mundo de los finalitarios|(2) El mundo de la morontia|(3) El mundo de los ángeles|(4) El mundo de los superángeles|(5) El mundo de los Hijos|(6) El mundo del Espíritu|(7) El mundo del Padre
45:6	La experiencia parental|La guardería infantil probatoria de Satania
46:5	(1) Los círculos de los Hijos de Dios|(2) Los círculos de los ángeles|(3) Los círculos de los Ayudantes Universales|(4) Los círculos de los Controladores Físicos Maestros|(5) Los círculos de los mortales ascendentes|(6) Los círculos de las colonias de cortesía|(7) Los círculos de los finalitarios
47:1	La experiencia que se exige como progenitor
47:3	Los compañeros morontiales
47:8	La fusión con el Ajustador
48:2	(1) Reguladores de los circuitos|(2) Coordinadores de los sistemas|(3) Guardianes planetarios|(4) Controladores combinados|(5) Estabilizadores de enlaces|(6) Clasificadores selectivos|(7) Registradores asociados
48:3	(I) Guardianes de los peregrinos|(2) Receptores de los peregrinos y asociadores libres|(3) Anfitriones de los visitantes celestiales|(4) Coordinadores y directores de enlace|(5) Intérpretes y traductores|(6) Supervisores de las excursiones y la reversión|(7) Guardianes de las superficies y de los edificios
48:4	El humor celestial|El humor humano
48:6	(1) Evángeles seráficos|_El origen del salmo|(2) Intérpretes raciales|(3) Planificadores de la mente|(4) Consejeros morontiales|_El efecto estereoscópico de la mota morontial|(5) Técnicos|(6) Educadores-registradores|_La verdad y los hechos|(7) Reservas ministrantes|_(Éxito, derrota y el yo)
49:2	(1) Tipos atmosféricos|(2) Tipos elementales|(3) Tipos gravitatorios|(4) Tipos térmicos|(5) Tipos eléctricos|(6) Tipos energizadores|(7) Tipos innominados
49:5	(1) Adaptación al entorno planetario|_Series experimentales inspeccionadas por Tabamantia|(2) Series de los tipos cerebrales|(3) Series receptoras al espíritu|(4) Épocas planetarias de los mortales|(5) Series de las criaturas emparentadas|(6) Series de los que fusionan con el Ajustador|(7) Técnicas para salir del planeta
49:6	(1) Orden de supervivencia dispensacional o colectiva|(2) Órdenes individuales de ascensión|(3) Órdenes de ascensión que dependen de un período de prueba|(4) Órdenes secundarias modificadas de ascensión|(5) Orden primaria modificada de ascensión
50:7	Los agondontarios|Tabamantia es un agondontario
54:5	Doce razones
55:4	Las siete etapas en una planeta|La liberación de los intermedios|La partida de Adán
55:12	Los Supervisores Incalificados del Supremo
57:4	El origen del Sol
57:5	El movimiento retrógrado
57:6	La era de la formación de los planetas|La fricción mareomotriz|La explosión ocasionada por la gravedad mareomotriz
57:7	La época volcánica|La atmósfera planetaria primitiva
57:8	La época de los terremotos|El océano mundial y el primer continente
59:1	La época de los trilobites
59:2	La época de los animales invertebrados
59:3	El período del coral|La época de los braquiópodos
59:4	El período de la vida terrestre vegetal|La época de los peces
59:5	El período carbonífero de los bosques de helechos|La época de las ranas
59:6	El período de las plantas con semillas|La época de las tribulaciones biológicas
60:3	El período de las plantas floríferas|La época de las aves
61:1	La época de los primeros mamíferos
61:2	La época de los mamíferos avanzados
61:3	La época del elefante y del caballo
61:4	La última gran emigración de los mamíferos
62:3	El origen de las tribus simias
64:6	(1) El hombre rojo|(2) El hombre anaranjado|(3) El hombre amarillo|(4) El hombre verde|(5) El hombre azul|(6) La raza índigo|_La finalidad de las seis razas
65:1	(1) El nivel físico de la electroquímica|(2) La fase de existencia casi morontial|(3) El nivel semiespiritual avanzado
65:7	La mente maquinal, sin el potencial de aprender|La mente no maquinal experiencial
66:3	(1) El consejo de la alimentación y el bienestar material|(2) El consejo de la domesticación de los animales|(3) Los consejeros encargados de vencer a los animales de rapiña|(4) El cuerpo docente encargado de difundir el conocimiento|(5) La comisión de la industria y el comercio|(6) El colegio de la religión revelada|(7) Los guardianes de la salud y la vida|(8) El consejo planetario de las artes y las ciencias|(9) Los gobernadores de las relaciones tribales avanzadas|(10) El tribunal supremo de coordinación tribal y de cooperación racial
68:5	(1) La etapa de la recogida|(2) La etapa de la caza|(3) La etapa del pastoreo|(4) La etapa agrícola
68:6	La proporción tierra-hombre
69:1	(1) Las instituciones de autoconservación|(2) Las instituciones de autoperpetuación|(3) Las instituciones de satisfacción personal
70:2	El industrialismo moderno contra el militarismo
73:0	La inspección de Tabamantia
76:3	El clero setita
76:5	El mensaje de Miguel
78:7	La historia de Noé
80:2	La inundación mediterránea
81:2	(1) El dominio del fuego|(2) La domesticación de los animales|(3) La esclavización de los cautivos|(4) La propiedad privada
81:4	(1) La caucasoide|(2) La mongoloide|(3) La negroide
81:5	La fuerza y el derecho
81:6	(1) Las circunstancias naturales|(2) Los bienes de equipo|(3) Los conocimientos científicos|(4) Los recursos humanos|(5) La eficacia de los recursos materiales|(6) La eficacia del idioma|(7) La eficacia de los dispositivos mecánicos|(8) El carácter de los abanderados|(9) Los ideales raciales|(10) La coordinación de los especialistas|(11) Los mecanismos para encontrar empleo|(12) La buena voluntad para cooperar|(13) Los dirigentes sabios y eficaces|(14) Los cambios sociales|(15) La medidas preventivas contra los desmoronamientos en los períodos de transición
88:2	Las imágenes y los ídolos|Los «libros sagrados»
89:3	El culto de la continencia
89:7	La prostitución en los templos
91:2	La oración contra la magia
92:4	(1) Las enseñanzas de Dalamatia|(2) Las enseñanzas del Edén|(3) Melquisedek de Salem|(4) Jesús de Nazaret|(5) Los documentos de Urantia
92:6	Once religiones vivientes
93:4	El credo|Los siete mandamientos
94:1	El Rig-Veda
94:2	La doctrina de la reencarnación
94:8	El evangelio de Gautama|Los mandamientos morales
96:5	La Providencia materialista
97:5	Miqueas y Abdías
97:9	Efraín y Judá|Saúl y David|Salomón y los impuestos|Israel y Judá|La destrucción del reino de Israel|El fin del reino de Judá|La cautividad en Babilonia
98:4	El culto frigio de Cibeles y Atis|El culto egipcio de Isis y Osiris|El culto iraní de Mitra
101:3	Doce ejemplos de fe espiritual
101:6	Siete aspectos de la salvación
106:1	Dios Séptuple
106:2	El Ser Supremo
106:3	La Trinidad Última
106:4	La Deidad Última
106:5	La Trinidad Absoluta
106:6	El cosmos infinito
106:8	(1) El nivel de las tres Trinidades|(2) El nivel de la Deidad experiencial|(3) El nivel del YO SOY
108:2	En Urantia|En otros mundos
108:3	Tabamantia expresa su homenaje
109:6	El Ajustador de Jesús
109:7	Los seres omnipersonales
110:7	La súplica del Ajustador al alma
111:7	La declaración de un guardián del destino
112:0	Catorce aspectos de la personalidad
114:4	Las regencias de los Altísimos
114:6	(1) Los ángeles de la época|(2) Los ángeles del progreso|(3) Los guardianes de la religión|(4) Los ángeles de la vida nacional|(5) Los ángeles de las razas|(6) Los ángeles del futuro|(7) Los ángeles de la iluminación|(8) Los ángeles de la salud|(9) Los serafines del hogar|(10) Los ángeles de la industria|(11) Los ángeles de la diversión|(12) Los ángeles del ministerio superhumano
116:1	La mente cósmica
116:5	El problema del equilibrio
117:2	Los hijos trinitizados por las criaturas
117:4	La moralidad cósmica -el deber supremo
117:5	Trascendencia finalitaria|Las repercusiones del crecimiento humano
118:1	Las unidades de tiempo experienciales (subjetivas)
118:3	La verdad y el hecho|El espacio y el arquetipo
118:8	El factor temporal como regulador del progreso
121:4	(1) Los epicúreos|(2) Los estoicos|(3) Los cínicos|(4) Los escépticos
121:5	Las religiones de misterio
121:8	(1) El evangelio según Marcos|(2) El evangelio según Mateo|(3) El evangelio según Lucas|(4) El evangelio según Juan|_Reconocimiento
122:4	La «casa de David»
122:8	La leyenda sobre los pastores|Los tres sacerdotes de Ur|«La estrella de Belén»
122:10	La huida a Egipto
123:0	La estancia en Egipto
123:1	El cuarto año de Jesús
123:2	La educación de los niños
123:4	Accidentes de la vida material
124:1	El dibujo en el suelo|El clima de Galilea
124:2	Jacobo, el hijo del albañil
124:3	El interludio de Escitópolis
124:4	La moralidad personal y la lealtad al grupo
124:6	María, Marta y Lázaro
126:3	Origen de la oración «El Padre Nuestro»|El «Hijo del Hombre»|¿Quién es el Mesías?
127:2	El interludio con los zelotes
127:3	Con Santiago en Jerusalén para celebrar la Pascua|La visita de Isabel y Juan|La muerte de Amós
127:4	La educación de los niños
127:6	La visita pascual a Jerusalén
128:1	Su conciencia cada vez más amplia de la divinidad|Con José para celebrar la Pascua
128:2	Como herrero en Séforis
128:3	Con Simón para celebrar la Pascua|Jesús se encuentra con Esteban
128:5	La proposición de los alejandrinos
128:6	Con Judá en Jerusalén para celebrar la Pascua|«Tío Josué, sal y cuéntanos un cuento»
128:7	El matrimonio de Santiago|El matrimonio de Miriam|Santiago, jefe de la familia de José
129:1	Zebedeo de Cafarnaúm|Jesús como fabricante de barcas
129:2	Jesús en Jerusalén|El encuentro con Gonod y Ganid
129:3	El propósito del viaje a Roma
130:1	Discurso sobre el bien y el mal
130:2	El mercader de Mongolia|El trabajador griego y el capataz romano|La voluntad de Dios y la voluntad del hombre
130:8	Esdras, el judío apóstata
132:0	Influencia sobre treinta y dos jefes religiosos
132:4	Al senador romano|Al soldado romano|Al orador del foro|Al pobre que había sido acusado en falso
132:7	Un pagano irreflexivo|«Elaboremos tú y yo una nueva religión»
133:0	El sistema de castas de la India
133:2	El hombre que maltrataba a su mujer
133:3	Crispo, el principal de la sinagoga|Justo, el mercader|Dos mujeres de la vida
133:4	Al molinero|Al centurión romano|Al jefe del culto mitríaco|Al maestro epicúreo|Al contratista griego|Al juez romano|A la dueña de la posada griega|Al mercader chino|Al viajero británico|Al muchacho fugitivo|Al criminal condenado
134:1	El regreso a Nazaret|El matrimonio de Simón; el matrimonio de Judá
134:7	Viajes solitarios
134:8	El fin de la rebelión de Lucifer|La soberanía en Nebadon
134:9	La visita con Juan a Jerusalén|Trabajo en el astillero de Zebedeo
135:8	El bautismo de Jesús
136:3	La conferencia con Gabriel|El logro final de la soberanía del universo
136:4	La vía del Padre
136:5	El Ajustador Personalizado al mando|La independencia del tiempo del Ajustador
136:6	Los métodos normales y terrestres
136:7	La observancia de las leyes de la naturaleza
136:8	La decisión contra todo compromiso con el mal
136:9	El rechazo del trono de David
136:10	«Me someteré a la voluntad de mi Padre»
137:1	Andrés y Pedro|Santiago y Juan
138:3	No a los justos, sino a los pecadores
140:3	El «sermón de la montaña»
140:5	Bienaventurados los pobres de espíritu|Bienaventurados los que tienen hambre de rectitud|Bienaventurados los mansos|Bienaventurados los limpios de corazón|Bienaventurados los afligidos|Bienaventurados los misericordiosos|Bienaventurados los pacificadores|Bienaventurados los perseguidos
140:6	«Yo miro más allá del acto...»|Sobre el divorcio|La justicia y la misericordia|«Hacen bien -no los molestes»
140:8	(1) Hacer la voluntad del Padre|(2) Actitud política|(3) Actitud social|(4) Actitud económica|(5) Religión personal
141:3	La personalidad de Jesús|La apariencia de Jesús
141:4	Ministerio a los enfermos
141:6	Tejerma, un persa
141:7	Las enseñanzas sobre el reino|Salvación por la fe; libertad a través de la verdad
142:0	La visita a Anás
142:2	Jacobo de Creta
142:3	Seis conceptos hebreos de Dios|Los diez mandamientos previos
142:8	El campamento en el parque de Getsemaní
143:1	«Menosprecian nuestro mensaje»|«¿Acaso sois débiles?»
143:3	Tres días en el monte Sartaba
143:6	En el campamento del monte Gerizim
144:5	Siete oraciones de otros mundos
144:8	«...decid a Juan que no ha sido olvidado»
145:0	La conversación con Rut
145:2	La religión es una experiencia personal|El joven epiléptico|La suegra de Simón Pedro
146:2	Oración, gratitud, y adoración|Justicia y misericordia|Oración y esfuerzos personales|Oración ética
146:3	La religión, la ciencia y la filosofía|La seguridad de la verdad|La estancia en Zabulón
146:4	Trabajo en las minas|La curación de un leproso
146:5	Tito, el noble
147:2	La separación de los apóstoles de Juan
147:4	La pregunta de Natanael acerca de la regla de oro
147:5	La parábola de los deudores|El estado social y el progreso
147:6	Los seis espías|«El sábado ha sido hecho para el hombre...»
148:8	Quirmet de Bagdad
148:9	El bautismo de los tres espías
149:0	El servicio de mensajeros de David
149:1	Los fenómenos de curación
149:2	Dos errores del cristianismo primitivo|La fama de Jesús como sanador|El reconocimiento de la igualdad de las mujeres|Su personalidad encantadora
149:4	Comentarios sobre la ira|Sobre el carácter equilibrado
150:3	El discurso sobre «la magia y la superstición»
151:5	La tormenta en el lago
152:0	Verónica de Cesarea de Filipo
152:6	Más cosas sobre la parábola del sembrador
153:2	«Yo soy el pan de la vida»
153:4	Un joven poseído por un espíritu rebelde|«¿Cómo puede Satanás echar fuera a Satanás?»
153:5	Deserción de los seguidores vacilantes
154:2	Se cierran las sinagogas a Jesús
154:4	«¿Qué vamos a hacer con Jesús?»
155:3	La verdad y el credo|El origen de las tradiciones religiosas
156:2	«Este mundo sólo es un puente...»
156:5	La parábola del carpintero necio|La tentación y la naturaleza humana|Los requisitos previos para el éxito material|La vida espiritual y la autoestima|Los ideales y las ideas|El tacto, el encanto y la sabiduría
156:6	La actitud de los dirigentes judíos
157:0	Jesús trata de encontrarse con su familia
157:1	«Un pez que llevaba un siclo en la boca»
157:3	«¿Quién dicen los hombres que soy?»
157:6	Las cuatro etapas de la vida de Jesús|Nuevas declaraciones de autoridad
158:4	Santiago de Safed
158:5	«Señor, yo creo... ayúdame en mi incredulidad»
159:1	«Señor, ¿cuántas veces pecará mi hermano ..... ?»|El rey que se puso a hacer las cuentas|Los peligros de juzgar a los semejantes
159:4	«Cuál es la verdad sobre las Escrituras?»
159:5	«...podrás llevar la carga una segunda milla»
160:1	Los tres grandes impulsos de la vida|La solución de los problemas|El prejuicio y el reconocimiento de la verdad
160:2	El valor socializante de la amistad|El gran valor del matrimonio
160:4	Los requisitos previos de la vida temporal|Los factores del éxito material|El significado del fracaso
160:5	¿Qué es la religión?|La idea de Dios y el ideal de Dios|El Padre es el valor final|«Pero, ¿estamos dispuestos a pagar el precio...?»
161:1	Los cinco razonamientos de Natanael
161:2	El discurso de Natanael y Tomás
161:3	La opinión de los intermedios
162:0	«Maestro, ordena que caiga el fuego del cielo»
162:2	Eber, el oficial del sanedrín
163:1	La cosecha es abundante
163:2	La riqueza y el amor de las riquezas
163:3	La parábola de los obreros de la viña
163:4	Las instrucciones de Jesús|El sermón de ordenación de Pedro
165:3	«Guardaos de la influencia de los fariseos...»|«... hasta los cabellos de vuestra cabeza...»
165:4	La parábola de cierto rico poco sabio|«Donde esté tu tesoro, allí estará también tu corazón»|«¿De qué te valdrá ganar el mundo entero si...?»
165:5	«Contemplad los lirios, y la manera en que crecen...»
166:1	El lavado ceremonial de las manos
166:3	El camino recto y estrecho|Muchos de los que son los primeros, serán los últimos|«Permanezco en la puerta y llamo..»
166:4	La actividad posterior de Abner y su muerte
167:1	La curación de un creyente|«... no os sentéis en el asiento principal ..... »
167:5	El fariseo y el publicano|La enseñanza sobre el matrimonio
167:6	La belleza es una ayuda para la adoración
168:0	«Yo soy la resurrección y la vida ..... »
168:3	«Es mejor que un hombre muera...»
169:0	Las acusaciones del sanedrín contra Jesús
169:4	Jesús fue una revelación de Dios|Elohim y Yahvé
170:2	El pecado y el perdón
170:5	La fraternidad social y la espiritual|Otro Juan Bautista más grande|El cristianismo y el evangelio acerca de Jesús
171:0	«... que me prometas que mis hijos sean honrados...»
171:1	La vida posterior de David Zebedeo|Antioquía y Filadelfia
171:3	Despedida de Abner
171:4	Pedro, Simón y las cien espadas|Los fariseos amistosos advierten a Jesús
171:8	Natanael interpreta la parábola
172:1	María unge los pies de Jesús|Jesús reprende a Judas
172:4	El óbolo de la viuda
173:2	«El bautismo de Juan, ¿de dónde vino?»
173:4	La piedra que rechazaron los constructores
173:5	«Destruid este templo, y...lo volveré a levantar»
174:0	Saludos personales a los doce
174:2	¿Es lícito pagar tributo al César?
174:4	El libertador,¿de quién es hijo?
174:5	«... a menos que un grano de trigo muera...»|«... cuando sea elevado en vuestras vidas..»
175:1	«Generación tras generación enviamos a nuestros profetas...»|«.. el que quiera ser el más grande entre vosotros...»|«¡Ay de vosotros, escribas y fariseos, hipócritas!|«... limpiáis el exterior de la copa y del plato...»|«Ahora me despido de vosotros»
175:4	La decisión final de Judas
176:2	El informe en el evangelio de Mateo
176:3	La parábola de los talentos|«Continuad hasta que yo regrese»|Observaciones sobre el crecimiento de la verdad viva
177:1	Juan Marcos y la cesta del almuerzo
177:5	Jesús advierte sobre el apoyo de la multitud
178:1	Aprended a ser fieles incluso en tiempos de prosperidad|No tentéis a los ángeles que os supervisan
178:2	David recibe de Judas todos los fondos apostólicos|Preparativos para la Última cena
180:1	«Que os améis... como yo os he amado»
180:3	«No os deprimáis»|«Maestro, muéstranos al Padre...»
180:5	Observaciones sobre la regla de oro
181:1	«A cada uno doy todo lo que quiera recibir»|«Que vuestro corazón no se perturbe...»
182:1	Jesús amplió la revelación del nombre del Padre
182:2	El envío de un mensajero a Abner|Las palabras de despedida de David Zebedeo
182:3	El espíritu está dispuesto, pero la carne es débil
184:4	Una nueva revelación del hombre a Dios
185:2	Las acusaciones del tribunal de los sanedristas
185:6	Los soldados azotan a Jesús|«¡He aquí al hombre!»
186:0	La familia de Jesús en Betania
186:1	Las treinta monedas de plata
186:2	«Pilatos procesado ante Jesús»|«¡He aquí a Dios y al hombre!»
187:1	«Hijas de Jerusalén, no lloréis por mí...»|Simón de Cirene
187:4	Jesús encarga a Juan
188:0	José y Nicodemo ante Pilatos
188:3	¿Qué fue lo que Jesús encomendó a su Padre?|El estado de la personalidad de Jesús
189:3	La partida del Ajustador Personalizado
189:4	Las cinco mujeres|Jesús se aparece a María Magdalena
189:5	La segunda aparición -a María Magdalena
190:2	Jesús se aparece a su hermano Santiago|Jesús se aparece a su familia terrenal
191:0	La actitud personal de los apóstoles
191:3	Las etapas del progreso morontial
191:5	«Benditos sean, en los siglos venideros, aquellos que...»
192:1	«Muchachos, ¿habéis pescado algo?»
193:0	La decimosexta aparición (en el patio de Nicodemo)
194:0	Un nuevo evangelio acerca de Jesús
194:2	La misión del Espíritu de la Verdad|La triple dotación espiritual del hombre|Las siete influencias espirituales supremas
195:0	Las causas del triunfo del cristianismo en Occidente|Los compromisos del cristianismo primitivo
196:0	La fe viviente de Jesús en Dios|«Buscad primero el reino de los cielos»|«¿Por qué me llamáis bueno?»|Qué significaba la oración para Jesús|La fe de Jesús en Dios era como la de un niño
196:2	La religión acerca de Jesús|La religión como experiencia personal
196:3	Los hechos, las ideas y las relaciones|El razonamiento, la sabiduría y la fe|Las cosas, los significados y los valores|Si no viviera en su mente un amante divino|La moralidad y la religión|El Padre es amor viviente
