Judeo-Christian religious books (Old Testament)	https://www.e-sword.net/ (American Standard Version, 1901) (King James Version) (Revised Standard Version w/ Apocrypha); The Apocrypha and Pseudepigrapha of the Old Testament, R. H. Charles, Oxford: University Press, 1913; The Forgotten Books of Eden, 1926, Rutherford H. Platt, Jr.; The Third book of Enoch, 1928, Hugo Odeberg; Sibylline Oracles, Milton S. Terry, New York: Eaton & Mains, 1899; The Old Testament Pseudepigrapha, Vol. 1, 1983, James H. Charlesworth; The Old Testament Pseudepigrapha, Vol. 2, 1985, James H. Charlesworth; The Apocalypse of Abraham, 1919, G. H. Box; Nag Hammadi Library, 1981, George W. MacRae; The Forgotten Books of Eden, 1926, Rutherford H. Platt, Jr.; Apocrypha anecdota 2. Texts and Studies, 1897, M. R. James; The Ante-Nicene Fathers, 1885-1903, Arthur Cleveland Coxe & Allan Menzies; Jewish Quarterly Review, 1898, F. C. Conybeare; The Book of the Cave of Treasures, 1927, E. A. Wallis Budge; Joseph and Aseneth, 1918, E. W. Brooks; Biblical Antiquities of Philo, 1917, M. R. James; 4 Baruch, Robert A. Kraft (ed.), University of Pennsylvania, 1987; The Five Books of Maccabees, 1832, Henry Cotton; Some Apocryphal Psalms in Syriac, 1886-7, W. Wright	/en/index/books_judeo_christianism_ot
“Martyrdom of Isaiah”	/en/Bible/Martyrdom_of_Isaiah	OK
“Joseph and Aseneth”	/en/Bible/Joseph_and_Aseneth	OK
“Life of Adam and Eve”	/en/Bible/Life_of_Adam_and_Eve	OK
“First book of Adam and Eve”	/en/Bible/First_book_of_Adam_and_Eve	OK
“Second book of Adam and Eve”	/en/Bible/Second_book_of_Adam_and_Eve	OK
“Pseudo-Philo”	/en/Bible/Pseudo_Philo	OK
“The Lives of the Prophets”	/en/Bible/The_Lives_of_the_Prophets	OK
“The Ladder of Jacob”	/en/Bible/Ladder_of_Jacob	OK
“4 Baruch”	/en/Bible/4_Baruch	OK
“History of the Rechabites”	/en/Bible/History_of_the_Rechabites	OK
Wisdom and Philosophical Literature	<subgroup>	
“The Story of Ahikar”	/en/Bible/Story_of_Ahikar	OK
“3 Maccabees”	/en/Bible/3_Maccabees	OK
“4 Maccabees”	/en/Bible/4_Maccabees	OK
“5 Maccabees”	/en/Bible/5_Maccabees	OK
“Pseudo-Phocylides”	/en/Bible/Pseudo_Phocylides	OK
Prayers, Psalms, and Odes	<subgroup>	
“Psalms of David”	/en/Bible/Psalms_of_David	OK
“Psalms of Solomon”	/en/Bible/Psalms_of_Solomon	OK
“The Odes of Solomon”	/en/Bible/The_Odes_of_Solomon	OK
“Hellenistic Synagogal Prayers”	/en/Bible/Hellenistic_Synagogal_Prayers	OK
“Prayer of Jacob”	/en/Bible/Prayer_of_Jacob	OK
Judeo-Christian religious books (New Testament)	https://www.e-sword.net/ (American Standard Version, 1901); Ante-Nicene Fathers, Vol. 8, 1886, A. Roberts, J. Donaldson, A. Cleveland (ed.); Los Evangelios Apócrifos, 1956, Aurelio de Santos Otero; Evangelios Apócrifos, 1934, Edmundo González-Blanco; Apocryphal New Testament, 1924, M. R. James	/en/index/books_judeo_christianism_nt
Canon	<group>	
“Matthew”	/en/Bible/Matthew	OK
“Mark”	/en/Bible/Mark	OK
“Luke”	/en/Bible/Luke	OK
“John”	/en/Bible/John	OK
“Acts of the Apostles”	/en/Bible/Acts_of_the_Apostles	OK
“Romans”	/en/Bible/Romans	OK
“1 Corinthians”	/en/Bible/1_Corinthians	OK
“2 Corinthians”	/en/Bible/2_Corinthians	OK
“Galatians”	/en/Bible/Galatians	OK
“Ephesians”	/en/Bible/Ephesians	OK
“Philippians”	/en/Bible/Philippians	OK
“Colossians”	/en/Bible/Colossians	OK
“1 Thessalonians”	/en/Bible/1_Thessalonians	OK
“2 Thessalonians”	/en/Bible/2_Thessalonians	OK
“1 Timothy”	/en/Bible/1_Timothy	OK
“2 Timothy”	/en/Bible/2_Timothy	OK
“Titus”	/en/Bible/Titus	OK
“Philemon”	/en/Bible/Philemon	OK
“Hebrews”	/en/Bible/Hebrews	OK
“James”	/en/Bible/James	OK
“1 Peter”	/en/Bible/1_Peter	OK
“2 Peter”	/en/Bible/2_Peter	OK
“1 John”	/en/Bible/1_John	OK
“2 John”	/en/Bible/2_John	OK
“3 John”	/en/Bible/3_John	OK
“Jude”	/en/Bible/Jude	OK
“Revelation”	/en/Bible/Revelation	OK
Apocrypha	<group>	
“Protevangelium of James”	/en/Bible/Protoevangelium_of_James	OK
“Gospel of Pseudo-Matthew, or The Liber de Infantia”	/en/Bible/Gospel_of_Pseudo_Matthew	OK
“Book of the birth of Saint Mary, or Libellus de Nativitate Sanctae Mariae”	/en/Bible/Book_of_the_birth_of_Saint_Mary	OK
“Book about the childhood of the Savior (excerpts), or “Liber de infantia Salvatoris” [cod. Arundel 404 from the British Museum]”	/en/Bible/Latin_Infancy_Gospel	OK
Gospels of the Infancy of Jesus	<subgroup>	
“Infancy Gospel of Thomas”	/en/Bible/Infancy_Gospel_of_Thomas	OK
“Syriac Infancy Gospel”	/en/Bible/Syriac_Infancy_Gospel	OK
“History of Joseph the Carpenter”	/en/Bible/History_of_Joseph_the_Carpenter	OK
“Armenian Infancy Gospel”	/en/Bible/Armenian_Infancy_Gospel	OK
“Book on the childhood of the Savior (excerpts), or «Liber de infantia Salvatoris» [ms. Latin 11867 of the National Library of Paris]”	/en/Bible/Latin_Infancy_Gospel_B	OK
Gospels of the Passion and Resurrection	<subgroup>	
“Gospel of Peter [fragm. de Akhmîm]”	/en/Bible/Gospel_of_Peter	OK
“Acts of Pilate or Gospel of Nicodemus”	/en/Bible/Gospel_of_Nicodemus	OK
“Other Appendixes to the Acts of Pilate”	/en/Bible/Gospel_of_Nicodemus_B	OK
“Gospel of Bartholomew”	/en/Bible/Gospel_of_Bartholomew	OK
Assumptionist Gospels	<subgroup>	
“Account of St. John the Theologian”	/en/Bible/Account_of_St_John_the_Theologian	OK
“Book of John, Archbishop of Thessalonica”	/en/Bible/Book_of_John_Archbishop_of_Thessalonica	OK
“Narration of the Pseudo Joseph of Arimathea”	/en/Bible/Narration_of_the_Pseudo_Joseph_of_Arimathea	OK
Religious books of Judaism	https://archive.sacred-texts.com/jud/index.htm	/en/index/books_judaism
“Tanakh”, Hebrew Bible	---	
Talmud and Mishna	<group>	
“The Babylonian Talmud”, Translated by M.L. Rodkinson [1918]	---	
“Eighteen Treatises from the Mishna”, by D. A. Sola and M. J. Raphall [1843]	---	
“The Wisdom of the Talmud”, by Ben Zion Bokser [1951]	---	
“The Talmud”, by Joseph Barclay [1878]	---	
“The Talmud: Selections”, by H. Polano [1876]	---	
“The Babylonian Talmud in Selection”, by Leo Auerbach [1944]	---	
“Sayings of the Jewish Fathers” (Pirqe Aboth), tr. by Charles Taylor [1897]	---	
“Hebraic Literature”, Edited by Maurice Harris [1901]	---	
“The Wisdom of Israel”, by Edwin Collins [1910]	---	
“Tractate Sanhedrin”, Mishnah and Tosefta, by Herbert Danby [1919]	---	
“Tractate Berakoth”, by A. Lukyn Williams [1921]	---	
Haggada	<group>	
“Legends of the Jews”, by Louis Ginzberg [1909]	---	
Kabbalah	<group>	
“The Kabbalah Unveiled”, S.L. MacGregor Mathers, Translator. [1912]	---	
“Sepher Yezirah”, translated by Isidor Kalisch [1877]	---	
“Kabbalah - Sepher Yetzirah”, W.W. Westcot tr. [1887]	---	
“The Zohar: Bereshith to Lekh Lekha”, by Nurho de Manhar (pseud.) [1900-14]	---	
“Jewish Mysticism”, by J. Abelson [1913]	---	
“The Kabbalah, or the Religious Philosophy of the Hebrews”, by Adolphe Franck [1926]	---	
“The Cabala”, by Bernhard Pick [1913]	---	
Midrash	<group>	
“Tales and Maxims from the Midrash”, by Samuel Rapaport [1907]	---	
“The Sacred Books and Early Literature of the East, Vol. IV: Medieval Hebrew” [1917]	---	
Midrash Tanhuma	---	
Haggadah	<group>	
“The Union Haggadah”, ed. by The Central Conference of American Rabbis, illus. Isidore Lipton [1923]	---	
“Haggada For Pesach According To Chabad-Lubavitch Custom”	---	
Prayer Books (Siddur)	<group>	
“The Standard Prayer Book”, by Simeon Singer [1915]	---	
Other texts from late Antiquity and Middle Ages	<group>	
“Antiquities Book”, by Josephus, tr. by William Whiston [1737]	---	
“Wars Book”, by Josephus, tr. by William Whiston [1737]	---	
“Philo of Alexandria Texts”	---	
“The Kitab al Khazari”, of Judah Hallevi, translated by Hartwig Hirschfeld [1905]	---	
“The Guide for the Perplexed”, by Moses Maimonides, M. Freidländer, tr. (2nd Ed.) [1904]	---	
“Selected Religious Poems of Solomon ibn Gabirol”, by Solomon ibn Gabirol, tr. by Israel Zangwill [1923]	---	
“The Fountain of Life”, by Solomon ibn Gabirol, tr. by Harry E. Wedeck [1962]	---	
“Original Hebrew of a Portion of Ecclesiasticus”, by A.E. Cowley and A. Neubauer [1897]	---	
Modern	<group>	
“The Duties of the Heart”, by Rabbi Bachye, tr. by Edwin Collins [1909]	---	
“Ancient Jewish Proverbs”, by Abraham Cohen [1911]	---	
“Jewish Magic and Superstition: A Study in Folk Religion”, by Joshua Trachtenberg [1939]	---	
“A Rabbi's Impressions of the Oberammergau Passion Play”, by Joseph Krauskopf [1901]	---	
“Folk-lore of the Holy Land; Moslem, Christian and Jewish”, by J. E. Hanauer [1907]	---	
“Jewish Fairy Tales and Legends” by “Aunt Naomi” (Gertrude Landa) [1919]	---	
“The Great March”, by Rose G. Lurie [1931]	---	
“The Golden Mountain”, by Meyer Levin [1932]	---	
“Reform Judaism - 1885 Pittsburgh Conference”	---	
“Articles of Faith from the Jewish Encyclopedia”	---	
“The Columbus Platform: The Guiding Principles Of Reform Judaism” [1937]	---	
“Reform Judaism - A Centenary Perspective”	---	
“Maimonides: Ani Maamin - I believe...”	---	
“Solomon Schechter - Studies in Judaism - The Dogmas of Judaism”	---	
“The Thirteen Wants” by Mordecai M. Kaplan	---	
Religious books of Christianity	https://archive.sacred-texts.com/chr/index.htm, https://archive.sacred-texts.com/gno/index.htm	/en/index/books_christianism
Bible Commentary	<group>	
“The Complete Sayings of Jesus”, by Arthur Hinds, int. by Norman Vincent Peale [1927]	---	
Gnosticism	<group>	
“Fragments of a Faith Forgotten” by G.R.S. Mead [1900]	---	
“The Gnostics and Their Remains” by Charles William King [1887]	---	
“Pistis Sophia”, Translated by G.R.S. Mead [1921]	---	
“Early Church Fathers”	---	
Hermetica	<group>	
“Thrice-Greatest Hermes, Vol. 1” by G.R.S. Mead [1906]	---	
“Thrice-Greatest Hermes, Vol. 2” by G.R.S. Mead [1906]	---	
“Thrice-Greatest Hermes, Vol. 3” by G.R.S. Mead [1906]	---	
“The Divine Pymander” of Hermes Mercurius Trismegistus, translated by John Everard [1650]	---	
“The Virgin of the World” of Hermes Mercurius Trismegistus, translated by Anna Kingsford and Edward Maitland [1885]	---	
Gnostic Related Texts	<group>	
“The Hymn of Jesus, Echoes from the Gnosis”, tr. by G.R.S. Mead [1907].	---	
“Gnostic John the Baptizer Selections from the Mandæan John-Book”, tr. by G.R.S. Mead [1924].	---	
“The Book of Giants”	---	
“The Gospel of Thomas” [ca. 200 A.D.]	---	
“Excerpts from the Gospel of Mary”	---	
Early Christian	<group>	
“The Gospel of Thomas” [ca. 200 C.E.]	---	
“The Lord's Prayer”, “Hail Mary (Ave Maria)”, “The Apostles' Creed”, “Nicene Creed”, “The Athanasian Creed”	---	
“Works of St. Augustine”	---	
“The Confessions of Saint Augustine” (401 C.E.), by St. Augustine, tr. by Edward Bouverie Pusey [1909-14]	---	
“Writings of the Early Church Fathers”	---	
“The Works of Dionysius the Areopagite” (ca. 400 C.E.), by Dionysius the Areopagite, tr. by John Parker [1897]	---	
Eastern Churches	<group>	
The Book of the Bee, Edited and translated by E. A. Wallis Budge [1886]	---	
The Book of the Cave of Treasures, translated from the Syriac by E. A. Wallis Budge [1927]	---	
The Kebra Nagast, tr. by E. A. Wallis Budge [1922]	---	
Mediaeval, Renaissance and Reformation	<group>	
“Bede's Ecclesiastical History of England” (731), by Bede, ed. by A.M. Sellar [1907]	---	
“Works of St. Anselm” (b. 1033 d. 1109), by St. Anselm of Canterbury, tr. by Sidney Norton Deane [1903]	---	
“The Love Letters of Abelard and Heloise” (1128), Tr. by Anonymous, edited by Israel Gollancz and Honnor Morten [1901]	---	
“The Story of My Misfortunes: The Autobiography of Peter Abelard”, Tr. by Henry Adams Bellows [1922]	---	
“The Writings of St. Francis of Assisi” (b. 1181 d. 1226), by Paschal Robinson [1905]	---	
“The Little Flowers of St. Francis”, Trans. by W. Heywood [1906]	---	
“Summa Theologica” (1265-1274), by St. Thomas Aquinas, tr. by The Fathers of the English Dominican Province [1948]	---	
“The Adornment of the Spiritual Marriage”, by Jan van Ruysbroeck, (b. 1293 d. 1381) tr. by C. A. Wynschenk Dom, ed. by Evelyn Underhill [1916]	---	
“The Divine Comedy” (1306-21), by Dante Alighieri, tr. by Henry F. Cary, [1888]	---	
“The Cloud of Unknowing” (ca. 1400), by Anonymous, ed. by Evelyn Underhill [1922]	---	
“Imitation of Christ” (ca. 1418), by Thomas a Kempis, tr. by William Benham [1886]	---	
“The Spiritual Exercises of St. Ignatius of Loyola” (composed 1522-1524, published 1548), by St. Ignatius of Loyola, tr. by Elder Mullan [1909]	---	
“Texts of Martin Luther” (b. 1483 d. 1546)	---	
“Texts of John Calvin” (b. 1509 d. 1564)	---	
“Foxe's Book of Martyrs by John Foxe” [ca. 1560]	---	
“Synod of Dordrecht” [1618-9]	---	
“Heidelberg Catechism”	---	
“The Second Helvetic Confession”	---	
“Church Order” (Reformed Churches of the Netherlands) [1618-9]	---	
“Liturgy of the Reformed Churches of the Netherlands”	---	
“Westminster Shorter Catechism” [1674]	---	
“The Westminster Confession of Faith”	---	
“Westminster Larger Catechism”	---	
“The Works of Stephen Charnock”, by Stephen Charnock [1629-1690]	---	
“Paradise Lost, Paradise Regained”, by John Milton [1667 and 1671]	---	
“Pilgrim's Progress”, by John Bunyan [1678]	---	
“Bunyan”, by James Anthony Froude [1901]	---	
“Selections from The Cherubinic Wanderer”, Angelus Silesius, trans. with intro. by J. E. Crawford Flitch [1932]	---	
“Alexandrines: translated from the “Cherubinischer Wandersmann””, Angelus Silesius, Julia Bilger [1944]	---	
“The Interior Castle”, or, The Mansions, by St. Teresa of Avila [1921]	---	
“Ordinary of the Mass” [1921] [Latin and English]	---	
Modern	<group>	
“Unitarian Christianity”, By William Ellery Channing [1819]	---	
“New England Primer” [1843]	---	
“Evidence from Scripture and History of the Second Coming of Christ”, by William Miller [1842]	---	
“The Dolorous Passion of Our Lord Jesus Christ”, by Anne Catherine Emmerich [1843]	---	
“The Great Controversy”, by Ellen G. White [1858]	---	
“Notes on the Book of the Revelation”, by John Nelson Darby [1876] (2nd ed.)	---	
“The Man of Sorrows”, by John Nelson Darby [no date (pre-1882)]	---	
“Hymns of the Eastern Church”, by J. Neale [1884] (5th ed.)	---	
“Shaker documents”	---	
“The Unknown Life of Jesus Christ”, by Nicolas Notovitch, trans. by J. H. Connelly and L. Landsberg [1890]	---	
“The Baltimore (Catholic) Catechism” [1891]	---	
“Lives of the Saints”, by Alban Butler, John Gilmary Shea (Benziger Bros. ed.) [1894]	---	
“The Didache”, by Charles H. Hoole [1894]	---	
“Jesus An Essene”, by Edward Planta Nesbit [1895]	---	
“The Doctrine of the Last Things”, by W.O.E. Oesterley [1908]	---	
“The Seeming Unreality of the Spiritual Life”, by Henry Churchill King [1908]	---	
“Jesus, the Last Great Initiate”, by Edouard Schuré, tr. by F. Rothwell [1908]	---	
“Folk-lore of the Holy Land”, by J. E. Hanauer [1909]	---	
“Science and Health with Key to the Scriptures”, by Mary Baker Eddy [1910]	---	
“John Wesley's Place in History”, by Woodrow Wilson [1915]	---	
“The Book of Revelation”, by Clarence Larkin [1919]	---	
“The Aquarian Gospel of Jesus the Christ”, by Levi H. Dowling [1920]	---	
“The Gist of Swedenborg”, by Julian K. Smyth and William F. Wunsch [1920]	---	
“The Political Aspects of S. Augustine's ‘City of God’”, by John Neville Figgis [1921]	---	
“Human Nature in the Bible” by William Lyon Phelps [1922]	---	
“Pageant of the Popes”, by John Farrow [1942]	---	
“The Trial of Christ”, by David K. Breed [1948]	---	
“The Theological Declaration of Barmen” [1934]	---	
“The (Episcopal) Book of Common Prayer” [1979]	---	
Islamic religious books	https://archive.sacred-texts.com/isl/index.htm	/en/index/books_islam
“Qur'an”	---	
“A Manual of Hadith”, Translated by Maulana Muhammad Ali [1944].	---	
“Hadith of Bukhari”	---	
Sufi Texts	<group>	
“The Rubayyat of Omar Khayyam”, by Omar Khayyam, tr. by Edward Fitzgerald [1859].	---	
“Oriental Mysticism”, by E.H. Palmer [1867]	---	
“Selections from the Poetry of the Afghans”, by H. G. Raverty [1867]	---	
“The Kasîdah of Hâjî Abdû El-Yezdî”, by Sir Richard Burton [1880]	---	
“The Mesnevi” (Book I) of Rumi, with Acts of the Adepts by Eflaki, Translated by James W. Redhouse [1881]	---	
“Bird Parliament”, by Farid ud-Din Attar, Translated by Edward Fitzgerald [1889]	---	
“Poems from the Divan of Hafiz”, by Hafiz, tr. by Gertrude Lowthian Bell [1897].	---	
“The Masnavi of Rumi”, Abridged and Translated by E.H. Whinfield [1898]	---	
“The Gulistan of Sa'di”, tr. by Edwin Arnold [1899]	---	
“Salaman and Absal”, by Nur ad-Din Abd ar-Rahman Jami, Translated by Edward Fitzgerald [1904]	---	
“Sadi's Scroll of Wisdom”, by Sadi, tr. by Arthur N. Wollaston, [1906]	---	
“The Alchemy of Happiness”, by Al-Ghazzali, tr. by Claud Field [1909].	---	
“The Enclosed Garden of the Truth”, (The Hadîqatu' l-Haqîqat of Hakîm Abû' L-Majd Majdûd Sanâ'î) tr. by J. Stephenson [1910]	---	
“The Bustan of Sadi”, by Sadi, tr. by A. Hart Edwards [1911]	---	
“The Tarjuman al-Ashwaq”, by al-Arabi, tr. by Reynold A. Nicholson. [1911]	---	
“The Diwan of Zeb-un-Nissa”, by Zeb-un-Nissa, translated by Magan Lal and Duncan Westbrook [1913]	---	
“The Mystics of Islam”, by Reynold A. Nicholson. [1914]	---	
“A Sufi Message of Spritual Liberty”, by Pir-o-Murshid Inayat Khan [1914]	---	
“Songs of Kabîr”, tr. by Rabindranath Tagore, Introduction by Evelyn Underhill; New York, The Macmillan Company; [1915]	---	
“The Secret Rose Garden of Sa'd Ud Din Mahmud Shabistari”, Translated by Florence Lederer [1920]	---	
“The Secrets of the Self”, by Muhammad Iqbal, tr. by Reynold A. Nicholson [1920]	---	
“Studies in Islamic Mysticism”, by Reynold Alleyne Nicholson, [1921]	---	
“The Mishkât Al-Anwar” (“The Niche for Lights”) by Al-Ghazzali, translated by W.H.T. Gairdner [1924].	---	
Islamic History and Culture	<group>	
“The Diwan of Abu'l-Ala”, tr. by Henry Baerlein [1911]	---	
“The Religion of the Koran”, by Arthur N. Wollaston [1911]	---	
“Arabic Thought and Its Place in History”, by De Lacy O'Leary [1922]	---	
“The Glory of the Shia World”, by P. M. Sykes and Khan Bhadur Ahmad din Khan [1910]	---	
“Arabian Poetry”, by W. A. Clouston [1881]	---	
“The History of Philosophy in Islam”, by T. J. De Boer [1903]	---	
“Arabian Wisdom”, by John Wortabet [1913]	---	
“The Maqámát of Badí‘ al-Zamán al-Hamadhání”, translated by W.J. Prendergast [1915]	---	
“Islam”, by John A. Williams [1962, not renewed]	---	
“The Philosophy of Alfarabi”, by Robert Hammond [1947]	---	
“Development of Muslim Theology”, Jurisprudence and Constitutional Theory, by Duncan B. MacDonald [1903]	---	
“The Bible, The Koran, and the Talmud” or, Biblical Legends of the Mussulmans. By Dr. G. Weil [1863]	---	
“The Hanged Poems”, Translated by F.E. Johnson and Sheikh Faiz-ullah-bhai [1917]	---	
“Folk-lore of the Holy Land”, by J. E. Hanauer [1909]	---	
“Christ In Islâm”, by Rev. James Robson [1929].	---	
“The Gospel of Barnabas”, trans. Lonsdale and Laura Ragg [1907].	---	
“Shiite Documents”	---	
“Ismā‛īlī materials”	---	
Religious books of Buddhism	https://archive.sacred-texts.com/bud/index.htm	/en/index/books_buddhism
Modern works	<group>	
“The Gospel of Buddha: Compiled from Ancient Records”, by Paul Carus [1909]	---	
“Buddha, the Word”, by Paul Carus	---	
“Amitabha”, by Paul Carus [1906]	---	
“The Buddhist Catechism”, by Henry S. Olcott (42nd. ed.) [1908]	---	
“The Creed of Buddha”, by Edmond Holmes (2nd. ed.) [1919]	---	
“The Life of Buddha”, by Andre Ferdinand Herold [1922], tr. by Paul C. Blum [1927]	---	
“A Buddhist Bible”, by Dwight Goddard (1st ed.) [1932]	---	
“The Smokey the Bear Sutra”, by Gary Snyder.	---	
Southern Buddhism	<group>	
The Dhammapada and The Sutta Nipâta (SBE10), Dhammapada tr. by Max Müller; Sutta-Nipâta tr. by V. Fausböll [1881]	---	
