Index of Six-0-Six articles	Index des articles Six-0-Six
The Arrival Of God Into A Human Mind	L'arrivée de Dieu dans un esprit humain
Ingredients For Problem Solving	Ingrédients pour la résolution de problèmes
Vol 9 No 3 May 1988	Vol 9 n° 3 mai 1988
Vol 9 No 3 May 1988	Vol 9 n° 3 mai 1988
Two Remarkable Predictions	Deux prédictions remarquables
Doing God's Will	Faire la volonté de Dieu
Value For Money	Le rapport qualité prix
The Remarkable Amenhotep IV	Le remarquable Amenhotep IV
Vol 9 No 4 July 1988	Vol 9 No 4 juillet 1988
Vol 9 No 4 July 1988	Vol 9 No 4 juillet 1988
The Second Remarkable Prediction	La deuxième prédiction remarquable
Baptism Of The Spirit	Baptême de l'Esprit
Computer Analysis Of Dates In The Urantia Book	Analyse informatique des dates dans le Livre d'Urantia
Vol 9 No 5 Sept 1988	Vol 9 No 5 septembre 1988
Vol 9 No 5 Sept 1988	Vol 9 No 5 septembre 1988
Michael's Journey Around The Earth	Le voyage de Michael autour de la Terre
On The Practise Of Doing The Will Of God	Sur la pratique consistant à faire la volonté de Dieu
Urantia — Towards Light And Life	Urantia — Vers la lumière et la vie
Exploring Our Own Back Yard — The Solar System	Explorer notre propre arrière-cour – Le système solaire
The Three Missing Planets	Les trois planètes manquantes
Vol 9 No 6 Nov 1988	Vol 9 No 6 novembre 1988
Vol 9 No 6 Nov 1988	Vol 9 No 6 novembre 1988
Report On The South Pacific Regional Meeting Of Readers Of The Urantia Book	Rapport sur la réunion régionale du Pacifique Sud des lecteurs du Livre d'Urantia
A Service Perspective Of Individual And Organizational Relationships	Une perspective de service des relations individuelles et organisationnelles
Science And The Urantia Book	La science et le livre d'Urantia
Volume 10, 1989	Tome 10, 1989
Vol 10 No 1 Jan 1989	Vol 10 No 1 janvier 1989
Vol 10 No 1 Jan 1989	Vol 10 No 1 janvier 1989
Cultural Diversity And Spiritual Unity	Diversité culturelle et unité spirituelle
How Many Mortals Survive	Combien de mortels survivent
Black Holes And Neutron Stars	Trous noirs et étoiles à neutrons
Is The Milky Way Galaxy The Seventh Superuniverse Of Orvonton?	La Voie Lactée est-elle le septième superunivers d'Orvonton ?
Vol 10 No 2 March 1989	Vol 10 No 2 mars 1989
Vol 10 No 2 March 1989	Vol 10 No 2 mars 1989
Prospects For A World Religion	Perspectives pour une religion mondiale
Brotherhood Of Man	La fraternité des hommes
The Urantia Book Possible Signpost For Scientific Research ?	Le Livre d'Urantia : un indicateur possible pour la recherche scientifique ?
Vol 10 No 3 May 1989	Vol 10 No 3 mai 1989
Vol 10 No 3 May 1989	Vol 10 No 3 mai 1989
World Population	Population mondiale
Why Aren't They Knocking On My Door?	Pourquoi ne frappent-ils pas à ma porte ?
Vol 10 No 4 July 1989	Vol 10 No 4 juillet 1989
Vol 10 No 4 July 1989	Vol 10 No 4 juillet 1989
Old Coins in a Shoebox	Vieilles pièces de monnaie dans une boîte à chaussures
Greetings From The Sydney Study Group	Salutations du groupe d'étude de Sydney
Psychic Or Spiritual?	Psychique ou Spirituel ?
You Can Never Watch Yourself Grow	Vous ne pourrez jamais vous voir grandir
Urantian Influence And Parenthood	Influence urantienne et parentalité
Vol 10 No 5 Sept 1989	Vol 10 No 5 septembre 1989
Vol 10 No 5 Sept 1989	Vol 10 No 5 septembre 1989
They're Not Knocking On My Door Either	Ils ne frappent pas non plus à ma porte
Mediterranean Basin	Bassin méditerranéen
Vol 10 No 6 Nov 1989	Vol 10 No 6 novembre 1989
Vol 10 No 6 Nov 1989	Vol 10 No 6 novembre 1989
Readers' Get-Together In The West	Rendez-vous des lecteurs en Occident
Towards Specialization	Vers la spécialisation
Report On Noosa '89	Rapport sur Noosa '89
The Star Of Bethlehem Foretold In The Urantia Book?	L’étoile de Bethléem annoncée dans le Livre d’Urantia ?
Volume 11, 1990	Tome 11, 1990
Vol 11 No 1 Jan 1990	Vol 11 No 1 janvier 1990
Vol 11 No 1 Jan 1990	Vol 11 No 1 janvier 1990
A Special Urantian Remembered	Un Urantien spécial rappelé
Having The Mind Of Christ	Avoir la pensée du Christ
Spiritualised Thinking	Pensée spiritualisée
What Language Did Jesus Speak	Quelle langue Jésus parlait-il
Fandor — Passenger Bird Of Urantia	Fandor — Oiseau passager d'Urantia
Vol 11 No 2 10th Anniv	Vol 11 No 2 10e anniversaire
Vol 11 No 2 10th Anniv	Vol 11 No 2 10e anniversaire
Vol 11 No 2 March 1990	Vol 11 No 2 mars 1990
Vol 11 No 2 March 1990	Vol 11 No 2 mars 1990
The Purpose Of The 5th Epochal Revelation	Le but de la 5ème révélation d’époque
Relief Associated With Being A Urantia Book Reader	Soulagement associé au fait d'être un lecteur du Livre d'Urantia
We Too Can “Phone Home”	Nous aussi pouvons « téléphoner à la maison »
Vol 11 No 3 May 1990	Vol 11 No 3 mai 1990
Vol 11 No 3 May 1990	Vol 11 No 3 mai 1990
Survival of the Luckiest?	La survie des plus chanceux ?
Vol 11 No 4 July 1990	Vol 11 No 4 juillet 1990
Vol 11 No 4 July 1990	Vol 11 No 4 juillet 1990
From E.T. To E-3 Keeping An Open Mind On The Matter	De ET à E-3 Garder l’esprit ouvert sur le sujet
International Conference	Conférence internationale
The Vagaries Of Proof — A Reply To Tony Rudd	Les caprices de la preuve – Une réponse à Tony Rudd
Are You Lonesome Tonight?	Êtes-vous seul ce soir?
Vol 11 No 5 Sept 1990	Vol 11 No 5 septembre 1990
Vol 11 No 5 Sept 1990	Vol 11 No 5 septembre 1990
A URANTIA Book Fundamentalist?	Un fondamentaliste du Livre d’URANTIA ?
Reflections on Mota, Language and Humour	Réflexions sur Mota, le langage et l'humour
Find the Missing Link	Trouvez le lien manquant
The Need for Group Wisdom	Le besoin de sagesse de groupe
Vol 11 No 6 Nov 1990	Vol 11 No 6 novembre 1990
Vol 11 No 6 Nov 1990	Vol 11 No 6 novembre 1990
Warburton Conference 1990	Conférence Warburton 1990
The Right And Left Brain	Le cerveau droit et gauche
How I Feel	Comment je me sens
A “Truth Junkie”	Un « accro à la vérité »
Coming To A “Final Decision”	Arriver à une « décision finale »
Back-Packing From Melbourne To Sydney	Voyage en sac à dos de Melbourne à Sydney
Volume 12, 1991	Tome 12, 1991
Vol 12 No 1 Jan 1991	Vol 12 No 1 janvier 1991
Vol 12 No 1 Jan 1991	Vol 12 No 1 janvier 1991
New Planetary Prince!	Nouveau Prince Planétaire !
Caligastia's Visit!	La visite de Caligastia !
A Message From Gabriel	Un message de Gabriel
We're Talking About Attitudes	Nous parlons d'attitudes
A Reincarnation Explanation	Une explication de la réincarnation
A Tale Of Two Ants	Une histoire de deux fourmis
A Visit Home	Une visite à domicile
Vol 12 No 2 Mar 1991	Vol 12 No 2 mars 1991
Vol 12 No 2 Mar 1991	Vol 12 No 2 mars 1991
Six-O-Six Review	Revue Six-O-Six
Some Personal Thoughts	Quelques réflexions personnelles
Discussion on the Progress of the Revelation	Discussion sur les progrès de la révélation
Living With Our Cosmic Father	Vivre avec notre père cosmique
Is God a He or a She	Dieu est-il un Lui ou une Elle
An Open Letter	Une lettre ouverte
Vol 12 No 2 Part 2 Mar 1991	Vol 12 No 2 Partie 2 mars 1991
Concerning Inner Guidance — A Cosmic Perspective	Concernant l’orientation intérieure – Une perspective cosmique
Seeing The World In A New Light	Voir le monde sous un nouveau jour
Ascension	Ascension
Every Now & Zen	Chaque instant et zen
Vol 12 No 3 May 1991	Vol 12 n° 3 mai 1991
Vol 12 No 3 May 1991	Vol 12 n° 3 mai 1991
Do You Need A Pilot's Licence On Jerusem?	Avez-vous besoin d'une licence de pilote à Jérusem ?
Doing A Service	Faire un service
Listening	Écoute
Agree To Disagree	Convenir d'être en désaccord
All Of It	Tout
No Spoon-Fed Or Censored News	Pas de nouvelles nourries à la cuillère ou censurées
“Epochal Revolt”	« Révolte d’époque »
Vol 12 No 4 July 1991	Vol 12 No 4 juillet 1991
Vol 12 No 4 July 1991	Vol 12 No 4 juillet 1991
What is Spiritual?	Qu’est-ce que le spirituel ?
Extremes Of Believing As A Little Child	Les extrêmes de la croyance quand on était un petit enfant
Universal Language Brain	Cerveau de langage universel
What Does The Urantia Book Say About The Will Of God?	Que dit le Livre d’Urantia sur la volonté de Dieu ?
An Analysis Of The Kristen Maaherra Case	Une analyse de l'affaire Kristen Maaherra
Fools Rush In — And Angels Have To Follow	Les imbéciles se précipitent – ​​et les anges doivent suivre
The More We Give, The More We're Given	Plus nous donnons, plus nous recevons
Vol 12 No 5 Sept 1991	Vol 12 No 5 septembre 1991
Vol 12 No 5 Sept 1991	Vol 12 No 5 septembre 1991
What Do You Think?	Qu'en penses-tu?
URANTIA Foundation Reply	Réponse de la Fondation URANTIA
What Does The Urantia Book Say About Communication With The Spirit World?	Que dit le Livre d’Urantia à propos de la communication avec le monde des esprits ?
Does Anyone Want To Go Buy The Book?	Est-ce que quelqu'un veut acheter le livre ?
When A Problem Gets Us Down, If Only...	Quand un problème nous déprime, si seulement...
Vol 12 No 6 Nov 1991	Vol 12 No 6 novembre 1991
Vol 12 No 6 Nov 1991	Vol 12 No 6 novembre 1991
Origin Of The Urantia Book. From God, From Man, Or From The Devil?	Origine du Livre d'Urantia. De Dieu, de l’homme ou du diable ?
Consistency In The Urantia Book	Cohérence dans le Livre d'Urantia
Another View Of The Kristen Maaherra Case	Une autre vue de l'affaire Kristen Maaherra
Morality Is A Law Unto Itself	La moralité est une loi en soi
Transpersonal Pyschology	Psychologie transpersonnelle
Is It Important?	Est-ce important?
Literacy Crisis	Crise de l'alphabétisation
What Now?	Et maintenant?
Volume 13, 1992	Tome 13, 1992
Vol 13 No 1 Jan 1992	Vol 13 No 1 janvier 1992
Vol 13 No 1 Jan 1992	Vol 13 No 1 janvier 1992
Is Copyright Really Necessary?	Le droit d’auteur est-il vraiment nécessaire ?
To Make Fair Evaluations	Faire des évaluations justes
The Parable Of The Sower	La parabole du semeur
“Before The Cock Crows...”	« Avant que le coq chante… »
Should The Original Text Have Been Altered?	Le texte original aurait-il dû être modifié ?
Do We Have Any Idea? It's A Debatable Point	Avons-nous une idée ? C'est un point discutable
Keep The Faith	Gardez la foi
Vol 13 No 2 100th Issue	Vol 13 No 2 100e numéro
Vol 13 No 2 100th Issue	Vol 13 No 2 100e numéro
More On Text And Copyright	En savoir plus sur le texte et le droit d'auteur
“Is Copyright Really Necessary?”	« Le droit d’auteur est-il vraiment nécessaire ? »
In The Real World, Inequality Is Only Natural	Dans le monde réel, les inégalités sont naturelles
A Statistical Investigation Of Writing Styles In The Urantia Papers	Une enquête statistique sur les styles d'écriture dans les Cahiers d'Urantia
A Vision For The Future	Une vision pour l'avenir
On The Early Christians	Sur les premiers chrétiens
Vol 13 No 3 May 1992	Vol 13 No 3 mai 1992
Vol 13 No 3 May 1992	Vol 13 No 3 mai 1992
Channeling And The Urantia Movement	La canalisation et le mouvement Urantia
Channeling And Communication With The Spirit World	Canalisation et communication avec le monde des esprits
Channeling And Mental Disorder	Canalisation et troubles mentaux
Midwayer Communications	Communications des Médians
Spreading The Message	Faire passer le message
Are You Ready For The Urantia Book?	Êtes-vous prêt pour le Livre d’Urantia ?
The Importance Of The Individual	L'importance de l'individu
Vol 13 No 4 July 1992	Vol 13 No 4 juillet 1992
Vol 13 No 4 July 1992	Vol 13 No 4 juillet 1992
Contemplative Prayer	Prière contemplative
Religious Publishing Bears Fruit	L’édition religieuse porte ses fruits
Science And The Spirit	La science et l'esprit
Spreading The Message	Faire passer le message
God's Limitations	Les limites de Dieu
Vol 13 No 5 Sept 1992	Vol 13 No 5 septembre 1992
Vol 13 No 5 Sept 1992	Vol 13 No 5 septembre 1992
Environmentalism	Environnementalisme
Character Ennoblement	Ennoblissement du personnage
The Message is Spreading	Le message se propage
The Adventures Of Jesus Of Nazareth	Les aventures de Jésus de Nazareth
Vol 13 No 6 Nov 1992	Vol 13 No 6 novembre 1992
Vol 13 No 6 Nov 1992	Vol 13 No 6 novembre 1992
Summary Of Elanora Conference 1992	Résumé de la conférence Elanora 1992
A Bibliographic Essay On Some Human Sources Used In The Urantia Book	Un essai bibliographique sur certaines sources humaines utilisées dans le Livre d'Urantia
The Purpose Of The Fifth Epochal Revelation?	Le but de la cinquième révélation d’époque ?
Why Do We Need Leaders?	Pourquoi avons-nous besoin de dirigeants ?
Volume 14, 1993	Tome 14, 1993
Vol 14 No 1 Jan 1993	Vol 14 No 1 janvier 1993
Vol 14 No 1 Jan 1993	Vol 14 No 1 janvier 1993
More on Channelling	En savoir plus sur la canalisation
Variety — The Dice Of Life	Variété — Les dés de la vie
The Women's Corps	Le Corps des Femmes
Can Caligastia Really Get At Our Minds?	Caligastia peut-elle vraiment nous toucher ?
Vol 14 No 2 March 1993	Vol 14 No 2 mars 1993
Vol 14 No 2 March 1993	Vol 14 No 2 mars 1993
Question Time	Heure des questions
The Teaching Mission. “If Not Actual Personalities, Then What?”	La mission pédagogique. « Si ce ne sont pas de vraies personnalités, alors quoi ? »
Spiritual Vision	Vision spirituelle
The Australian Conference 1993	La Conférence australienne 1993
Does The End Ever Justify Unworthy Means?	La fin justifie-t-elle parfois des moyens indignes ?
From The Great Literacy Debate	Extrait du grand débat sur l'alphabétisation
Vol 14 No 3 May 1993	Vol 14 No 3 mai 1993
Vol 14 No 3 May 1993	Vol 14 No 3 mai 1993
The Key To Loving Service	La clé du service aimant
Responsibility	Responsabilité
More On Caligastia	En savoir plus sur Caligastia
A Further Statistical Investigation Of Writing Styles In The Urantia Book	Une enquête statistique plus approfondie sur les styles d'écriture dans le Livre d'Urantia
What Might Have Been?	Qu’est-ce qui aurait pu être ?
Vol 14 No 4 July 1993	Vol 14 No 4 juillet 1993
Vol 14 No 4 July 1993	Vol 14 No 4 juillet 1993
On Group Conformity	Sur la conformité du groupe
Faith And The Channelling Pathway	La foi et la voie de canalisation
The Crossroads Of Epochal Revelation	Le carrefour des révélations d’époque
Feet Washing	Lavage des pieds
Destined For The Skies	Destiné au ciel
Vol 14 No 5 Sept 1993	Vol 14 No 5 septembre 1993
Vol 14 No 5 Sept 1993	Vol 14 No 5 septembre 1993
“I Salute The God Within You”	«Je salue le Dieu qui est en toi»
The Power Of The Spirit Of Truth	La puissance de l'esprit de vérité
The 1993 International Conference For Urantia Book Readers, Montreal, Canada	La Conférence internationale de 1993 pour les lecteurs du Livre d'Urantia, Montréal, Canada
Greetings From Finland	Salutations de Finlande
The Revelations Of Divine Truth Are Not Sealed...	Les révélations de la vérité divine ne sont pas scellées…
Vol 14 No 6 Final Issue	Vol 14 No 6 Numéro final
Vol 14 No 6 Final Issue	Vol 14 No 6 Numéro final
How To Become More Jesus-Like	Comment devenir davantage semblable à Jésus
Ego	Ego
What Jesus Did	Ce que Jésus a fait
