WKT,Nombre,Descripción,Reino,Tópico,Wikipedia,Excavación
"POINT (35.82 31.4734 0.0)","Aroer","Ciudad de los amoritas que se situa en el borde norte del Arnón. Tomada por Israel, finalmente cae en manos de Moab (Jer 48:19). Mencionada en El Libro de Urantia como una de las ciudades visitadas durante la gira de Perea.","Perea","https://urantiapedia.org/es/topic/Aroer","https://es.wikipedia.org/wiki/Aroer",
"POINT (35.470299 31.9639 0.0)","Arquelais","Lugar antiguo situada en el lado de la carretera principal del valle del Jordán. Las excavaciones en el lugar han revelado un poblado judío del período romano. Quizás es la Arquelais, la ciudad fundada por Arquelao, hijo de Herodes, en el valle de Jericó. Aparece mencionada en El Libro de Urantia como una de las poblaciones donde se detuvo Jesús con sus discípulos a su paso por Samaria.","Judea","https://urantiapedia.org/es/topic/Arquelais","https://en.wikipedia.org/wiki/Archelais",
"POINT (34.659939 31.752743 0.0)","Asdod","Jesús la visita en su viaje por Palestina.","Ciudades costeras de Salomé","https://urantiapedia.org/es/topic/Asdod","https://es.wikipedia.org/wiki/Asdod",
"POINT (36.024799 32.765247 0.0)","Astarot","Lugar de la gira por la Decápolis donde Juan prohibió enseñar a un hombre.","Decápolis","https://urantiapedia.org/es/topic/Ashtaroth","https://en.wikipedia.org/wiki/Ashteroth_Karnaim",
"POINT (35.177494 31.738981 0.0)","Baal Perazim",,"Judea","https://urantiapedia.org/es/topic/Baal-Perazim","https://en.wikipedia.org/wiki/Baal-perazim",
"POINT (35.177601 31.8242 0.0)","Beerot","Jesús pasa por aquí durante su viaje privado por Palestina. No se ha conseguido dar con su correcto emplazamiento. La wikipedia la confunde erróneamente con Beirut.","Judea","https://urantiapedia.org/es/topic/Beeroth","https://en.wikipedia.org/wiki/Beeroth_(biblical_city)",
"POINT (35.182255 32.734238 0.0)","Belén de Galilea","Mencionada en El Libro de Urantia como una de las poblaciones visitadas por los apóstoles en su gira preparatoria por Galilea. Las ruinas de la antigua población están en la zona.","Galilea","https://urantiapedia.org/es/topic/Bethlehem_(Galilee)","https://en.wikipedia.org/wiki/Bethlehem_of_Galilee","http://www.bethlehem-of-galilee.org/"
"POINT (35.697899 32.4375 0.0)","Beit Adis","Beit Adis, aldea cercana a la cueva de los cuarenta días de Jesús.","Perea","https://urantiapedia.org/es/topic/Beit_Adis",,
"POINT (35.8792 33.314499 0.0)","Beit Jenn","Desde aquí emprendió Jesús la ascensión al Hermón.","Siria","https://urantiapedia.org/es/topic/Beit_Jenn",
"POINT (35.212132 31.703571 0.0)","Belén","Lugar del nacimiento de Jesús, y donde Jesús pasó cierto tiempo predicando junto a Abner y los discípulos de Juan. Es un lugar muy turístico, con una basílica supuestamente en el emplazamiento de la «cueva» (según El Libro de Urantia no fue tal) en que Jesús fue alumbrado.","Judea","https://urantiapedia.org/es/topic/Bethlehem_(Judea)","https://es.wikipedia.org/wiki/Belén",
"POINT (34.840199 31.244101 0.0)","Beerseba","Lugar bíblico del sur de Israel. Excavado en los años 70 por Y. Aharoni, el lugar muestra un ciudad bien planificada del período israelita, rico en hallazgos, el más importante un altar de piedra. Excavaciones recientes han mostrado el sistema hidraulico del lugar. Jesús pasó durante su viaje privado por Palestina.","Judea","https://urantiapedia.org/es/topic/Beersheba","https://es.wikipedia.org/wiki/Beerseba",
"POINT (35.255486 31.770847 0.0)","Betania","Lugar de especiales recuerdos para Jesús, lugar de residencia de la familia de Lázaro, uno de sus grandes amigos.","Judea","https://urantiapedia.org/es/topic/Bethany_(near_Jerusalem)","https://es.wikipedia.org/wiki/Betania",
"POINT (35.545399 31.836599 0.0)","Betania Más Allá del Jordán o Betábara","Ver Ainón. En El Libro de Urantia aparece mencionado como Betania del Jordán y Betábara. Tiene una población gemela en la orilla oriental llamada Ainón.","Judea","https://urantiapedia.org/es/topic/Bethany_beyond_Jordan","https://en.wikipedia.org/wiki/Bethabara",
"POINT (35.239201 31.922501 0.0)","Betel","Lugar bíblico cuyo nombre se preserva hoy en día (Beitin). Famoso por ser el lugar del sueño de Jacob (Gn 28:10-22). Jeroboam instaló un centro de culto en el lugar para un becerro de oro (1 Re 12:28-29), pero el altar fue demolido por el poder divino (1 Re 13:1-11), y más tarde de nuevo por Josiah (2 Re 23:15). Albright, que excavó en el lugar, asegura haber encontrado piedras manchadas de sangre, tal vez restos del altar bíblico. Jesús pasó y se detuvo en repetidas ocasiones aquí.","Judea","https://urantiapedia.org/es/topic/Bethel","https://en.wikipedia.org/wiki/Bethel",
"POINT (35.251598 31.776199 0.0)","Betfagé","En esta población, al igual que en Betania, Jesús contó con muchos simpatizantes. Aquí es donde Jesús tomó prestado un burro para entrar en Jerusalén (Mt 21:1-11).","Judea","https://urantiapedia.org/es/topic/Bethphage","https://es.wikipedia.org/wiki/Betfagé",
"POINT (35.725281 31.669802 0.0)","Bet-Meón",,"Perea","https://urantiapedia.org/es/topic/Beth-Meon",,
"POINT (35.628399 31.896938 0.0)","Bet-Nimra",,"Perea","https://urantiapedia.org/es/topic/Beth-Nimrah",,
"POINT (35.731796 31.770527 0.0)","Bet-Peor",,"Perea","https://urantiapedia.org/es/topic/Beth-Peor",,
"POINT (35.548801 32.8722 0.0)","Betsaida","Lugar de nacimiento de muchos apóstoles, Jesús pasó aquí gran parte de su tiempo. Los arqueólogos actuales no suelen apostar por este emplazamiento como Betsaida, y se decantan más por el emplazamiento oriental. El Libro de Urantia llama claramente Betsaida-Julias a este lugar oriental, reservando el nombre de Betsaida a esta otra zona.","Galilea","https://urantiapedia.org/es/topic/Bethsaida","https://es.wikipedia.org/wiki/Tabgha",
"POINT (35.630104 32.908413 0.0)","Betsaida-Julias","Et-Tell. Uno de los emplazamientos propuesto para Betsaida-Julias, aunque en mi opinión con menos base que El Araj. Frecuentemente mentada en El Libro de Urantia.","Gaulanítide, Batanea y Traconítide","https://urantiapedia.org/es/topic/Bethsaida-Julias","https://es.wikipedia.org/wiki/Betsaida",
"POINT (35.626598 32.8885 0.0)","Betsaida-Julias","El Araj. Uno de los emplazamientos propuesto para Betsaida-Julias. Frecuentemente mentada en El Libro de Urantia.","Gaulanítide, Batanea y Traconítide","https://urantiapedia.org/es/topic/Bethsaida-Julias","https://es.wikipedia.org/wiki/Betsaida",
"POINT (35.093643 31.591663 0.0)","Bet-sur",,"Judea","https://urantiapedia.org/es/topic/Beth-zur",,
"POINT (36.472599 32.518101 0.0)","Bosora","Población únicamente mencionada como parte de la gira por la Perea.","Perea","https://urantiapedia.org/es/topic/Bosora","https://es.wikipedia.org/wiki/Bosra",
"POINT (35.558899 31.595699 0.0)","Callirhue","Población únicamente mencionada como parte de la gira por la Perea.","Perea","https://urantiapedia.org/es/topic/Callirrhoe","https://en.wikipedia.org/wiki/Callirrhoe_(Jordan)",
"POINT (35.302799 32.823502 0.0)","Caná de Galilea","Posible emplazamiento de Caná en Khirbet Kana. Aquí estuvo Jesús en varias ocasiones, en especial en la bodas en las que se produjo el milagro del vino.","Galilea","https://urantiapedia.org/es/topic/Cana","https://es.wikipedia.org/wiki/Caná_de_Galilea",
"POINT (35.342098 32.743652 0.0)","Caná de Galilea","Posible emplazamiento de Caná en Kefar Kenna. Este es el lugar más aceptado por la tradición, y cuenta con varias iglesias que conmemoran el lugar. Sin embargo, el emplazamiento de Khirbet Kana parece más acertado.","Galilea","https://urantiapedia.org/es/topic/Cana","https://es.wikipedia.org/wiki/Caná_de_Galilea",
"POINT (36.6147911 32.7531494 0.0)","Canata","Actual Kanawât","Decápolis","https://urantiapedia.org/es/topic/Kanata",,
"POINT (35.574776 32.880154 0.0)","Capernaum o Cafarnaúm","La ciudad de Jesús, donde vivió de adulto.","Galilea","https://urantiapedia.org/es/topic/Capernaum","https://es.wikipedia.org/wiki/Cafarnaúm",
"POINT (35.857899 32.5961 0.0)","Capitolias (Dión)","Mencionada durante la gira de la Perea. Se identifica con la población llamada Dión antiguamente, pero El Libro de Urantia diferencia ambas.","Perea","https://urantiapedia.org/es/topic/Capitolias","https://es.wikipedia.org/wiki/Capitolias",
"POINT (35.135727 31.723089 0.0)","Ciudad de Judá",,"Judea","https://urantiapedia.org/es/topic/City_of_Judah",,
"POINT (35.563599 32.911999 0.0)","Corozaín o Corazín","Corozaín o Corazín. Jesús pasó por aquí en muchas ocasiones. Es famoso el lamento que profirió Jesús en desfavor de esta población (Lc 10:13).","Galilea","https://urantiapedia.org/es/topic/Chorazin","https://en.wikipedia.org/wiki/Chorazim",
"POINT (35.8176 32.8279 0.0)","Caspin","Lugar de la gira por Perea; no se ha conseguido dar con el correcto emplazamiento.","Perea","https://urantiapedia.org/es/topic/Caspin",,
"POINT (34.891201 32.497398 0.0)","Cesarea","También llamada Cesarea del Mar. Esta ciudad era una de las más destacadas en tiempos de Jesús. Construida de la nada por Herodes el Grande, era la residencia habitual del prefecto de Judea. Jesús la visitó con frecuencia. Mantuvo una reunión allí con un grupo de hombres acaudalados que le hicieron una proposición muy honrosa. Permaneció unos días antes de partir de viaje a Roma, y pasó algún tiempo durante sus giras de predicación con los apóstoles.","Samaria","https://urantiapedia.org/es/topic/Caesarea","https://es.wikipedia.org/wiki/Cesarea_Mar%C3%ADtima","http://www.biblewalks.com/sites/Caesarea.html",
"POINT (35.692795 33.245991 0.0)","Cesarea de Filipo (Paneas)","Cesarea de Filipo (en inglés Caesarea Phlippi). Aquí estuvo Jesús en varias ocasiones mientras se dirigía al monte Hermón.","Gaulanítide, Batanea y Traconítide","https://urantiapedia.org/es/topic/Caesarea_Philippi","https://es.wikipedia.org/wiki/Banias",
"POINT (35.403999 32.6894 0.0)","Dabarita","Población únicamente mencionada como lugar de paso de la segunda gira de predicación por Galilea. No se ha conseguido dar con su correcto emplazamiento.","Galilea","https://urantiapedia.org/es/topic/Dabaritta","https://en.wikipedia.org/wiki/Dabaritta",
"POINT (36.299198 33.514198 0.0)","Damasco","Damasco (en inglés Damascus). Jesús pasó una larga temporada aquí trabajando como escriba.","Siria","https://urantiapedia.org/es/topic/Damascus","https://es.wikipedia.org/wiki/Damasco",
"POINT (35.652229 33.247681 0.0)","Dan","Lugar bíblico. Llamada «Laish» (en hebreo «Leon») en tiempos canaanitas, el lugar fue tomado por el pueblo de Dan, que cambió su nombre. Las excavaciones en el lugar han obtenido muchos hallazgos, entre ellos una puerta cananea hecha de ladrillos, una tumba cananea, una puerta grande del período israelita y un altar israelita. El hallazgo más importante es una inscripción mencionando «la casa de David». En tiempos de Jesús este lugar serían seguramente unas ruinas en detrimento de la nueva Dan, Cesarea de Filipo.","Gaulanítide, Batanea y Traconítide",,"https://es.wikipedia.org/wiki/Tel_Dan",
"POINT (36.027302 32.7411 0.0)","Dium","Mencionada en El Libro de Urantia como población de la gira por la Decápolis; no se ha dado con su correcto emplazamiento. Suele confundirse a esta Dium con otra llamada Dion, y a ambas con Capitolias. Pero El Libro de Urantia nunca las identifica.","Decápolis","https://urantiapedia.org/es/topic/Dium","https://es.wikipedia.org/wiki/Díon",
"POINT (35.238499 32.412701 0.0)","Dotán","Lugar bíblico de Samaria. En su vencindario José vigilaba su rebaño cuando sus hermanos le prendieron, le tiraron a un pozo, y luego le vendieron a como esclavo. (Gn 37). Sólo aparece mencionada en El Libro de Urantia en relación con esta historia. Jesús veía estas colinas desde lo alto de Nazaret y recordaba las escrituras.","Samaria","https://urantiapedia.org/es/topic/Dothan","https://en.wikipedia.org/wiki/Dothan_%28ancient_city%29",
"POINT (36.1008 32.615002 0.0)","Edrei","Aquí se detuvo Jesús tanto en su gira por la Decápolis como por la de Perea.","Decápolis","https://urantiapedia.org/es/topic/Edrei","https://es.wikipedia.org/wiki/Daraa",
"POINT (35.299198 31.9524 0.0)","Efraín","La ciudad cerca del desierto en la que Jesús se retiró después de la resurrección de Lázaro (Jn 11:54). Esto probablemente corresponde al Efrén de Eusebio, Onomasticon (s.C. «Afra») 5 millas romanas al este de Bethel. Este puede ser el lugar junto con el nombrado Bethel por Josefo (BJ, IV, IX, 9). Probablemente et-Taiyebeh, una gran aldea unas 4 millas al norte de Beitin. La antigüedad del sitio ha sido confirmada por cisternas de roca y tumbas. Se encuentra sobre una colina alta con una amplia perspectiva incluidos los llanos de Jericó y el Mar Muerto.","Judea","https://urantiapedia.org/es/topic/Ephraim","https://es.wikipedia.org/wiki/Ophrah",
"POINT (35.765099 32.7929 0.0)","Eleala","Sólo mencionada como lugar de paso en la gira de Perea; no se ha dado con su correcto emplazamiento.","Gaulanítide, Batanea y Traconítide","https://urantiapedia.org/es/topic/Elealah",,
"POINT (34.9902 31.837601 0.0)","Emaús","Una ciudad de época romana que se convirtió en un lugar santo cristiano por la preservación de la tradición como el lugar donde Jesús se apareció a unas pocas personas después de su resurrección (Lc 24:13-35). Las excavaciones en el lugar revelaron una catedral cruzada, y un mosaico de época romana. Gran parte de la ciudad romana sigue a la espera de ser descubierta. Estando demasiado lejos de Jerusalén, otros sitios han sido identificados como los mencionados en Lucas, cerca de Jerusalén (Abu Gosh, Kubeibah, y Motsa).","Judea","https://urantiapedia.org/es/topic/Emmaus","https://es.wikipedia.org/wiki/Emaús",
"POINT (35.4035 32.633801 0.0)","Endor","Población cercana a Nazaret que Jesús visitó en innumerables ocasiones de pequeño y de adulto. No está nada claro que éste sea el correcto emplazamiento, hay muchas poblaciones candidatas según los arquólogos.","Galilea","https://urantiapedia.org/es/topic/Endor","https://es.wikipedia.org/wiki/Endor_(Biblia)",
"POINT (35.496372 32.707424 0.0)","En-Ganim","Un lugar por donde pasó Jesús en su viaje privado por Palestina durante el año 25 d.C.","Galilea","https://urantiapedia.org/es/topic/En-Gannim",,
"POINT (35.392502 31.4613 0.0)","En-Gedi","Aquí es donde Juan el Bautista vivió en una colonia de nazareos.","Judea","https://urantiapedia.org/es/topic/Engedi","https://es.wikipedia.org/wiki/Ein_Guedi","http://www.planetnana.co.il/ghadas/"
"POINT (35.50161 32.502373 0.0)","Escitópolis","Escitópolis, la antigua Bet Sheán.","Decápolis","https://urantiapedia.org/es/topic/Scythopolis","https://es.wikipedia.org/wiki/Beit_She%27an",
"POINT (35.447609 32.016712 0.0)","Fasaelis","Jesús y los apóstoles predicaron aquí.","Judea","https://urantiapedia.org/es/topic/Phasaelis","https://es.wikipedia.org/wiki/Fasayil",
"POINT (35.934402 31.954382 0.0)","Filadelfia","Actual Amman.","Decápolis","https://urantiapedia.org/es/topic/Philadelphia","https://es.wikipedia.org/wiki/Am%C3%A1n",
"POINT (35.67815 32.656048 0.0)","Gadara",,"Decápolis","https://urantiapedia.org/es/topic/Gadara","https://en.wikipedia.org/wiki/Gadara",
"POINT (35.74028 32.902454 0.0)","Gamala",,"Gaulanítide, Batanea y Traconítide","https://urantiapedia.org/es/topic/Gamala","https://es.wikipedia.org/wiki/Gamala",
"POINT (34.4487 31.525801 0.0)","Gaza","Jesús la visita en su viaje por Palestina. Fue anexionada a Siria en tiempos de Pompeyo.","Siria","https://urantiapedia.org/es/topic/Gaza","https://es.wikipedia.org/wiki/Gaza",
"POINT (35.226395 32.317993 0.0)","Geba",,"Samaria","https://urantiapedia.org/es/topic/Geba",,
"POINT (35.5238 32.8465 0.0)","Genesaret","Población que con seguridad Jesús frecuentó en muchas ocasiones. Es mencionado en El Libro de Urantia como el lugar donde pasó varios días con sus discípulos antes de encarar la gran crisis de Cafarnaúm. En la actualidad, llamado kibbutz Guinosar, es el lugar que alberga un museo en torno al hallazgo de los restos de un bote del primer siglo.","Galilea","https://urantiapedia.org/es/topic/Gennesaret","https://en.wikipedia.org/wiki/Gennesaret","http://www.jesusboat.com/imgs/site/site/boat.html"
"POINT (35.890308 32.280285)","Gerasa","Una de las poblaciones de la Decápolis.","Decápolis","http://urantiapedia.org/es/topic/Gerasa","https://es.wikipedia.org/wiki/Gerasa",
"POINT (35.184433 31.846411 0.0)","Gibeón",,"Judea","https://urantiapedia.org/es/topic/Gibeon",,
"POINT (35.992012 32.465843 0.0)","Galaad",,"Decápolis","https://urantiapedia.org/es/topic/Gilead","https://es.wikipedia.org/wiki/Galaad",
"POINT (35.444092 33.011703 0.0)","Giscala",,"Galilea","https://urantiapedia.org/es/topic/Gischala","https://es.wikipedia.org/wiki/Gush_Halav",
"POINT (35.223423 31.952557 0.0)","Gofna","Jesús predicó a gente de este lugar a finales de junio de 27.","Judea","https://urantiapedia.org/es/topic/Gophna",,
"POINT (35.110569 31.523844 0.0)","Hebrón",,"Judea","https://urantiapedia.org/es/topic/Hebron","https://es.wikipedia.org/wiki/Hebrón",
"POINT (35.809361 31.800535 0.0)","Hesbón","Una de las poblaciones recorridas en la misisón de Perea.","Perea","https://urantiapedia.org/es/topic/Heshbon","https://en.wikipedia.org/wiki/Heshbon","https://madabaplains.org/hisban/"
"POINT (35.659794 32.778763 0.0)","Hipos (Susita)","Una las ciudades donde predicaron Jesús y los apóstoles.","Decápolis","https://urantiapedia.org/es/topic/Hippos","https://es.wikipedia.org/wiki/Hippos","http://hippos.haifa.ac.il/index.htm"
"POINT (35.468517 33.115013 0.0)","Irón","Jesús trabajó en las minas de Irón. Un hombre de Irón fue ridiculizado en el templo.","Galilea","https://urantiapedia.org/es/topic/Iron_(city)",,
"POINT (34.745728 31.863005 0.0)","Jamnia","Jesús la visita durante su viaje por Palestina. El nombre hebreo era Yavneh. Pasó a tener una fama especial treinta años después de morir Jesús, tras la guerra judía contra los romanos, por ser el refugio de los rabís que consignaron por escrito la Misná.","Ciudades costeras de Salomé","https://urantiapedia.org/es/topic/Jamnia","https://es.wikipedia.org/wiki/Yavne",
"POINT (35.434006 31.852665 0.0)","Jericó","Aquí construyó un palacio Herodes.","Judea","https://urantiapedia.org/es/topic/Jericho","https://es.wikipedia.org/wiki/Jericó",
"POINT (35.444092 31.870274 0.0)","Jericó - Ciudad antigua","En la época de Jesús aquí seguirían las ruinas de la antigua ciudad.","Judea","https://urantiapedia.org/es/topic/Jericho","https://es.wikipedia.org/wiki/Jericó",
"POINT (35.232498 31.7789 0.0)","Jerusalén","La capital y centro del judaísmo, donde finalmente fue muerto Jesús.","Judea","https://urantiapedia.org/es/topic/Jerusalem","https://es.wikipedia.org/wiki/Jerusalén",
"POINT (35.33057 32.555096 0.0)","Jezreel","Jesús pasó por esta población.","Galilea","https://urantiapedia.org/es/topic/Jezreel","https://es.wikipedia.org/wiki/Valle_de_Jezreel",
"POINT (35.911594 31.964581 0.0)","Jogbeha","Una de las poblaciones recorridas en la misisón de Perea.","Perea","https://urantiapedia.org/es/topic/Jogbehah",,
"POINT (34.752071 32.053947 0.0)","Jope","Este es el puerto en el que desembarcó Jesús con sus padres de regreso de Egipto. Jesús estuvo aquí de paso cuando llevó a su hermano Simón a asistir por primera vez a Jerusalén el año 17 d.C. Fue un lugar por el que pasó con frecuencia en sus viajes posteriores, tanto en solitario como con sus apóstoles.","Judea","https://urantiapedia.org/es/topic/Joppa","https://es.wikipedia.org/wiki/Jaffa",
"POINT (35.27813 32.832211 0.0)","Jotapata","Aquí pronunció Jesús un discurso sobre la oración, y María Magdalena y Rebeca fueron ordenadas en este lugar.","Galilea","https://urantiapedia.org/es/topic/Jotapata","https://es.wikipedia.org/wiki/Sitio_de_Jotapata",
"POINT (35.252781 32.060085 0.0)","Lebona","Jesús pasó por este lugar.","Judea","https://urantiapedia.org/es/topic/Lebonah",,
"POINT (34.908218 31.949306 0.0)","Lida","Población por la que pasó Jesús.","Judea","https://urantiapedia.org/es/topic/Lydda",,
"POINT (35.629627 31.818186 0.0)","Livias","Una de las poblaciones recorridas en la misisón de Perea.","Perea","https://urantiapedia.org/es/topic/Livias",,
"POINT (35.631203 33.288116 0.0)","Luz","Jesús pasó por aquí en su viaje a Fenicia.","Fenicia","https://urantiapedia.org/es/topic/Luz",,
"POINT (35.441608 32.793285 0.0)","Madón","Población por la que pasó Jesús.","Galilea","https://urantiapedia.org/es/topic/Madon",,
"POINT (35.651344 32.87352 0.0)","Magadán","Parque de Magadán.","Gaulanítide, Batanea y Traconítide","https://urantiapedia.org/es/topic/Magadan_Park",,
"POINT (35.516022 32.824039 0.0)","Magdala","Lugar de paso frecuente de Jesús. Aquí es donde el grupo de discípulas de Jesús inició tareas de predicación por cuenta propia. Lugar famoso por ser el hogar de María Magdalena, hoy en día las excavaciones arqueológicas están paradas y el recinto cerrado al público.","Galilea","https://urantiapedia.org/es/topic/Magdala","https://en.wikipedia.org/wiki/Al-Majdal,_Tiberias",
"POINT (35.105259 31.555744 0.0)","Mambré",,"Judea","https://urantiapedia.org/es/topic/Mamre","https://es.wikipedia.org/wiki/Mamre",
"POINT (35.632809 31.560955 0.0)","Macaerus o Maqueronte","Herodes Antipas mantuvo su residencia aquí y es donde Juan fue encarcelado.","Perea","https://urantiapedia.org/es/topic/Machaerus,_fortress_of","https://es.wikipedia.org/wiki/Maqueronte",
"POINT (35.792088 31.715357 0.0)","Medeba","Medeba o Medaba, una de las poblaciones recorridas en la misisón de Perea.","Perea","https://urantiapedia.org/es/topic/Medeba","https://es.wikipedia.org/wiki/Madaba",
"POINT (35.186348 32.575798 0.0)","Meguido",,"Galilea","https://urantiapedia.org/es/topic/Megiddo","https://es.wikipedia.org/wiki/Megido",
"POINT (35.741640 32.166630 0.0)","Mispé","Una de las poblaciones recorridas en la misisón de Perea.","Perea","https://urantiapedia.org/es/topic/Mispeh",,
"POINT (35.348358 32.629505 0.0)","Naín","Población sobre una colina. Aquí trabajó José, elpadre de Jesús.","Galilea","https://urantiapedia.org/es/topic/Nain","https://es.wikipedia.org/wiki/Naín",
"POINT (35.298901 32.702507 0.0)","Nazaret","Nazaret, lugar de la infancia de Jesús.","Galilea","https://urantiapedia.org/es/topic/Nazareth","https://es.wikipedia.org/wiki/Nazaret",
"POINT (35.303143 32.707481 0.0)","Nazaret - Casa de Jesús","Lugar aproximado donde se situaba la casa de Jesús.","Galilea","https://urantiapedia.org/es/topic/Nazareth","https://es.wikipedia.org/wiki/Nazaret",
"POINT (35.615402 32.449806 0.0)","Pella","Lugar de las ruinas de Pella, cerca de Tabaqat Fahl.","Decápolis","https://urantiapedia.org/es/topic/Pella","https://en.wikipedia.org/wiki/Pella%2C_Jordan",
"POINT (35.688629 32.177422 0.0)","Penuel","Una de las poblaciones recorridas en la misisón de Perea.","Perea","https://urantiapedia.org/es/topic/Penuel",,
"POINT (35.644596 32.826443 0.0)","Queresa","Queresa o Kursi, hogar de los gemelos Alfeo y donde tuvo lugar el suceso de Jesús con un lunático.","Gaulanítide, Batanea y Traconítide","https://urantiapedia.org/es/topic/Kheresa",,
"POINT (35.686699 31.535477 0.0)","Queriot","Hogar de Judas Iscariote","Perea","https://urantiapedia.org/es/topic/Kerioth",,
"POINT (35.693432 32.224499 0.0)","Ragaba","Una de las poblaciones recorridas en la misisón de Perea.","Perea","https://urantiapedia.org/es/topic/Ragaba",,
"POINT (35.386719 32.909004 0.0)","Ramá","Una de las poblaciones donde predicó Jesús.","Galilea","https://urantiapedia.org/es/topic/Ramah","https://es.wikipedia.org/wiki/Ram%C3%A1",
"POINT (35.31329 32.76989 0.0)","Rimón","Jesús predicó en este lugar.","Galilea","https://urantiapedia.org/es/topic/Rimmon",,
"POINT (35.188953 32.27549 0.0)","Samaria o Sebaste","Hogar de Abner y lugar donde fue enterrado Juan el Bautista.","Samaria","https://urantiapedia.org/es/topic/Sebaste","https://es.wikipedia.org/wiki/Samaria_(ciudad_antigua)",
"POINT (35.497711 32.969818 0.0)","Safed","Población donde Jesús predicó.","Galilea","https://urantiapedia.org/es/topic/Safed","https://es.wikipedia.org/wiki/Safed",
"POINT (35.298801 33.447289 0.0)","Sarepta","Jesús pasó por aquí con sus discípulos en su viaje por Fenicia.","Fenicia","https://urantiapedia.org/es/topic/Sarepta","https://es.wikipedia.org/wiki/Sarepta",
"POINT (35.195534 32.688007 0.0)","Sarid","Un tío de Jesús tenía aquí una granja.","Galilea","https://urantiapedia.org/es/topic/Sarid",,
