Reference	Original	Corrected	Review	Decision
74:2.8 (830.3)	The dispensation of the Prince has passed, the age of Adam	The dispensation of the Prince has passed; the age of Adam	The dispensation of the Prince has passed<mark><s>,</s>;</mark> the age of Adam	The initial clause is a complete sentence; a semicolon is the correct way of linking the two parts of the larger sentence.
76:2.3 (848.3)	In the days of the first Eden Adam had indeed	In the days of the first Eden, Adam had	In the days of the first Eden<mark>,</mark> Adam had	The comma appropriately separates the initial adverbial phrase.
77:3.1 (858.2)	a descendant of Nod, was indorsed	a descendant of Nod, was endorsed.	a descendant of Nod, was <mark><s>indorsed</s> endorsed</mark>.	Indorsed is obsolete, the modern form endorsed is justified.
77:3.4 (858.5)	as to the purpose of building the tower.	the purpose of building the tower:	the purpose of building the tower<mark><s>.</s>:</mark>	This sentence clearly introduces a list, so the colon is appropriate.
77:7.6 (863.7)	all sorts of sick peoples	all sorts of sick people	all sorts of sick <mark><s>peoples</s> people</mark>	Peoples indicate not multiple individuals but multiple large groups of people.
78:2.3 (870.1)	a civilization in anyway comparable	a civilization in any way comparable	a civilization in <mark><s>anyway</s> any way</mark> comparable	The two-word form any way is the appropriate choice when serving as an adverb.
79:3.5 (881.5)	commerical civilization of the world	commercial civilization of the world	<mark><s>commerical</s> commercial</mark> civilization of the world	Simply a spelling error in typesetting.
79:5.6 (883.7)	land passage to the west, over the Bering isthmus	land passage to the West, over the Bering isthmus	land passage to the <mark><s>west</s> West</mark>, over the Bering isthmus	West is referring to the Western Hemisphere, thus indicating a place rather than a direction of travel.
79:8.3 (887.3)	disruption of Graeco-Roman civilization	disruption of Greco-Roman civilization	disruption of <mark><s>Graeco</s> Greco</mark>-Roman civilization	The more modern form was decided upon.
80:2.4 (890.8)	level of the Atlantic Ocean Presently the	level of the Atlantic Ocean. Presently the	level of the Atlantic Ocean<mark>.</mark> Presently the	This period, at the end of the last line on the page in the original format, was missing in the first printing.
80:5.8 (894.1)	Central Europe was for sometime controlled by	Central Europe was for some time controlled by	Central Europe was for <mark><s>sometime</s> some time</mark> controlled by	The two-word form is correct as the reference is to an indefinite period of time.
80:7.1 (895.1)	there persisted for sometime a superior civilization	there persisted for some time a superior civilization	there persisted for <mark><s>sometime</s> some time</mark> a superior civilization	The two-word form is correct as the reference is to an indefinite period of time.
83:7.6 (928.7)	a life-long partnership of self-effacement	a lifelong partnership of self-effacement	a <mark><s>life-long</s> lifelong</mark> partnership of self-effacement	Standardization was decided here.
84:7.7 (940.3)	enhancement of parental instinct. Each generation	enhancement of parental instinct—each generation	enhancement of parental instinct<mark><s>. Each</s>—each</mark> generation	The correction makes this section consistent with the other three items of this series.
86:5.17 (940.3)	The children of Badanon developed	The children of Badonan developed	The children of <mark><s>Badanon</s> Badonan</mark> developed	Badonan is the correct spelling.
87:3.3 (960.7)	make sure that some one would provide	make sure that someone would provide	make sure that <mark><s>some one</s> someone</mark> would provide	The compound form is used when the group of which the "one" is a member is not specified.
87:5.5 (962.6)	grew up as a defense against evil eye	grew up as a defense against the evil eye	grew up as a defense against <mark>the</mark> evil eye	The phrase evil eye without an article seems extremely stilted.
88:6.7 (972.7)	good luck, evil eye, and astrology	good luck, the evil eye, and astrology	good luck, <mark>the</mark> evil eye, and astrology	The phrase evil eye without an article seems extremely stilted.
89:3.1 (976.3)	the custom to forego many forms	the custom to forgo many forms	the custom to <mark><s>forego</s> forgo</mark> many forms	The corrected spelling of forgo is etymologically preferable.
89:4.9 (978.6)	5,740,352 sacks of coin	5,740,352 sacks of corn	5,740,352 sacks of <mark><s>coin</s> corn</mark>	The list of gifts to the Gods is excerpted from the Harris Papyrus I, which predates the earliest significant presence of coins in Egypt by 650-750 years.
89:8.1 (982.5)	dedication to life-long virginity	dedication to lifelong virginity	dedication to <mark><s>life-long</s> lifelong</mark> virginity	Standardization was decided here.
90:2.9 (988.5)	the Shawnee Teuskwatawa,	the Shawnee Tenskwatawa,	the Shawnee <mark><s>Teuskwatawa</s> Tenskwatawa</mark>,	Tenskwatawa is the standard transliteration for the Shawnee prophet’s name.
90:2.9 (988.5)	the eclipse of the sun in 1808	the eclipse of the sun in 1806	the eclipse of the sun in <mark><s>1808</s> 1806</mark>	The date in the text has been corrected because the incident actually occurred in 1806.
92:6.14 (1011.12)	religions of ancient times were Judaism and Hinduism, and each	religions of ancient times were Hinduism and Judaism, and each	religions of ancient times were <mark><s>Judaism and Hinduism</s> Hinduism and Judaism</mark>, and each	The correction in word order is consistent with the subsequent phraseology, “...each respectively...in Orient and Occident.” At some point it appears a transcription error was made and this is the simplest way to restore the intended meaning.
92:7.7 (1013.2)	Level values—loyalties	Level of values—loyalties	Level <mark>of</mark> values—loyalties	Level values has no discernible meaning; Level of values is meaningful, consistent with the context, and is consistent with the other three items in this series.
93:5.8 (1019.5)	for Abraham to forego	for Abraham to forgo	for Abraham to <mark><s>forego</s> forgo</mark>	The corrected spelling of forgo is etymologically preferable.
94:4.6 (1031.7)	such as Agni, Indra, Soma	such as Agni, Indra, and Soma	such as Agni, Indra, <mark>and</mark> Soma	The conjunction and between the last two elements of a series gives the reader an indication that the series is complete.
94:5.6 (1033.1)	and in this country, far distant from Salem	and in this country, far-distant	and in this country, <mark><s>far distant</s> far-distant</mark>	The decision to standardize usage is in agreement with Webster’s of 1934.
94:6.3 (1033.6)	He taught that “man’s eternal destiny was everlasting union with Tao	He taught that man’s eternal destiny was “everlasting union	He taught that <mark><s>“</s></mark>man’s eternal destiny was <mark>“</mark>everlasting union	The relocation of the opening quotation mark resolves the difficulty.
95:1.3 (1042.4)	Such teaching gained the ascendency	Such teaching gained the ascendancy	Such teaching gained the <mark><s>ascendency</s> ascendancy</mark>	Ascendancy is first choice of Webster’s and is definitely preferred above ascendency.
95:7.1 (1050.6)	in the Arabian desert	in the Arabian Desert	in the Arabian <mark><s>desert</s> Desert</mark>	The correct form is Arabian Desert.
96:3.1 (1055.4)	to the Arabian desert	to the Arabian Desert	to the Arabian <mark><s>desert</s> Desert</mark>	The correct form is Arabian Desert.
96:4.6 (1057.2)	But none the less he sought	But nonetheless he sought	But <mark><s>none the less</s> nonetheless</mark> he sought	None the less is used when the meaning is equivalent to no less, and nonetheless is used when the meaning approximates even so.
97:5.6 (1067.3)	walk humbly with your God."	walk humbly with your God?”	walk humbly with your God<mark><s>.</s>?</mark>”	This quote is punctuated as found in the Revised Version Bible.
97:9.23 (1074.5)	the ascendency of Egypt brought	the ascendancy of Egypt brought	the <mark><s>ascendency</s> ascendancy</mark> of Egypt brought	Ascendancy is first choice of Webster’s and is definitely preferred above ascendency.
98:3.8 (1081.2)	more than twoscore self-elevated human deities	more than two-score self-elevated human deities	more than <mark><s>twoscore</s> two-score</mark> self-elevated human deities	The hyphenated form is the consistent usage elsewhere in the text. The decision was made to standardize on that form.
98:4.1 (1081.4)	people in the Graeco-Roman world	people in the Greco-Roman world	people in the <mark><s>Graeco</s> Greco</mark>-Roman world	The more modern form was decided upon.
100:4.4 (1098.1)	If some one irritates you	If someone irritates you	If <mark><s>some one</s> someone</mark> irritates you	The two-word form is appropriate when referring to some one member of a particular group.
100:4.5 (1098.2)	Only in the second sketch you are favored	Only, in the second sketch you are favored	Only<mark>,</mark> in the second sketch you are favored	The comma after Only is required to convey the intended meaning, which approximates “however."
101:3.5 (1108.4)	adverse ani malistic tendencies. (missing hyphen at end of line)	adverse animalistic tendencies	adverse <mark><s>ani malistic</s> animalistic</mark> tendencies	The required hyphen at the end of the line was inserted. This issue does not occur in the electronic texts.
101:6.13 (1113.2)	cosmic levels of the Supreme mind	cosmic levels of the Supreme Mind	cosmic levels of the Supreme <mark><s>mind</s> Mind</mark>	Chicago Manual of Style steadfastly recommends capitalization for names for Deity. Therefore, when using Supreme Mind as a two-word noun/name, Mind should be capitalized.
102:3.5 (1122.1)	consciousness of <em>true reality</em>;	consciousness of <em>true reality</em><em>;</em>	consciousness of <em>true reality</em><mark><s>;</s></mark><em><mark>;</mark></em>	Semicolon italicized.
102:3.11 (1122.7)	Science indicates Deity as a <em>fact</em>;	Science indicates Deity as a <em>fact</em><em>;</em>	Science indicates Deity as a <em>fact</em><mark><s>;</s></mark><em><mark>;</mark></em>	Semicolon italicized.
102:8.4 (1127.8)	Ethics is the eternal social or racial mirror	Ethics is the external social or racial mirror	Ethics is the <mark><s>eternal</s> external</mark> social or racial mirror	Correcting eternal to external on the basis of an assumed keystroke error makes the sentence clear in meaning and reveals a contrastive point which is completely absent from the original.
105:3.8 (1156.5)	corelater of the absolute and the relative	correlator of the absolute and the relative	<mark><s>corelator</s> correlator</mark> of the absolute and the relative	Correlator, the now standard form, is found five times elsewhere in the text.
105:3.9 (1156.6)	the eternity co-existence of the Son	the eternity coexistence of the Son	the eternity <mark><s>co-existence</s> coexistence</mark> of the Son	The hyphenated form is not found elsewhere in the text and is not supported.
106:5.1 (1167.2)	and the Unrevealed Consummator of	and the unrevealed Consummator of	and the <mark><s>Unrevealed</s> unrevealed</mark> Consummator of	The lowercase version is correct because unrevealed is solely descriptive.
106:5.2 (1167.3)	the unknown potential of Supreme mind	the unknown potential of Supreme Mind	the unknown potential of Supreme <mark><s>mind</s> Mind</mark>	Chicago Manual of Style steadfastly recommends capitalization for names for Deity.
109:7.2 (1201.3)	Personalized Thought Adjusters are the untrammeled	Personalized Thought Adjusters are the untrammeled	Personalized Thought Adjusters are the <mark><s>untrammelled</s> untrammeled</mark>	Untrammeled is the consistent usage elsewhere in the text and is preferred by Chicago Manual of Style.
110:3.4 (1206.2)	compatible with a light-hearted and joyous life	compatible with a lighthearted and joyous life	compatible with a <mark><s>light-hearted</s> lighthearted</mark> and joyous life	All other occurrences in the text follow the compound form, lighthearted.
111:0.4 (1215.4)	the <em>ka</em> and the <em>ba</em>;	the <em>ka</em> and the <em>ba</em><em>;</em>	the <em>ka</em> and the <em>ba</em><mark><s>;</s></mark><em><mark>;</mark></em>	The semicolon should be italicized.
112:1.7 (1226.11)	<em>Vertical</em> depth embraces the organismal drives	<em>Vertical</em> <em>depth</em> embraces the organismal drives	<em>Vertical</em> <mark><s>depth</s> </mark><em><mark>depth</mark></em> embraces the organismal drives	Vertical and depth should both be italicized as together they form the substantive paralleled by the other items in the context.
114:3.1 (1252.5)	the Jerusem corps of twenty-four planetary supervisors designate one	the Jerusem corps of twenty-four planetary supervisors designates one	the Jerusem corps of twenty-four planetary supervisors <mark><s>designate</s> designates</mark> one	The word corps, being a collective noun, requires a singular verb form for correct noun/verb agreement.
114:3.2 (1252.6)	while the united midwayers,	while the United Midwayers,	while the <mark><s>united midwayers</s> United Midwayers</mark>,	United Midwayers is the usual form of the term.
117:7.4 (1291.8)	Qualified Vicegerents of the Ultimate	Qualified Vicegerents of the Ultimate.	Qualified Vicegerents of the Ultimate<mark>.</mark>	This period was missing in many copies of the 1955 text but it very faintly appears in others, apparently being worn down in the course of the printing.
118:6.2 (1299.5)	any violence to the freewillness	any violence to the free-willness	any violence to the <mark><s>freewillness</s> free-willness</mark>	Free-willness is found at four other locations in the text and in all instances it refers to an attribute or characteristic of a being or beings.
118:6.8 (1300.4)	the colossal error of Pantheism	the colossal error of pantheism	the colossal error of <mark><s>Pantheism</s> pantheism</mark>	Though religions and even philosophical schools are normally capitalized, pantheism is more of a philosophical concept and is not capitalized.
119:8.8 (1319.1)	Jesus has promised some time to return	Jesus has promised sometime to return	Jesus has promised <mark><s>some time</s> sometime</mark> to return	The closed form of sometime is correct.
121:7.3 (1340.1)	did not hestitate to clash	did not hesitate to clash	did not <mark><s>hestitate</s> hesitate</mark> to clash	Simple typesetting spelling error.
123:2.3 (1357.7)	his fifth birthday anniversay	his fifth birthday anniversary	his fifth birthday <mark><s>anniversay</s> anniversary</mark>	Simple typesetting spelling error.
124:1.12 (1368.1)	on pleasure or business to nearby Cana	on pleasure or business to near-by Cana	on pleasure or business to <mark><s>nearby</s> near-by</mark> Cana	All other instances of near-by as an adjective are hyphenated.
125:1.5 (1379.1)	to view the “gate beautiful,” the artistic gate	to view the “Gate Beautiful,” the artistic gate	to view the “<mark><s>gate beautiful</s> Gate Beautiful</mark>,” the artistic gate	Gate Beautiful is clearly one name for this gate; therefore capitalization is appropriate.
126:1.2 (1387.2)	he could look upon Tannach	he could look upon Taanach	he could look upon <mark><s>Tannach</s> Taanach</mark>	Taanach is the correct spelling and standard transliteration of the name.
126:1.5 (1387.5)	superhuman or miraculous peformance	superhuman or miraculous performance	superhuman or miraculous <mark><s>peformance</s> performance</mark>	Simple typesetting spelling error.
130:6.3 (1437.3)	and the bond-servant of depression	and the bond servant of depression and defeat	and the <mark><s>bond-servant</s> bond servant</mark> of depression and defeat	The only form found in Webster’s is the open form. Therefore, the decision was made to standardize on that form.
133:1.5 (1470.1)	if any one should be so unthinking	if anyone should be so unthinking	if <mark><s>any one</s> anyone</mark> should be so unthinking	Anyone is correct if anybody could be substituted.
133:7.9 (1480.1)	functioning of a consciousness sorter and associater	functioning of a consciousness sorter and associator	functioning of a consciousness sorter and <mark><s>associater</s> associator</mark>	The common form, associator, is the consistent usage elsewhere in the text.
134:3.3 (1485.5)	religion began at 10:00 o’clock	religion began at ten o’clock	religion began at <mark><s>10:00</s> ten</mark> o’clock	The spelled-out form for time is clearly supported in Chicago Manual of Style.
134:3.3 (1485.5)	sessions started at 3:00 o’clock	sessions started at three o’clock	sessions started at <mark><s>3:00</s> three</mark> o’clock	The spelled-out form for time is clearly supported in Chicago Manual of Style.
134:3.3 (1485.5)	debates opened at 8:00 o’clock	debates opened at eight o’clock	debates opened at <mark><s>8:00</s> eight</mark> o’clock	The spelled-out form for time is clearly supported in Chicago Manual of Style.
134:7.5 (1492.5)	Sychar, Schecham	Sychar, Shechem	Sychar, <mark><s>Schecham</s> Shechem</mark>	Shechem is the standard transliteration of the name.
134:7.5 (1492.5)	Caesarea Philippi	Caesarea-Philippi	Caesarea<mark>-</mark>Philippi	Given the almost universal consistency of usage in the text, the hyphenated form must have been the author’s choice.
134:8.1 (1492.8)	Caesarea Philippi	Caesarea-Philippi	Caesarea<mark>-</mark>Philippi	Correction to hyphenated form.
134:8.9 (1494.2)	took place some time before his baptism	took place sometime before his baptism	took place <mark><s>some time</s> sometime</mark> before his baptism	The closed form sometime is correct as the reference is to an indefinite point in time.
135:8.1 (1503.4)	fresh, first-hand reports	fresh, firsthand reports	fresh, <mark><s>first-hand</s> firsthand</mark> reports	Of the five occurrences of firsthand and first-hand, only this one is hyphenated; no differentiation in usage exists.
135:11.2 (1507.1)	bridegroom who stands near-by	bridegroom who stands near by	bridegroom who stands <mark><s>near-by</s> near by</mark>	Consistent adverb usage supports this correction to the open form.
136:3.5 (1513.2)	Michael No. 611,121	Michael number 611,121	Michael <mark><s>No.</s> number</mark> 611,121	The spelled-out version is appropriate in this context.
136:8.3 (1520.4)	this momentous dialog of Jesus’	this momentous dialogue of Jesus’	this momentous <mark><s>dialog</s> dialogue</mark> of Jesus’	Though this is a more modern and American English form, it is the only instance. Multiple instances of dialogue are found.
138:7.4 (1544.3)	their first clearcut and positive	their first clear-cut and positive	their first <mark><s>clearcut</s> clear-cut</mark> and positive	This word is found eight additional times; all are hyphenated.
139:12.1 (1565.9)	Judas’ parents were Sadducees	Judas’s parents were Sadducees	Judas<mark>’s</mark> parents were Sadducees	The correct form is Judas’s.
140:8.30 (1583.4)	He was liberal, bighearted, learned, and tolerant	He was liberal, big-hearted, learned, and tolerant	He was liberal, <mark><s>bighearted</s> big-hearted</mark>, learned, and tolerant	The only other occurrence of this word is hyphenated, so it was decided to standardize on this version.
142:8.4 (1606.1)	The Sabbath week ends they usually spent	The Sabbath weekends they usually spent	The Sabbath <mark><s>week ends</s> weekends</mark> they usually spent	The closed form has become the standard usage and has been adopted.
143:5.3 (1613.1)	that I thirst not neither come all the way	that I thirst not, neither come all the way	that I thirst not<mark>,</mark> neither come all the way	The comma properly separates the phrases, making this sentence easier to read.
146:4.1 (1643.2)	preach at the week-day evening	preach at the weekday evening	preach at the <mark><s>week-day</s> weekday</mark> evening	The closed form has become the standard usage and has been adopted.
147:4.2 (1650.2)	the encouragement of evil doing	the encouragement of evil-doing	the encouragement of <mark><s>evil doing</s> evil-doing</mark>	There has been a clear preference for the hyphenated form since the seventeenth century.
147:5.1 (1651.5)	He was a half-hearted believer	He was a halfhearted believer	He was a <mark><s>half-hearted</s> halfhearted</mark> believer	The closed form is the consistent usage elsewhere in the text. The decision was made to standardize on that form.
149:4.1 (1673.1)	the Master among other things said, in reply	the Master, among other things, said in reply	the Master<mark>,</mark> among other things<mark>,</mark> said<mark><s>,</s></mark> in reply	This required two corrections: a comma was inserted after the Master, and a pre-existing comma that followed said was moved in front.
149:7.1 (1677.2)	return to Bethsaida some time on Thursday	return to Bethsaida sometime on Thursday	return to Bethsaida <mark><s>some time</s> sometime</mark> on Thursday	The reference is to an indefinite point in time, therefore sometime is correct.
151:6.2 (1695.5)	confined in one of the grottos	confined in one of the grottoes	confined in one of the <mark><s>grottos</s> grottoes</mark>	Though both forms are correct, this word is found elsewhere in the text as grottoes. The text was standardized on that form.
152:3.2 (1702.3)	you are short-sighted and material-minded	you are shortsighted and material-minded	you are <mark><s>short-sighted</s> shortsighted</mark> and material-minded	The closed form is the consistent usage elsewhere.
153:1.7 (1709.1)	Jairus’ only reply to all this	Jairus’s only reply to all this	Jairus<mark>’s</mark> only reply to all this	The correct form is Jairus’s.
153:3.5 (1712.5)	But hearken to me all of you	But hearken to me, all of you	But hearken to me<mark>,</mark> all of you	The comma properly separates the phrases, making the sentence easier to read.
157:1.3 (1744.1)	accepted the tax, foregoing the penalty	accepted the tax, forgoing the penalty for tardy payment	accepted the tax, <mark><s>foregoing</s> forgoing</mark> the penalty for tardy payment	The corrected spelling of forgoing is etymologically preferable.
158:4.6 (1756.3)	Come out of him you unclean spirit	Come out of him, you unclean spirit	Come out of him<mark>,</mark> you unclean spirit	The comma properly separates the phrases, making this sentence easier to read.
158:7.1 (1759.3)	slept very little that night;	slept very little that night,	slept very little that night<mark><s>;</s>,</mark>	The semicolon is too strong a separator. A comma is more appropriate.
159:3.9 (1766.5)	there is deliberate evildoing and sinful rebellion	there is deliberate evil-doing and sinful rebellion	there is deliberate <mark><s>evildoing</s> evil-doing</mark> and sinful rebellion	There has been a clear preference for the hyphenated form since the seventeenth century.
160:3.2 (1777.3)	they are at once restful and time-saving	they are at once restful and timesaving	they are at once restful and <mark><s>time-saving</s> timesaving</mark>	Though the original is clear, the closed form is the common one and was approved in Webster’s 1934.
161:2.9 (1786.4)	He says that any one who has seen him	He says that anyone who has seen him	He says that <mark><s>any one</s> anyone</mark> who has seen him	The closed form is correct.
162:2.4 (1791.2)	than this Jesus of Nazareth has already done?	than this Jesus of Nazareth has already done.	than this Jesus of Nazareth has already done<mark><s>?</s>.</mark>	This is an indirect question contained within a declarative sentence, so the period is correct.
162:4.3 (1794.2)	toward the beautiful gate	toward the Beautiful Gate	toward the <mark><s>beautiful gate</s> Beautiful Gate</mark>	Beautiful Gate is clearly one name for this gate; therefore capitalization is appropriate.
