Index of Urantia Foundation's News Online articles	https://www.urantia.org/urantia-foundation/newsletter-pdf-archives	is-title	Urantia Foundation News Online
A Vision of the Future	/en/article/Marta_Elders/A_Vision_of_the_Future	Marta Elders	Urantia Foundation
The History of the Polish Translation	/en/article/Paul_and_Gosia_Jaworski/The_History_of_the_Polish_Translation	Paul and Gosia Jaworski	The Urantia Book—Polish, Urantia Foundation
Standard Reference Text Commiffee Report	/en/article/Marilynn_Kulieke/Standard_Reference_Text_Commiffee_Report	Marilynn Kulieke	The Urantia Book, Urantia Foundation
Millennial Reflections	/en/article/Olga_Lopez/Millennial_Reflections	Olga Lopez	Urantia Movement Event, Urantia Foundation
The Urantia Book Index Project	/en/article/Jay_Peregrine/The_Urantia_Book_Index_Project	Jay Peregrine	The Urantia Book, Urantia Foundation
UBIS is Hot!	/en/article/Tom_Brachna/UBIS_is_Hot	Tom Brachna	UBIS, Urantia Foundation
Holiday Party At 533 Diversersey	/en/article/Cece_Forrester/Holiday_Party_At_533_Diversersey	Cece Forrester	Urantia Foundation
Volume 3, Issue 2, June 2009	/image/article/UF_News_Online/covers/2009_06.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2009_06	---	Urantia Foundation
Gratitude To Those Who Serve The Revelation	/en/article/Mo_Siegel/Gratitude_To_Those_Who_Serve_The_Revelation	Mo Siegel	Urantia Foundation
Pre-Conference Leadership Roundtable	/en/article/Samantha_Nior/Pre_Conference_Leadership_Roundtable	Samantha Nior	Urantia Foundation
Noteworthy Decisions From The April 2009 Board Meeting	/en/article/Mo_Siegel/Noteworthy_Decisions_From_The_April_2009_Board_Meeting	Mo Siegel	Urantia Foundation
God Consciousness — A Living University	/en/article/Paula_Thompson/God_Consciousness_A_Living_University	Paula Thompson	Urantia Foundation
Update From The Urantia Book Internet School (UBIS)	/en/article/Dorothy_Elder/Update_From_The_Urantia_Book_Internet_School_UBIS	Dorothy Elder	UBIS, Urantia Foundation
Looking For A French Distributor	/en/article/Claire_Mylanus/Looking_For_A_French_Distributor	Claire Mylanus	Dissemination, The Urantia Book—French, Urantia Foundation
The Urantia Book And Christianity	/en/article/Richard_Keeler/The_Urantia_Book_And_Christianity	Richard Keeler	The Urantia Book, Christianity, Urantia Foundation
Printing of El Libro De Urantia European Edition	/en/article/Georges_Michelson_Dupont/Printing_Of_El_Libro_De_Urantia_European_Edition	Georges Michelson-Dupont	The Urantia Book—Spanish, Urantia Foundation
The Second Mile As A Community Experience	/en/article/Chris_Wood/The_Second_Mile_As_A_Community_Experience	Chris Wood	Urantia Foundation
Reflections — Where Gaps Were Bridged	/en/article/Olga_Lopez/Reflections_Where_Gaps_Were_Bridged	Olga Lopez	Urantia Movement Event, Urantia Foundation
Volume 3, Issue 3, Sept. 2009	/image/article/UF_News_Online/covers/2009_09.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2009_09	---	Urantia Foundation
The Road Ahead	/en/article/Mo_Siegel/The_Road_Ahead	Mo Siegel	Urantia Foundation
Parliament of the World's Religions 2009	/en/article/Gard_Jameson/Parliament_of_the_Worlds_Religions_2009	Gard Jameson	Urantia Movement Event, Urantia Foundation
Noteworthy Decisions from the July 2009 Board Meeting	/en/article/Marilynn_Kulieke/Noteworthy_Decisions_from_the_July_2009_Board_Meeting	Marilynn Kulieke	Urantia Foundation
The History of the Hungarian (Magyar) Translation	/en/article/Georges_Michelson_Dupont/The_History_of_the_Hungarian_Magyar_Translation	Georges Michelson-Dupont	The Urantia Book—Hungarian, Urantia Foundation
Interest in the Chinese Translation	/en/article/Paul_and_Gosia_Jaworski/Interest_in_the_Chinese_Translation	Paul and Gosia Jaworski	The Urantia Book—Chinese, Urantia Foundation
The Second Mile In Retrospect: Thoughts On The Boulder Experiment	/en/article/Chris_Wood/The_Second_Mile_in_Retrospect	Chris Wood	Urantia Foundation
Reflections on 533 Diversey	/en/article/Bert_Cobb/Reflections_on_533_Diversey	Bert Cobb	Urantia Foundation
El Libro De Urantia — European Edition	/en/article/Xavier_Francisco/El_Libro_de_Urantia_European_Edition	Xavier Francisco	The Urantia Book—Spanish, Urantia Foundation
Quebec Office Closed	/en/article/Jay_Peregrine/Quebec_Office_Closed	Jay Peregrine	Urantia Foundation
God Consciousness: A Living University Inspires In-Depth Study	/en/article/Barbara_Newsom/God_Consciousness	Barbara Newsom	Urantia Movement Event, Urantia Foundation
A Poem for Bert Cobb	/en/article/Tamara_Strumfeld/A_Poem_for_Bert_Cobb	Tamara Strumfeld	Urantia Foundation
Volume 3, Issue 4, Dec. 2009	/image/article/UF_News_Online/covers/2009_12.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2009_12	---	Urantia Foundation
Urantia Foundation Launches Matching Fund-Raising Campaign 2009	/en/article/Jay_Peregrine/Urantia_Foundation_Launches_Matching_Fund_Raising_Campaign_2009	Jay Peregrine	Urantia Foundation
Jesus and Ganid	/en/article/Mo_Siegel/Jesus_and_Ganid	Mo Siegel	Jesus, Jesus life, Urantia Foundation
Noteworthy Decisions From The October 2009 Board Meeting	/en/article/Marilynn_Kulieke/Noteworthy_Decisions_From_The_October_2009_Board_Meeting	Marilynn Kulieke	Urantia Foundation
Library Placement	/en/article/Deborah_Bowser/Library_Placement	Deborah Bowser	Dissemination, Urantia Foundation
When Great Britain Meets Little Brittany	/en/article/Claire_Mylanus/When_Great_Britain_Meets_Little_Brittany	Claire Mylanus	Urantia Foundation
The Pipeline of Light	/en/article/Michelle_Klimesh/The_Pipeline_of_Light	Michelle Klimesh	Urantia Foundation
The French Audio Version of Le Livre d'Urantia	/en/article/Richard_Dore_and_Colette_Pelletier/The_French_Audio_Version_of_Le_Livre_dUrantia	Richard Doré and Colette Pelletier	The Urantia Book—French, Urantia Foundation
Das Urantia Buch in Munich	/en/article/Irmeli_Ivalo_Sjolie_and_Werner_Sutter/Das_Urantia_Buch_in_Munich	Irmeli Ivalo-Sjölie and Werner Sutter	The Urantia Book—German, Urantia Foundation
Meeting of the IT Minds	/en/article/Mo_Siegel/Meeting_of_the_IT_Minds	Mo Siegel	Urantia Foundation
Volume 4, 2010	---	is-volume	---
Volume 4, Issue 1, March 2010	/image/article/UF_News_Online/covers/2010_03.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2010_03	---	Urantia Foundation
Reflections on 2009 and a Look into the Future	/en/article/Mo_Siegel/Reflections_on_2009_and_a_Look_into_the_Future	Mo Siegel	Urantia Foundation
Sweden and The Urantia Book	/en/article/Jacob_Dix/Sweden_and_The_Urantia_Book	Jacob Dix	Urantia Foundation
Parliament of The World's Religions	/en/article/Irmeli_Sjolie/Parliament_Of_The_Worlds_Religions	Irmeli Sjölie	Urantia Movement Event, Urantia Foundation
Unexpected Joy	/en/article/James_Woodward/Unexpected_Joy	James Woodward	Interfaith, Urantia Movement Event, Urantia Foundation
A Gathering In Mexico City	/en/article/UF_News_Online/A_Gathering_In_Mexico_City	---	Latin America, Urantia Foundation
Our Trip To Mexico City	/en/article/Jay_Peregrine/Our_Trip_To_Mexico_City	Jay Peregrine	Dissemination, Latin America, Urantia Foundation
Orlando Florida: Another Chapter Unfolds	/en/article/Bill_and_Share_Beasley/Orlando_Florida_Another	Bill and Share Beasley	Urantia Foundation
Volume 4, Issue 2, June 2010	/image/article/UF_News_Online/covers/2010_06.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2010_06	---	Urantia Foundation
1,000 Libraries, 1,000 Book Reviews, and 1,000 Study Groups	/en/article/Mo_Siegel/1000_Libraries_1000_Book_Reviews_and_1000_Study_Groups	Mo Siegel	Dissemination, Urantia Foundation
Noteworthy Decisions from the April 2010 Board Meeting	/en/article/Marilynn_Kulieke/Noteworthy_Decisions_from_the_April_2010_Board_Meeting	Marilynn Kulieke	Urantia Foundation
UBIS News: A New Website, an Expanded Curriculum, and the Challenge Ahead	/en/article/Dorothy_Elder/UBIS_News_A_New_Website_an_Expanded_Curriculum_and_the_Challenge_Ahead	Dorothy Elder	UBIS, Urantia Foundation
Introducing the Urantia Book Historical Society	/en/article/Jacob_Dix/Introducing_the_Urantia_Book_Historical_Society	Jacob Dix	Urantia Foundation
Attending the Book Fair in Budapest, Hungary	/en/article/Irmeli_Sjolie/Attending_the_Book_Fair_in_Budapest_Hungary	Irmeli Sjölie	Dissemination, Urantia Foundation
9th National Meeting Of Readers In Spain — Cultivating Universal Intelligence	/en/article/Olga_Lopez/9th_National_Meeting_Of_Readers_In_Spain_Cultivating_Universal_Intelligence	Olga López	Urantia Movement Event, Urantia Foundation
Nola Smith: A Pioneer in Launching the Urantia Revelation	/en/article/Larry_Bowman/Nola_Smith_A_Pioneer_in_Launching_the_Urantia_Revelation	Larry Bowman	Urantia Foundation
Volume 4, Issue 3, Sept. 2010	/image/article/UF_News_Online/covers/2010_09.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2010_09	---	Urantia Foundation
President's Report	/en/article/Mo_Siegel/Presidents_Report	Mo Siegel	Urantia Foundation
Noteworthy Decisions from the July 2010 Board Meeting	/en/article/Marilynn_Kulieke/Noteworthy_Decisions_from_the_July_2010_Board_Meeting	Marilynn Kulieke	Urantia Foundation
Dorothy Elder Passes the UBIS Leadership Torch	/en/article/Georges_Michelson_Dupont/Dorothy_Elder_Passes_the_UBIS_Leadership_Torch	Georges Michelson-Dupont	UBIS, Urantia Foundation
Appreciative Inquiry for Study Groups	/en/article/Jeff_Wattles/Appreciative_Inquiry_for_Study_Groups	Jeff Wattles	Study Groups, Urantia Foundation
Study Groups: New Thoughts from an Old Reader	/en/article/Mike_Wood/Study_Groups_New_Thoughts_from_an_Old_Reader	Mike Wood	Study Groups, Urantia Foundation
A Follow Up to Placing Urantia Books in Alternative Libraries	/en/article/Aaron_Rutan/A_Follow_Up_to_Placing_Urantia_Books_in_Alternative_Libraries	Aaron Rutan	Dissemination, Urantia Foundation
Comments from Readers of The Urantia Book	/en/article/UF_News_Online/Comments_from_Readers_of_The_Urantia_Book	---	Urantia Foundation
Volume 4, Issue 4, Dec. 2010	/image/article/UF_News_Online/covers/2010_12.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2010_12	---	Urantia Foundation
The Art of Translations	/en/article/Seppo_Kanerva/The_Art_of_Translations	Seppo Kanerva	Urantia Foundation
Receiving Az Urantia könyv, the Magyar (Hungarian) Translation of The Urantia Book	/en/article/Istvan_Hargitai/Receiving_Az_Urantia_konyv_the_Magyar_Hungarian_Translation_of_The_Urantia_Book	István Hargitai	The Urantia Book—Hungarian, Urantia Foundation
El Libro De Urantia Edición Europea — The Spanish European Edition	/en/article/Antonio_Moya/El_Libro_de_Urantia_Edicion_europea_the_Spanish_European_Edition	Antonio Moya	The Urantia Book—Spanish, Urantia Foundation
Urantiaboken — the Swedish Translation	/en/article/Joel_Rehnstrom/Urantiaboken_the_Swedish_Translation	Joel Rehnström	The Urantia Book—Swedish, Urantia Foundation
O Livro de Urântia — the Portuguese Translation	/en/article/Luiz_Carlos_Dolabella_Chagas/O_Livro_de_Urantia_the_Portuguese_Translation	Luiz Carlos Dolabella Chagas	The Urantia Book—Portuguese, Urantia Foundation
Księga Urantii: The Polish Translation Has Reached the Readers	/en/article/Paul_and_Gosia_Jaworski/Ksiega_Urantii_The_Polish_Translation_Has_Reached_the_Readers	Paul and Gosia Jaworski	The Urantia Book—Polish, Urantia Foundation
Das Urantia Buch — the German Translation	/en/article/Urs_Ruchti/Das_Urantia_Buch_the_German_Translation	Urs Ruchti	The Urantia Book—German, Urantia Foundation
The Story Of Urantia Raamat — The Estonian Translation	/en/article/Peep_Sober/The_Story_of_Urantia_raamat	Peep Sõber	Urantia Foundation
Книга Урантии — the Russian Translation	/en/article/Michael_Hanian/The_Russian_Translation	Michael Hanian	Urantia Foundation
“Go Into All the World” — Jesus	/en/article/Mo_Siegel/Go_Into_All_the_World_Jesus	Mo Siegel	Jesus teachings, Urantia Foundation
Volume 5, 2011	---	is-volume	---
Volume 5, Issue 1, March 2011	/image/article/UF_News_Online/covers/2011_03.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2011_03	---	Urantia Foundation
The Age of Wonder	/en/article/Mo_Siegel/The_Age_of_Wonder	Mo Siegel	Urantia Foundation
Noteworthy Decisions from the January 2011 Board of Trustees Meeting	/en/article/Marilynn_Kulieke/Noteworthy_Decisions_from_the_January_2011_Board_of_Trustees_Meeting	Marilynn Kulieke	Urantia Foundation
The Education Initiative	/en/article/Gard_Jameson/The_Education_Initiative	Gard Jameson	Urantia Foundation
A Short History of the French Translation	/en/article/Georges_Michelson_Dupont/A_Short_History_of_the_French_Translation	Georges Michelson-Dupont	The Urantia Book—French, Urantia Foundation
Second Society Foundation and A Study of the Master Universe	/en/article/Jay_Peregrine/Second_Society_Foundation_and_A_Study_of_the_Master_Universe	Jay Peregrine	Study Aid, Urantia Foundation
The Trustees Meet in the Lone Star State	/en/article/Suzanne_Kelly/The_Trustees_Meet_in_the_Lone_Star_State	Suzanne Kelly	Urantia Foundation
Comments from Readers of The Urantia Book	/en/article/UF_News_Online/Comments_from_Readers_of_The_Urantia_Book_2011_03	---	Urantia Foundation
Volume 5, Issue 2, June 2011	/image/article/UF_News_Online/covers/2011_06.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2011_06	---	Urantia Foundation
Why Study Groups Matter to the Future of the World	/en/article/Mo_Siegel/Why_Study_Groups_Matter_to_the_Future_of_the_World	Mo Siegel	Study Groups, Urantia Foundation
Noteworthy Goals from the April 2011 Board of Trustees Meeting	/en/article/Marilynn_Kulieke/Noteworthy_Goals_from_the_April_2011_Board_of_Trustees_Meeting	Marilynn Kulieke	Urantia Foundation
Jay Peregrine visits Finland	/en/article/Jay_Peregrine/Jay_Peregrine_visits_Finland	Jay Peregrine	Dissemination, Urantia Foundation
The Spanish Revision Project	/en/article/Marilynn_Kulieke/The_Spanish_Revision_Project	Marilynn Kulieke	The Urantia Book—Spanish, Urantia Foundation
The Urantia Book Internet School — My Lifeline to the Urantia Book Community	/en/article/Pam_Maunakea/The_Urantia_Book_Internet_School_My_Lifeline_to_the_Urantia_Book_Community	Pam Maunakea	UBIS, Urantia Foundation
The Debut of The Urantia Book at the 2011 Budapest Book Fair	/en/article/Gabor_Cseh/The_Debut_of_The_Urantia_Book_at_the_2011_Budapest_Book_Fair	Gábor Cseh	Urantia Foundation
Comments from Readers of The Urantia Book	/en/article/UF_News_Online/Comments_from_Readers_of_The_Urantia_Book_2011_06	---	Urantia Foundation
Volume 5, Issue 3, Sept. 2011	/image/article/UF_News_Online/covers/2011_09.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2011_09	---	Urantia Foundation
Report on the Kickoff Meeting for the Revision of the Spanish Translation	/en/article/Georges_Michelson_Dupont/Report_on_the_Kickoff_Meeting_for_the_Revision_of_the_Spanish_Translation	Georges Michelson-Dupont	The Urantia Book—Spanish, Urantia Foundation
Noteworthy Goals and Decisions from the July 2011 Board of Trustees Meeting	/en/article/Mo_Siegel/Noteworthy_Goals_and_Decisions_from_the_July_2011_Board_of_Trustees_Meeting	Mo Siegel	Urantia Foundation
Urantia Book Readers Study Together this Summer	/en/article/Marilynn_Kulieke/Urantia_Book_Readers_Study_Together_this_Summer	Marilynn Kulieke	Urantia Foundation
Training Teachers/Facilitators for the Urantia Book Internet School	/en/article/Marta_Elders/Training_Teachers_Facilitators_for_the_Urantia_Book_Internet_School	Marta Elders	UBIS, Urantia Foundation
Planned Giving to Urantia Foundation	/en/article/Gard_Jameson/Planned_Giving_to_Urantia_Foundation	Gard Jameson	Urantia Foundation
Report from the Pipeline of Light 2003-2011	/en/article/Michelle_Klimesh/Report_from_the_Pipeline_of_Light_2003_2011	Michelle Klimesh	Urantia Foundation
A Reader's Experience Staying at 533 W Diversey Parkway	/en/article/CT/A_Readers_Experience_Staying_at_533_W_Diversey_Parkway	CT	Urantia Foundation
Comments from Readers	/en/article/UF_News_Online/Comments_from_Readers_2011_09	---	Urantia Foundation
Volume 5, Issue 4, Dec. 2011	/image/article/UF_News_Online/covers/2011_12.jpg	is-issue	--------------------------------------------------------
Welcome & Contact Details	/en/article/UF_News_Online/Welcome_Contact_Details_2011_12	---	Urantia Foundation
A Season of Gratitude and a Time for Generosity	/en/article/Mo_Siegel/A_Season_of_Gratitude_and_a_Time_for_Generosity	Mo Siegel	Urantia Foundation
Noteworthy Decisions from the October 2011 Board of Trustees Meeting	/en/article/Marilynn_Kulieke/Noteworthy_Decisions_from_the_October_2011_Board_of_Trustees_Meeting	Marilynn Kulieke	Urantia Foundation
Fast Start for Urantia Book Study Group Portal — Tri-Partisan Support Team Formed	/en/article/James_Woodward/Fast_Start_for_Urantia_Book_Study_Group_Portal	James Woodward	Study Groups, Urantia Foundation
The Rewards of Being a Teacher/Facilitator for UBIS	/en/article/David_Elders/The_Rewards_of_Being_a_Teacher_Facilitator_for_UBIS	David Elders	UBIS, Urantia Foundation
Report on the Kickooff Meeting for the Revision of the Portuguese Translation	/en/article/Georges_Michelson_Dupont/Meeting_for_the_Revision_of_the_Portuguese_Translation	Georges Michelson-Dupont	The Urantia Book—Portuguese, Urantia Foundation
Das Urantia Buch Presented at the Book Fair in Rasatt, Germany	/en/article/Irmeli_Ivalo_Sjolie_and_Werner_Sutter/Das_Urantia_Buch_Presented_at_the_Book_Fair_in_Rasatt_Germany	Iremli Ivalo-Sjölie and Werner Sutter	The Urantia Book—German, Urantia Foundation
