Index of “Réflectivité”, Quebec Urantia Association Journal	https://www.urantia-quebec.ca/publications/reflectivite	is-title	Reflectivite
Réflectivité — Issue 342 — March 2021	/image/article/Reflectivite/covers/2021_03.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 342 — March 2021 — Content	/en/article/Reflectivite/2021_03	---	
Réflectivité — Issue 343 — April 2021	/image/article/Reflectivite/covers/2021_04.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 343 — April 2021 — Content	/en/article/Reflectivite/2021_04	---	
Réflectivité — Issue 344 — May 2021	/image/article/Reflectivite/covers/2021_05.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 344 — May 2021 — Content	/en/article/Reflectivite/2021_05	---	
Réflectivité — Issue 345 — June 2021	/image/article/Reflectivite/covers/2021_06.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 345 — June 2021 — Content	/en/article/Reflectivite/2021_06	---	
Réflectivité — Issue 346 — July 2021	/image/article/Reflectivite/covers/2021_07.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 346 — July 2021 — Content	/en/article/Reflectivite/2021_07	---	
Justice and Mercy	/en/article/Marc_Belleau/Justice_et_misericorde	Marc Belleau	
A Little Exercise in the “I”	/en/article/Jean_Sauve/Un_petit_exercice_au_Je	Jean Sauvé	
Why Study The Urantia Book?	/en/article/Jean_Lapierre/Pourquoie_etudier_LU	Jean Lapierre	The Urantia Book
Implantation of Life on a Planet	/en/article/Claude_Flibotte/Implantation_de_la_vie_sur_une_planete	Claude Flibotte	Biology
God is in Me	/en/article/Samuel_Heine/Dieu_est_en_moi	Samuel Heïne	God
Study on Guardian Angels	/en/article/Andre_Desjardins/Etude_sur_les_anges_gardiens	André Desjardins	Celestial beings, Angels and midwayers
Clarifications on Words and Their Definitions	/en/article/Claude_Flibotte/Precisions_sur_les_mots	Claude Flibotte	Linguistics
The Faculty of Imagination and Visualization of Our Consciousness	/en/article/Samuel_Heine/La_faculte_dimagination	Samuel Heine	
The Human Personality	/en/article/Claude_Flibotte/La_personnalite_humaine	Claude Flibotte	Personality
The Phenomenon of Relationship	/en/article/Claude_Flibotte/Le_phenomene_de_la_relation	Claude Flibotte	
Réflectivité — Issue 347 — August 2021	/image/article/Reflectivite/covers/2021_08.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 347 — August 2021 — Content	/en/article/Reflectivite/2021_08	---	
Réflectivité — Issue 348 — September 2021	/image/article/Reflectivite/covers/2021_09.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 348 — September 2021 — Content	/en/article/Reflectivite/2021_09	---	
Réflectivité — Issue 349 — October 2021	/image/article/Reflectivite/covers/2021_10.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 349 — October 2021 — Content	/en/article/Reflectivite/2021_10	---	
Réflectivité — Issue 350 — November 2021	/image/article/Reflectivite/covers/2021_11.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 350 — November 2021 — Content	/en/article/Reflectivite/2021_11	---	
Réflectivité — Issue 351 — December 2021	/image/article/Reflectivite/covers/2021_12.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 351 — December 2021 — Content	/en/article/Reflectivite/2021_12	---	
2022	---	is-volume	---
Réflectivité — Issue 352 — February 2022	/image/article/Reflectivite/covers/2022_02.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 352 — February 2022 — Content	/en/article/Reflectivite/2022_02	---	
Réflectivité — Issue 353 — March 2022	/image/article/Reflectivite/covers/2022_03.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 353 — March 2022 — Content	/en/article/Reflectivite/2022_03	---	
Réflectivité — Issue 354 — April 2022	/image/article/Reflectivite/covers/2022_04.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 354 — April 2022 — Content	/en/article/Reflectivite/2022_04	---	
Réflectivité — Issue 355 — May 2022	/image/article/Reflectivite/covers/2022_05.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 355 — May 2022 — Content	/en/article/Reflectivite/2022_05	---	
Réflectivité — Issue 356 — June 2022	/image/article/Reflectivite/covers/2022_06.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 356 — June 2022 — Content	/en/article/Reflectivite/2022_06	---	
Réflectivité — Issue 357 — July 2022	/image/article/Reflectivite/covers/2022_07.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 357 — July 2022 — Content	/en/article/Reflectivite/2022_07	---	
Reflections on the Great Existential Questions	/en/article/Claude_Flibotte/Reflexions_sur_les_grandes_questions_existentielles	Claude Flibotte	
Science or Revelation?	/en/article/Claude_Flibotte/Science_ou_revelation	Claude Flibotte	Anthropology
Time and Levels of Consciousness	/en/article/Claude_Flibotte/Temps_et_niveaux_de_conscience	Claude Flibotte	
Ode to Zero	/en/article/Eric_Tarissan/Ode_a_zero	Éric Tarissan	
The Experience of Perfection	/en/article/Andre_Desjardins/Lexperience_de_la_perfection	André Desjardins	
The Democratic Ideal	/en/article/Claude_Flibotte/Lideal_democratique	Claude Flibotte	
Réflectivité — Issue 358 — August 2022	/image/article/Reflectivite/covers/2022_08.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 358 — August 2022 — Content	/en/article/Reflectivite/2022_08	---	
Réflectivité — Issue 359 — September 2022	/image/article/Reflectivite/covers/2022_09.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 359 — September 2022 — Content	/en/article/Reflectivite/2022_09	---	
Réflectivité — Issue 360 — October 2022	/image/article/Reflectivite/covers/2022_10.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 360 — October 2022 — Content	/en/article/Reflectivite/2022_10	---	
Réflectivité — Issue 361 — November 2022	/image/article/Reflectivite/covers/2022_11.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 361 — November 2022 — Content	/en/article/Reflectivite/2022_11	---	
Réflectivité — Issue 362 — December 2022	/image/article/Reflectivite/covers/2022_12.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 362 — December 2022 — Content	/en/article/Reflectivite/2022_12	---	
2023	---	is-volume	---
Réflectivité — Issue 363 — January 2023	/image/article/Reflectivite/covers/2023_01.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 363 — January 2023 — Content	/en/article/Reflectivite/2023_01	---	
A Word from the President January 2023	/en/article/Gaetan_Charland/Reflectivite_2023_01_mot_du_president	Gaétan Charland	
Equity and Eco-Responsibility	/en/article/Marc_Belleau/Equite_et_ecoresponsabilite	Marc Belleau	
In Tune with Revelation	/en/article/Gilles_Bertrand/Au_diapason_de_la_revelation	Gilles Bertrand	
The Jewish Mentality, Jesus and Us in the 21st Century	/en/article/Claude_Flibotte/La_mentalite_juive_Jesus_et_nous_au_21e_siecle	Claude Flibotte	Jesus, Jesus teachings
The Le Pont Study Group	/en/article/Claude_Flibotte/Le_groupe_detude_Le_Pont	Claude Flibotte	Study Groups
Psychic Circles	/en/article/Andre_Desjardins/Les_cercles_psychiques_et_la_vie_morontielle_1	André Desjardins	Spiritual Growth
Réflectivité — Issue 364 — February 2023	/image/article/Reflectivite/covers/2023_02.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 364 — February 2023 — Content	/en/article/Reflectivite/2023_02	---	
A Word from the President February 2023	/en/article/Gaetan_Charland/Reflectivite_2023_02_mot_du_president	Gaétan Charland	
Psychic Circles	/en/article/Andre_Desjardins/Les_cercles_psychiques_et_la_vie_morontielle_2	André Desjardins	Spiritual Growth
The Mind, That Great Misunderstood!	/en/article/Claude_Flibotte/Le_mental_ce_grand_meconnu	Claude Flibotte	Mind
Sincerity, Jesus Metaverse	/en/article/Rick_Lyon/Sincerite_Jesus_Metaverse	Rick Lyon	Jesus
ChatGPT and The Urantia Book	/en/article/Gaetan_Charland/ChatGPT_et_LU	Gaétan Charland	
Attention! The Infamous Caligastia is Everywhere!	/en/article/Claude_Flibotte/Attention_Linfame_Caligastia_est_partout	Claude Flibotte	Devil
Time Passes	/en/article/Margarita_Nino/Le_temps_passe	Margarita Niño	
Differences between Urantia Foundation and Urantia Association	/en/article/Gaetan_Charland/Differences_entre_UF_et_IUA	Gaétan Charlan	Urantia Foundation, IUA
Cooperation with the Adjuster	/en/article/Jean_Lapierre/Cooperation_avec_notre_divin_Ajusteur	Jean Lapierre	Thought Adjusters
Réflectivité — Issue 365 — March 2023	/image/article/Reflectivite/covers/2023_03.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 365 — March 2023 — Content	/en/article/Reflectivite/2023_03	---	
A Word from the President March 2023	/en/article/Gaetan_Charland/Reflectivite_2023_03_mot_du_president	Gaétan Charland	
Preliminary Instruction and Recommendations	/en/article/Jean_Lapierre/Instruction_preliminaire_et_recommandations	Jean Lapierre	Jesus teachings
How I Understand This Process of Being Like God!	/en/article/Gilles_Bertrand/Comment_je_comprends_ce_processus_pour_ressembler_a_Dieu	Gilles Bertrand	God
Adjutant Mind-Spirits in Animals	/en/article/Claude_Flibotte/Les_esprits_mentaux_adjuvats_chez_les_animaux	Claude Flibotte	Adjutant mind spirits, Biology
The Adventure of the Discovery Study Group	/en/article/Line_St_Pierre/Laventure_du_groupe_detude_Decouverte	Line St-Pierre	Study Groups
The Ideological Struggle	/en/article/Zshonette_Reed/La_lutte_ideologique_1	Zshonette Reed	
Moving on to the Next...	/en/article/Gaetan_Charland/Passer_au_suivant	Gaétan Charland	
Is Proxima Centauri B a Planet of Nonbreathers?	/en/article/Claude_Flibotte/Proxima_Centauri_B_serait_non_respirateurs	Claude Flibotte	Philosophy
A Bahá'í Celebration	/en/article/Samuel_Heine/Une_fete_Bahaie	Samuel Heine	Bahai, Religion
Réflectivité — Issue 366 — April 2023	/image/article/Reflectivite/covers/2023_04.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 366 — April 2023 — Content	/en/article/Reflectivite/2023_04	---	
A Word from the President April 2023	/en/article/Gaetan_Charland/Reflectivite_2023_04_mot_du_president	Gaétan Charland	
The Ideological Struggle (Part 2)	/en/article/Zshonette_Reed/La_lutte_ideologique_2	Zshonette Reed	Devil
The Long Timeline of the Second Age	/en/article/Jean_Des_Lierres/Ligne_du_temps_long_du_deuxieme_age	Jean Des Lierres	History
True and False Freedom	/en/article/Gaetan_Charland/La_vraie_et_la_fausse_liberte	Gaétan Charland	Free Will
Psychic Circles	/en/article/Jean_Lapierre/Les_cercles_psychiques	Jean Lapierre	Spiritual Growth
Matter Aggregates on the Levels of Outer Space	/en/article/Claude_Flibotte/Les_agregats_de_matiere_sur_les_niveaux_despace	Claude Flibotte	Astronomy
Advice given to Michael of Nebadon	/en/article/Jean_Lapierre/Conseils_donnes_a_Micael_de_Nebadon	Jean Lapierre	Jesus
Canadian Charter of Rights and Freedoms	/en/article/Eric_Tarissan/Charte_canadienne_des_droits_et_libertes	Éric Tarissan	
My thoughts on true and false freedom in the world	/en/article/Claude_Flibotte/Mes_reflexions_sur_vraie_et_fausse_liberte	Claude Flibotte	Government and law
Réflectivité — Issue 367 — May 2023	/image/article/Reflectivite/covers/2023_05.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 367 — May 2023 — Content	/en/article/Reflectivite/2023_05	---	
A Word from the President May 2023	/en/article/Gaetan_Charland/Reflectivite_2023_05_mot_du_president	Gaétan Charland	
My Thoughts on Outer Space Levels	/en/article/Jean_Lapierre/Mes_reflexions_des_niveaux_despace_exterieur	Jean Lapierre	Cosmology
Outer Space Level Beings	/en/article/Claude_Flibotte/Les_etres_des_niveaux_despace_exterieur	Claude Flibotte	Cosmology
The Ideological Struggle—Freedom vs. License (3)	/en/article/Zshonette_Reed/La_lutte_ideologique_3	Zshonette Reed	
Call to Alumni	/en/article/Gaetan_Charland/Appel_aux_anciens_etudiants	Gaétan Charland	
Remembrance Dinner 2023	/en/article/Alain_Tremblay/Souper_de_la_Souvenance_2023	Alain Tremblay	Urantia Movement Event
Adjuster, Absoluteness, and Fusion	/en/article/Claude_Flibotte/Ajusteur_absoluite_et_fusion	Claude Flibotte	Thought Adjusters
Urantia and the Rebellion	/en/article/Jean_Lapierre/Urantia_et_la_rebellion	Jean Lapierre	Urantia, Rebellion
Réflectivité — Issue 368 — June 2023	/image/article/Reflectivite/covers/2023_06.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 368 — June 2023 — Content	/en/article/Reflectivite/2023_06	---	
A Word from the President June 2023	/en/article/Gaetan_Charland/Reflectivite_2023_06_mot_du_president	Gaétan Charland	
The Power of the Mind	/en/article/Claude_Flibotte/La_puissance_du_mental	Claude Flibotte	Mind
My Thoughts on the Ordination of the Apostles	/en/article/Jean_Lapierre/Mes_reflexions_au_lordination_des_apotres	Jean Lapierre	Jesus, Jesus followers
On Being Able to Cast Out Demons	/en/article/Claude_Flibotte/Au_sujet_du_pouvoir_de_chasser_les_demons	Claude Flibotte	Devil
Muriel Has Left Us!	/en/article/Eric_Tarissan/Muriel_nous_a_quittes	Éric Tarissan	
Personality, Origin, Function, and Destiny	/en/article/Claude_Flibotte/La_personnalite_origine_fonction_et_destinee	Claude Flibotte	Personality
Poetic and Spiritual Reflections	/en/article/Pascal_Coulombe/Reflexions_poetiques_et_spirituelles	Pascal Coulombe	Poetry
Email Exchanges on the Theme of Control and Supercontrol	/en/article/Jean_Lapierre/Sur_le_theme_de_controle_et_supercontrole	Jean Lapierre	
Réflectivité — Issue 369 — July 2023	/image/article/Reflectivite/covers/2023_07.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 369 — July 2023 — Content	/en/article/Reflectivite/2023_07	---	
A Word from the President July 2023	/en/article/Claude_Flibotte/Reflectivite_2023_07_mot_du_president	Claude Flibotte	
Evolution of the human being	/en/article/Jean_Lapierre/Evolution_de_letre_humain	Jean Lapierre	
Hypothesis on the constitution of our soul	/en/article/Claude_Flibotte/Hypothese_sur_la_constitution_de_notre_ame	Claude Flibotte	Soul
Divine “Download”	/en/article/France_Tremblay/Download_divin	France Tremblay	
Explanation of the speech of Jesus in the synagogue of Capernaum	/en/article/Jean_Lapierre/Discours_a_la_synagogue_de_Capharnaum	Jean Lapierre	Jesus, Jesus teachings, Jesus places
Material inertia and growth in wisdom	/en/article/France_Tremblay/Inertie_materielle_et_croissance_en_sagesse	France Tremblay	
Our future in relation with the Supreme	/en/article/Claude_Flibotte/Notre_futur_en_relation_avec_le_Supreme	Claude Flibotte	The Supreme
Réflectivité — Issue 370 — August 2023	/image/article/Reflectivite/covers/2023_08.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 370 — August 2023 — Content	/en/article/Reflectivite/2023_08	---	
A Word from the President August 2023	/en/article/Gaetan_Charland/Reflectivite_2023_08_mot_du_president	Gaétan Charland	
The Historical Unfolding on Urantia	/en/article/Andre_Desjardins/Le_deroulement_historique_sur_Urantia	André Desjardins	History, Civilizations past, Epochal Revelations
The Infinite Father	/en/article/Eric_Tarissan/Linfini_Pere	Éric Tarissan	God
Réflectivité — Issue 371 — September 2023	/image/article/Reflectivite/covers/2023_09.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 371 — September 2023 — Content	/en/article/Reflectivite/2023_09	---	
A Word from the President September 2023	/en/article/Gaetan_Charland/Reflectivite_2023_09_mot_du_president	Gaétan Charland	
Jesus Was What He Said	/en/article/Samuel_Heine/Jesus_etait_ce_quil_disait	Samuel Heine	Jesus, Jesus life, Jesus teachings
Jesus Picnic 2023	/en/article/Robert_Cadieux/Pique_nique_de_Jesus_2023	Robert Cadieux	Urantia Movement Event
The Survival Plan	/en/article/Claude_Flibotte/Le_plan_de_survie_1	Claude Flibotte	
Projections Into the Future	/en/article/Claude_Flibotte/Projections_dans_le_futur	Claude Flibotte	Future
Réflectivité — Issue 372 — October 2023	/image/article/Reflectivite/covers/2023_10.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 372 — October 2023 — Content	/en/article/Reflectivite/2023_10	---	
A Word from the President October 2023	/en/article/Gaetan_Charland/Reflectivite_2023_10_mot_du_president	Gaétan Charland	
Divine Fatherhood/Mansion Worlds	/en/article/Gilles_Bertrand/Paternite_divine_Mondes_des_maisons	Gilles Bertrand	
Divine Fatherhood/Mansion Worlds (The Text)	/en/article/Conrad_Lavallee/Paternite_divine_Mondes_des_maisons	Conrad Lavallée	
The Survival Plan (Continued)	/en/article/Claude_Flibotte/Le_plan_de_survie_2	Claude Flibotte	
Three Important Topics for Me!	/en/article/France_Tremblay/Trois_sujets_importants_pour_moi	France Tremblay	
Réflectivité — Issue 373 — November 2023	/image/article/Reflectivite/covers/2023_11.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 373 — November 2023 — Content	/en/article/Reflectivite/2023_11	---	
A Word from the President November 2023	/en/article/Gaetan_Charland/Reflectivite_2023_11_mot_du_president	Gaétan Charland	
The Parliament of the World's Religions 2023	/en/article/Marc_Belleau/Le_parlement_des_religions_du_monde_2023	Marc Belleau	Urantia Movement Event
Things that need to be said!	/en/article/John_Pavlovitz/Stuff_that_need_to_be_said	John Pavlovitz	
Wars and Peace	/en/article/Eric_Tarissan/Guerres_et_paix	Éric Tarissan	Peace
The Survival Plan (continued and end)	/en/article/Claude_Flibotte/Le_plan_de_survie_3	Claude Flibotte	
Réflectivité — Issue 374 — December 2023	/image/article/Reflectivite/covers/2023_12.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 374 — December 2023 — Content	/en/article/Reflectivite/2023_12	---	
A Word from the President December 2023	/en/article/Gaetan_Charland/Reflectivite_2023_12_mot_du_president	Gaétan Charland	
Study Groups	/en/article/Gilles_Bertrand/Les_groupes_detude	Gilles Bertrand	Study Groups
Justice and Judgment	/en/article/Jean_Lapierre/La_justice_et_le_jugement	Jean Lapierre	
Guardian of Destiny in Relation to Our Mental Circuit	/en/article/Claude_Flibotte/Gardien_de_la_destinee	Claude Flibotte	Celestial beings, Angels and midwayers
Psychic Circles and the Supreme Being	/en/article/Jean_Lapierre/Cercles_psychiques_et_lEtre_Supreme	Jean Lapierre	The Supreme
Personality	/en/article/Claude_Flibotte/La_personnalite	Claude Flibotte	Personality
2024	---	is-volume	---
Réflectivité — Issue 375 — January 2024	/image/article/Reflectivite/covers/2024_01.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 375 — January 2024 — Content	/en/article/Reflectivite/2024_01	---	
A Word from the President January 2024	/en/article/Gaetan_Charland/Reflectivite_2024_01_mot_du_president	Gaétan Charland	
Departure of a Great Man	/en/article/Claude_Flibotte/Depart_dun_grand_homme	Claude Flibotte	
My Experience with Forgiveness	/en/article/Francine_Fortin/Mon_experience_du_pardon	Francine Fortin	
A Fraternal Gathering to Celebrate the Holidays	/en/article/Alain_Tremblay/Rencontre_fraternelle_pour_celebrer_les_fetes	Alain Tremblay	Urantia Movement Event
The Midwayer of the Apostle Andrew	/en/article/Francois_Audet/Le_median_de_lapotre_Andre	François Audet	Jesus followers
The Wisdom of Camille	/en/article/Line_St_Pierre/La_sagesse_de_Camille	Line St-Pierre	Urantia Movement Event
The Ideal State	/en/article/Claude_Flibotte/L_etat_ideal	Claude Flibotte	
Consciousness of the Supreme	/en/article/Jean_Lapierre/Conscience_du_Supreme	Jean Lapierre	The Supreme
Let Us Not Underestimate the Transformative Power of Prayer	/en/article/Samuel_Heine/Le_pouvoir_transformateur_de_la_priere	Samuel Heïne	Prayer
Reminder — Happy New Year!	/en/article/Marc_Belleau/Bonne_annee	Marc Belleau	
Réflectivité — Issue 376 — February 2024	/image/article/Reflectivite/covers/2024_02.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 376 — February 2024 — Content	/en/article/Reflectivite/2024_02	---	
A Word from the President February 2024	/en/article/Gaetan_Charland/Reflectivite_2024_02_mot_du_president	Gaétan Charland	
How Did The Urantia Book Come to Us?	/en/article/Jean_Lapierre/Comment_nous_est_parvenue_LU	Jean Lapierre	The Urantia Book, The Urantia Book—History
Correspondence from Jacques Weiss	/en/article/Gaetan_Charland/Correspondance_de_Jacques_Weiss	Gaétan Charland	Urantia Movement
Let's not forget our own value	/en/article/Maurice_Migneault/Noublions_pas_notre_propre_valeur	Maurice Migneault	
Clarifications on the study of Urantia texts	/en/article/Jean_Lapierre/Precisions_sur_letude_des_textes_dUrantia	Jean Lapierre	The Urantia Book
My experience with AI	/en/article/Claude_Flibotte/Mon_experience_avec_lIA	Claude Flibotte	
Statistics on LU study groups	/en/article/Gaetan_Charland/Statistiques_sur_les_groupes_detude	Gaétan Charland	Study Groups
Thoughts on our morontia future	/en/article/Francois_Audet/Reflexions_sur_notre_futur_morontiel	François Audet	Spiritual Growth
Abel and Cain	/en/article/Francine_Fortin/Abel_et_Cain	Francine Fortin	
Perfection of intention!	/en/article/Jean_Lapierre/La_perfection_dintention	Jean Lapierre	
Réflectivité — Issue 377 — March 2024	/image/article/Reflectivite/covers/2024_03.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 377 — March 2024 — Content	/en/article/Reflectivite/2024_03	---	
A Word from the President March 2024	/en/article/Gaetan_Charland/Reflectivite_2024_03_mot_du_president	Gaétan Charland	
Bill Sadler’s Address on The Urantia Book	/en/article/Gaetan_Charland/Discours_de_Bill_Sadler_au_sujet_du_LU	Gaétan Charland	Bill Sadler
On the Importance of Philosophy	/en/article/Francois_Audet/De_limportance_de_la_philosophie	François Audet	Philosophy
My Discovery of Worship	/en/article/Eric_Martel/Ma_decouverte_de_ladoration	Éric Martel	Worship
A Simplification of the Foreword to The Urantia Book (Part 1)	/en/article/Claude_Flibotte/Une_simplification_de_lavant_propos_du_LU	Claude Flibotte	The Urantia Book, Bill Sadler
Réflectivité — Issue 378 — April 2024	/image/article/Reflectivite/covers/2024_04.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 378 — April 2024 — Content	/en/article/Reflectivite/2024_04	---	
A Word from the President April 2024	/en/article/Gaetan_Charland/Reflectivite_2024_04_mot_du_president	Gaétan Charland	
A Simplification of the Foreword to The Urantia Book (Part 2)	/en/article/Claude_Flibotte/Une_simplification_de_lavant_propos_du_LU_2	Claude Flibotte	The Urantia Book, Bill Sadler
Comparison to AI!	/en/article/Gaetan_Charland/Comparaison_avec_lIA	Gaétan Charland	
The World is Vibration	/en/article/France_Tremblay/Le_monde_est_vibrations	France Tremblay	Poetry
Why Did Jesus Have to Die in Order to Send Us His Spirit of Truth?	/en/article/Claude_Flibotte/Pour_quelle_raison_Jesus_devait_il_mourir	Claude Flibotte	Jesus, Jesus life, Truth
Born Again	/en/article/Jean_Lapierre/Naitre_a_nouveau	Jean Lapierre	Jesus, Jesus teachings
Réflectivité — Issue 378 — May 2024	/image/article/Reflectivite/covers/2024_05.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 378 — May 2024 — Content	/en/article/Reflectivite/2024_05	---	
President’s Message May 2024	/en/article/Gaetan_Charland/Reflectivite_2024_05_mot_du_president	Gaétan Charland	
Correspondence from Jacques Weiss	/en/article/Gaetan_Charland/Correspondance_de_Jacques_Weiss_2	Gaétan Charland	Urantia Movement
Retrospective on the 2024 UAI International Conference	/en/article/Francine_Fortin/Retrospective_su_le_Congres_international_2024	Francine Fortin	Urantia Movement Event
Words and Feelings at the 2024 Urantia Association International Conference	/en/article/Robert_Cadieux/Propos_et_sentiments_lors_du_congres_2024	Robert Cadieux	Urantia Movement Event
A Hypothesis About Personality	/en/article/Claude_Flibotte/Une_hypothese_a_propos_de_la_personnalite	Claude Flibotte	Personality
Address to the Urantia Brotherhood	/en/article/Gaetan_Charland/Discours_a_la_fraternite_dUrantia	Gaétan Charland	Urantia Movement
Gravitations and Mental Influences	/en/article/Andre_Desjardins/Les_gravites_et_influences_mentales	André Desjardins	Spiritual Growth
Everyone Goes Their Own Way	/en/article/France_Tremblay/Chacun_va_son_chemin	France Tremblay	Poetry
Réflectivité — Issue 380 — June 2024	/image/article/Reflectivite/covers/2024_06.jpg	is-issue	--------------------------------------------------------
Réflectivité — Issue 380 — June 2024 — Content	/en/article/Reflectivite/2024_06	---	
President’s Message June 2024	/en/article/Gaetan_Charland/Reflectivite_2024_06_mot_du_president	Gaétan Charland	
Election of a New AUQ Vice President at the 2024 AGM	/en/article/Robert_Cadieux/Election_dun_nouveau_vicepresident_de_lAUQ	Robert Cadieux	
The Importance of Unity organizational	/en/article/Gaetan_Charland/Limportance_de_lunite_organisationnelle	Gaétan Charland	Unity, IUA, Fellowship
What is Faith?	/en/article/Mark_Blackham/Quest_ce_que_la_foi	Mark Blackham	Faith
Comments on the Urantia Association of Quebec Annual General Meeting	/en/article/Claudette_Gonthier/Commentaires_sur_lassemblee_generale_annuelle_de_lAUQ	Claudette Gonthier	Urantia Movement Event
Update on the “Unity Initiative”	/en/article/Gaetan_Charland/Mise_a_jour_de_lInitiative_sur_lUnite	Gaétan Charland	Unity
Thoughts on the Soul of Jesus and His Destiny!	/en/article/Claude_Flibotte/Reflexions_au_sujet_de_lame_de_Jesus_et_de_sa_destinee	Claude Flibotte	Jesus, Jesus life
Who is God?	/en/article/Eric_Tarissan/Qui_est_Dieu	Éric Tarissan	God
ANZURA 2023 Annual Conference Report	/en/article/Daniel_Swadling/Rapport_du_congres_annuel_2023_dANZURA	Daniel Swadling	Urantia Movement Event
Prayer vs. Worship	/en/article/Francine_Fortin/La_priere_vs_ladoration	Francine Fortin	Prayer, Worship
