Index of The Urantian articles	https://ubhs.hosted-by-files.com/http/FrameDocTypesBX.html	is-title	The Urantian
December 1987 Issue	/image/article/The_Urantian/covers/1987_12.jpg	is-issue	--------------------------------------------------------
December 1987 Issue	/en/article/The_Urantian/The_Urantian_1987_12	---	
Volume 13, 1988	---	is-volume	---
April 1988 Issue	/image/article/The_Urantian/covers/1988_04.jpg	is-issue	--------------------------------------------------------
April 1988 Issue	/en/article/The_Urantian/The_Urantian_1988_04	---	
July 1988 Issue	/image/article/The_Urantian/covers/1988_07.jpg	is-issue	--------------------------------------------------------
July 1988 Issue	/en/article/The_Urantian/The_Urantian_1988_07	---	
Volume 14, 1989	---	is-volume	---
April 1989 Issue	/image/article/The_Urantian/covers/1989_04.jpg	is-issue	--------------------------------------------------------
April 1989 Issue	/en/article/The_Urantian/The_Urantian_1989_04	---	
July 1989 Issue	/image/article/The_Urantian/covers/1989_07.jpg	is-issue	--------------------------------------------------------
July 1989 Issue	/en/article/The_Urantian/The_Urantian_1989_07	---	
September 1989 Issue	/image/article/The_Urantian/covers/1989_09.jpg	is-issue	--------------------------------------------------------
September 1989 Issue	/en/article/The_Urantian/The_Urantian_1989_09	---	
December 1989 Issue	/image/article/The_Urantian/covers/1989_12.jpg	is-issue	--------------------------------------------------------
December 1989 Issue	/en/article/The_Urantian/The_Urantian_1989_12	---	
Volume 15, 1990	---	is-volume	---
June 1990 Issue	/image/article/The_Urantian/covers/1990_06.jpg	is-issue	--------------------------------------------------------
June 1990 Issue	/en/article/The_Urantian/The_Urantian_1990_06	---	
July 1990 Issue	/image/article/The_Urantian/covers/1990_07.jpg	is-issue	--------------------------------------------------------
July 1990 Issue	/en/article/The_Urantian/The_Urantian_1990_07	---	
Volume 17, 1992	---	is-volume	---
December 1992 Issue	/image/article/The_Urantian/covers/1992_12.jpg	is-issue	--------------------------------------------------------
December 1992 Issue	/en/article/The_Urantian/The_Urantian_1992_12	---	
Volume 18, 1993	---	is-volume	---
April 1993 Issue	/image/article/The_Urantian/covers/1993_04.jpg	is-issue	--------------------------------------------------------
April 1993 Issue	/en/article/The_Urantian/The_Urantian_1993_04	---	
Volume 19, 1994	---	is-volume	---
July 1994 Issue	/image/article/The_Urantian/covers/1994_07.jpg	is-issue	--------------------------------------------------------
July 1994 Issue	/en/article/The_Urantian/The_Urantian_1994_07	---	
